energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-3.03451726,1.14592985,0.00420118,0.28852018,0.36093187,0.43815307,0.00000000,0.72683400,0.27264079
-3.02851426,1.17744390,0.00438316,0.29334134,0.35725478,0.45912227,0.00000000,0.74286142,0.28072736
-3.02251126,1.21433000,0.00460789,0.29967244,0.35257274,0.48248356,0.00000000,0.76041724,0.29052922
-3.01650825,1.25642827,0.00488334,0.30750187,0.34693072,0.50814204,0.00000000,0.77958008,0.30196993
-3.01050525,1.30351169,0.00521818,0.31680460,0.34039877,0.53596515,0.00000000,0.80045050,0.31494638
-3.00450225,1.35528808,0.00562158,0.32754154,0.33307048,0.56578465,0.00000000,0.82314541,0.32933022
-2.99849925,1.41140293,0.00610303,0.33965886,0.32506043,0.59739926,0.00000000,0.84779124,0.34496973
-2.99249625,1.47144304,0.00667211,0.35308731,0.31650087,0.63057822,0.00000000,0.87451618,0.36169227
-2.98649325,1.53494130,0.00733815,0.36774162,0.30753767,0.66506544,0.00000000,0.90344168,0.37930717
-2.98049025,1.60138266,0.00810989,0.38352020,0.29832601,0.70058447,0.00000000,0.93467376,0.39760927
-2.97448724,1.67021127,0.00899510,0.40030508,0.28902577,0.73684389,0.00000000,0.96829437,0.41638277
-2.96848424,1.74083878,0.01000008,0.41796227,0.27979717,0.77354323,0.00000000,1.00435331,0.43540556
-2.96248124,1.81265365,0.01112930,0.43634249,0.27079653,0.81037897,0.00000000,1.04286079,0.45445379
-2.95647824,1.88503115,0.01238488,0.45528234,0.26217265,0.84705062,0.00000000,1.08378108,0.47330653
-2.95047524,1.95734375,0.01376624,0.47460592,0.25406371,0.88326651,0.00000000,1.12702732,0.49175047
-2.94447224,2.02897145,0.01526965,0.49412667,0.24659480,0.91874916,0.00000000,1.17245756,0.50958432
-2.93846923,2.09931174,0.01688796,0.51364958,0.23987625,0.95323997,0.00000000,1.21987224,0.52662300
-2.93246623,2.16778863,0.01861039,0.53297348,0.23400247,0.98650309,0.00000000,1.26901301,0.54270111
-2.92646323,2.23386060,0.02042239,0.55189355,0.22905156,1.01832843,0.00000000,1.31956294,0.55767594
-2.92046023,2.29702713,0.02230569,0.57020371,0.22508524,1.04853369,0.00000000,1.37114816,0.57142957
-2.91445723,2.35683367,0.02423845,0.58769901,0.22214934,1.07696547,0.00000000,1.42334086,0.58387029
-2.90845423,2.41287515,0.02619556,0.60417799,0.22027442,1.10349957,0.00000000,1.47566373,0.59493315
-2.90245123,2.46479810,0.02814914,0.61944490,0.21947659,1.12804056,0.00000000,1.52759574,0.60457981
-2.89644822,2.51230155,0.03006911,0.63331184,0.21975843,1.15052082,0.00000000,1.57857945,0.61279756
-2.89044522,2.55513710,0.03192392,0.64560089,0.22110980,1.17089922,0.00000000,1.62802968,0.61959796
-2.88444222,2.59310848,0.03368143,0.65614623,0.22350863,1.18915965,0.00000000,1.67534359,0.62501484
-2.87843922,2.62607085,0.03530979,0.66479631,0.22692151,1.20530949,0.00000000,1.71991213,0.62910208
-2.87243622,2.65393021,0.03677838,0.67141613,0.23130430,1.21937820,0.00000000,1.76113258,0.63193122
-2.86643322,2.67664310,0.03805884,0.67588957,0.23660250,1.23141614,0.00000000,1.79842219,0.63358891
-2.86043022,2.69421662,0.03912588,0.67812188,0.24275164,1.24149346,0.00000000,1.83123235,0.63417448
-2.85442721,2.70670890,0.03995824,0.67804219,0.24967763,1.24969926,0.00000000,1.85906313,0.63379753
-2.84842421,2.71422969,0.04053929,0.67560599,0.25729713,1.25614079,0.00000000,1.88147763,0.63257566
-2.84242121,2.71694101,0.04085770,0.67079747,0.26551800,1.26094257,0.00000000,1.89811566,0.63063235
-2.83641821,2.71505744,0.04090777,0.66363155,0.27423989,1.26424545,0.00000000,1.90870613,0.62809487
-2.83041521,2.70884570,0.04068964,0.65415560,0.28335494,1.26620526,0.00000000,1.91307764,0.62509231
-2.82441221,2.69862325,0.04020928,0.64245040,0.29274869,1.26699113,0.00000000,1.91116683,0.62175359
-2.81840920,2.68475541,0.03947827,0.62863046,0.30230111,1.26678322,0.00000000,1.90302374,0.61820547
-2.81240620,2.66765093,0.03851340,0.61284345,0.31188787,1.26576997,0.00000000,1.88881415,0.61457047
-2.80640320,2.64775574,0.03733608,0.59526869,0.32138170,1.26414477,0.00000000,1.86881828,0.61096472
-2.80040020,2.62554486,0.03597161,0.57611454,0.33065393,1.26210205,0.00000000,1.84342603,0.60749575
-2.79439720,2.60151259,0.03444833,0.55561488,0.33957604,1.25983302,0.00000000,1.81312851,0.60426024
-2.78839420,2.57616120,0.03279676,0.53402458,0.34802142,1.25752103,0.00000000,1.77850621,0.60134179
-2.78239120,2.54998842,0.03104857,0.51161415,0.35586704,1.25533676,0.00000000,1.74021405,0.59880877
-2.77638819,2.52347413,0.02923571,0.48866369,0.36299518,1.25343339,0.00000000,1.69896385,0.59671237
-2.77038519,2.49706684,0.02738948,0.46545643,0.36929511,1.25194189,0.00000000,1.65550466,0.59508492
-2.76438219,2.47117038,0.02553973,0.44227198,0.37466479,1.25096661,0.00000000,1.61060179,0.59393854
-2.75837919,2.44613137,0.02371408,0.41937961,0.37901236,1.25058125,0.00000000,1.56501522,0.59326430
-2.75237619,2.42222801,0.02193741,0.39703185,0.38225764,1.25082540,0.00000000,1.51947807,0.59303182
-2.74637319,2.39966065,0.02023132,0.37545863,0.38433346,1.25170172,0.00000000,1.47467613,0.59318951
-2.74037019,2.37854447,0.01861383,0.35486212,0.38518681,1.25317389,0.00000000,1.43122899,0.59366530
-2.73436718,2.35890484,0.01709921,0.33541262,0.38477983,1.25516539,0.00000000,1.38967358,0.59436804
-2.72836418,2.34067532,0.01569794,0.31724553,0.38309058,1.25755919,0.00000000,1.35045073,0.59518944
-2.72236118,2.32369872,0.01441674,0.30045952,0.38011357,1.26019847,0.00000000,1.31389515,0.59600655
-2.71635818,2.30773118,0.01325880,0.28511600,0.37586001,1.26288850,0.00000000,1.28022928,0.59668465
-2.71035518,2.29244928,0.01222406,0.27123987,0.37035776,1.26539953,0.00000000,1.24956127,0.59708067
-2.70435218,2.27746009,0.01130951,0.25882139,0.36365105,1.26747108,0.00000000,1.22188695,0.59704681
-2.69834917,2.26231392,0.01050963,0.24781926,0.35579972,1.26881732,0.00000000,1.19709593,0.59643452
-2.69234617,2.24651946,0.00981684,0.23816450,0.34687833,1.26913382,0.00000000,1.17498139,0.59509849
-2.68634317,2.22956093,0.00922191,0.22976525,0.33697482,1.26810536,0.00000000,1.15525318,0.59290083
-2.68034017,2.21091670,0.00871444,0.22251190,0.32618896,1.26541484,0.00000000,1.13755377,0.58971510
-2.67433717,2.19007869,0.00828328,0.21628267,0.31463051,1.26075300,0.00000000,1.12147614,0.58543020
-2.66833417,2.16657207,0.00791697,0.21094915,0.30241720,1.25382870,0.00000000,1.10658316,0.57995396
-2.66233117,2.13997427,0.00760407,0.20638170,0.28967252,1.24437936,0.00000000,1.09242725,0.57321638
-2.65632816,2.10993270,0.00733357,0.20245441,0.27652346,1.23218121,0.00000000,1.07856983,0.56517229
-2.65032516,2.07618027,0.00709508,0.19904948,0.26309814,1.21705890,0.00000000,1.06459946,0.55580342
-2.64432216,2.03854818,0.00687913,0.19606085,0.24952354,1.19889388,0.00000000,1.05014798,0.54511971
-2.63831916,1.99697504,0.00667734,0.19339686,0.23592323,1.17763130,0.00000000,1.03490404,0.53315986
-2.63231616,1.95151214,0.00648250,0.19098208,0.22241533,1.15328474,0.00000000,1.01862334,0.51999090
-2.62631316,1.90232419,0.00628872,0.18875804,0.20911055,1.12593878,0.00000000,1.00113529,0.50570696
-2.62031016,1.84968576,0.00609137,0.18668304,0.19611053,1.09574890,0.00000000,0.98234590,0.49042705
-2.61430715,1.79397310,0.00588710,0.18473111,0.18350642,1.06293870,0.00000000,0.96223687,0.47429202
-2.60830415,1.73565203,0.00567378,0.18289013,0.17137767,1.02779467,0.00000000,0.94086106,0.45746074
-2.60230115,1.67526222,0.00545038,0.18115935,0.15979120,0.99065837,0.00000000,0.91833479,0.44010566
-2.59629815,1.61339860,0.00521685,0.17954651,0.14880085,0.95191672,0.00000000,0.89482756,0.42240791
-2.59029515,1.55069097,0.00497399,0.17806466,0.13844705,0.91199061,0.00000000,0.87054970,0.40455208
-2.58429215,1.48778263,0.00472326,0.17672898,0.12875689,0.87132249,0.00000000,0.84573894,0.38672107
-2.57828914,1.42530928,0.00446664,0.17555372,0.11974442,0.83036356,0.00000000,0.82064652,0.36909103
-2.57228614,1.36387904,0.00420646,0.17454948,0.11141122,0.78956120,0.00000000,0.79552380,0.35182682
-2.56628314,1.30405475,0.00394522,0.17372101,0.10374723,0.74934720,0.00000000,0.77061000,0.33507796
-2.56028014,1.24633919,0.00368551,0.17306556,0.09673178,0.71012737,0.00000000,0.74612172,0.31897554
-2.55427714,1.19116400,0.00342980,0.17257194,0.09033487,0.67227297,0.00000000,0.72224480,0.30362989
-2.54827414,1.13888253,0.00318041,0.17222020,0.08451858,0.63611425,0.00000000,0.69912874,0.28912936
-2.54227114,1.08976679,0.00293938,0.17198209,0.07923858,0.60193630,0.00000000,0.67688395,0.27553999
-2.53626813,1.04400844,0.00270844,0.17182204,0.07444579,0.56997712,0.00000000,0.65558159,0.26290625
-2.53026513,1.00172327,0.00248898,0.17169867,0.07008799,0.54042792,0.00000000,0.63525605,0.25125251
-2.52426213,0.96295871,0.00228203,0.17156674,0.06611155,0.51343516,0.00000000,0.61590940,0.24058529
-2.51825913,0.92770364,0.00208826,0.17137922,0.06246295,0.48910416,0.00000000,0.59751758,0.23089595
-2.51225613,0.89589941,0.00190803,0.17108955,0.05909030,0.46750367,0.00000000,0.58003757,0.22216377
