energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-5.91595798,1.72468450,-1.72468807,0.69724399,-0.69724877,0.61480857,-0.61480073,0.00069256,-0.00069267,0.56230892,-0.56229458,0.01113174,-0.01113128,0.40969570,-0.40971441,0.16480560,-0.16481904,0.03551768,-0.03552028
-5.90995498,1.72473985,-1.72473921,0.69624625,-0.69624739,0.60908382,-0.60907339,0.00077531,-0.00077545,0.55187017,-0.55185172,0.01093179,-0.01093136,0.42280202,-0.42282276,0.17275327,-0.17276808,0.03672790,-0.03673071
-5.90395198,1.72239877,-1.72239443,0.69301770,-0.69301509,0.60168657,-0.60167398,0.00088420,-0.00088437,0.53872114,-0.53869896,0.01075812,-0.01075772,0.43752329,-0.43754590,0.18169299,-0.18170903,0.03810433,-0.03810734
-5.89794897,1.71793488,-1.71792749,0.68750236,-0.68749602,0.59288836,-0.59287409,0.00101998,-0.00102020,0.52311337,-0.52308792,0.01061406,-0.01061371,0.45370083,-0.45372513,0.19151409,-0.19153123,0.03964000,-0.03964321
-5.89194597,1.71174629,-1.71173666,0.67974215,-0.67973222,0.58299968,-0.58298424,0.00118353,-0.00118378,0.50536370,-0.50533552,0.01050197,-0.01050167,0.47118277,-0.47120858,0.20211442,-0.20213253,0.04132971,-0.04133312
-5.88594297,1.70433710,-1.70432615,0.66986914,-0.66985587,0.57236058,-0.57234454,0.00137572,-0.00137601,0.48584402,-0.48581371,0.01042319,-0.01042295,0.48982511,-0.48985224,0.21340132,-0.21342031,0.04317006,-0.04317366
-5.87993997,1.69629790,-1.69628661,0.65809612,-0.65807986,0.56133109,-0.56131501,0.00159737,-0.00159770,0.46496981,-0.46493802,0.01037800,-0.01037782,0.50949329,-0.50952159,0.22529283,-0.22531258,0.04515945,-0.04516324
-5.87393697,1.68828600,-1.68827543,0.64470560,-0.64468679,0.55028155,-0.55026600,0.00184916,-0.00184954,0.44318797,-0.44315538,0.01036573,-0.01036560,0.53006443,-0.53009375,0.23771874,-0.23773918,0.04729808,-0.04730208
-5.86793397,1.68100607,-1.68099732,0.63003788,-0.63001703,0.53958341,-0.53956894,0.00213155,-0.00213196,0.42096433,-0.42093163,0.01038487,-0.01038481,0.55142987,-0.55146007,0.25062157,-0.25064264,0.04958799,-0.04959221
-5.86193097,1.67519157,-1.67518575,0.61447844,-0.61445610,0.52960061,-0.52958776,0.00244467,-0.00244513,0.39877125,-0.39873913,0.01043335,-0.01043334,0.57349781,-0.57352879,0.26395738,-0.26397904,0.05203301,-0.05203745
-5.85592796,1.67158711,-1.67158535,0.59844510,-0.59842188,0.52068179,-0.52067105,0.00278830,-0.00278880,0.37707587,-0.37704498,0.01050873,-0.01050878,0.59619588,-0.59622758,0.27769609,-0.27771833,0.05463864,-0.05464332
-5.84992496,1.67093213,-1.67093552,0.58237522,-0.58235174,0.51315340,-0.51314524,0.00316180,-0.00316234,0.35632904,-0.35630001,0.01060857,-0.01060867,0.61947326,-0.61950565,0.29182144,-0.29184427,0.05741195,-0.05741689
-5.84392196,1.67394561,-1.67395520,0.56671327,-0.56669016,0.50731383,-0.50730867,0.00356405,-0.00356464,0.33695546,-0.33692887,0.01073070,-0.01073086,0.64330214,-0.64333524,0.30633032,-0.30635376,0.06036135,-0.06036657
-5.83791896,1.68131188,-1.68132869,0.55189896,-0.55187685,0.50342849,-0.50342667,0.00399349,-0.00399412,0.31934499,-0.31932136,0.01087359,-0.01087380,0.66767824,-0.66771209,0.32123150,-0.32125561,0.06349632,-0.06350184
-5.83191596,1.69366737,-1.69369232,0.53835623,-0.53833570,0.50172569,-0.50172752,0.00444809,-0.00444876,0.30384531,-0.30382508,0.01103663,-0.01103688,0.69262030,-0.69265500,0.33654375,-0.33656860,0.06682702,-0.06683288
-5.82591296,1.71158807,-1.71162201,0.52648301,-0.52646464,0.50239344,-0.50239916,0.00492540,-0.00492609,0.29075592,-0.29073948,0.01122039,-0.01122070,0.71816847,-0.71820415,0.35229335,-0.35231900,0.07036395,-0.07037016
-5.81990995,1.73557759,-1.73562124,0.51664223,-0.51662653,0.50557681,-0.50558659,0.00542258,-0.00542330,0.28032349,-0.28031112,0.01142686,-0.01142723,0.74438137,-0.74441818,0.36851100,-0.36853755,0.07411740,-0.07412400
-5.81390695,1.76605572,-1.76610967,0.50915379,-0.50914122,0.51137584,-0.51138977,0.00593654,-0.00593729,0.27273838,-0.27273030,0.01165957,-0.01166001,0.77133223,-0.77137035,0.38522843,-0.38525595,0.07809703,-0.07810404
-5.80790395,1.80334744,-1.80341214,0.50428787,-0.50427880,0.51984395,-0.51986207,0.00646399,-0.00646476,0.26813238,-0.26812870,0.01192366,-0.01192418,0.79910387,-0.79914348,0.40247470,-0.40250327,0.08231127,-0.08231872
-5.80190095,1.84767254,-1.84774826,0.50225930,-0.50225405,0.53098667,-0.53100892,0.00700156,-0.00700236,0.26657740,-0.26657815,0.01222582,-0.01222643,0.82778303,-0.82782432,0.42027239,-0.42030206,0.08676689,-0.08677480
-5.79589795,1.89913585,-1.89922268,0.50322342,-0.50322219,0.54476071,-0.54478697,0.00754597,-0.00754678,0.26808510,-0.26809023,0.01257421,-0.01257493,0.85745405,-0.85749717,0.43863395,-0.43866476,0.09146839,-0.09147678
-5.78989495,1.95771850,-1.95781632,0.50727295,-0.50727588,0.56107345,-0.56110352,0.00809406,-0.00809488,0.27260742,-0.27261677,0.01297816,-0.01297899,0.88819226,-0.88823736,0.45755834,-0.45759028,0.09641760,-0.09642648
-5.78389195,2.02327041,-2.02337889,0.51443638,-0.51444349,0.57978279,-0.57981639,0.00864300,-0.00864383,0.28003778,-0.28005114,0.01344789,-0.01344886,0.92005739,-0.92010456,0.47702808,-0.47706112,0.10161314,-0.10162253
