energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
1.98999500,2.61222829,0.01177242,0.14455948,0.23819292,0.01448109,0.01099011,0.41289688,1.06921246,1.99675694
1.99599800,2.48432872,0.01121576,0.13502381,0.22425692,0.01347033,0.01048939,0.38904336,1.00688468,1.90799100
2.00200100,2.35970384,0.01066565,0.12564742,0.21025508,0.01248559,0.00998864,0.36561170,0.94569149,1.82116804
2.00800400,2.23933210,0.01013154,0.11649355,0.19631357,0.01153372,0.00948965,0.34274306,0.88602620,1.73708439
2.01400700,2.12418422,0.00962275,0.10762248,0.18255501,0.01062100,0.00899429,0.32057336,0.82825844,1.65654700
2.02001001,2.01520327,0.00914823,0.09909033,0.16909603,0.00975311,0.00850449,0.29923090,0.77272856,1.58035538
2.02601301,1.91328287,0.00871631,0.09094797,0.15604487,0.00893500,0.00802225,0.27883384,0.71974216,1.50928149
2.03201601,1.81924448,0.00833437,0.08324008,0.14349925,0.00817082,0.00754951,0.25948771,0.66956507,1.44404870
2.03801901,1.73381485,0.00800866,0.07600438,0.13154469,0.00746385,0.00708822,0.24128311,0.62241890,1.38531068
2.04402201,1.65760476,0.00774405,0.06927111,0.12025305,0.00681648,0.00664023,0.22429366,0.57847760,1.33363120
2.05002501,1.59108997,0.00754386,0.06306270,0.10968164,0.00623014,0.00620725,0.20857443,0.53786492,1.28946577
2.05602801,1.53459532,0.00740975,0.05739375,0.09987272,0.00570537,0.00579083,0.19416067,0.50065307,1.25314596
2.06203102,1.48828266,0.00734163,0.05227115,0.09085344,0.00524175,0.00539234,0.18106724,0.46686257,1.22486704
2.06803402,1.45214325,0.00733762,0.04769448,0.08263626,0.00483802,0.00501291,0.16928843,0.43646330,1.20467959
2.07403702,1.42599505,0.00739412,0.04365650,0.07521968,0.00449209,0.00465341,0.15879848,0.40937675,1.19248531
2.08004002,1.40948493,0.00750584,0.04014384,0.06858933,0.00420116,0.00431447,0.14955253,0.38547934,1.18803749
2.08604302,1.40209598,0.00766600,0.03713782,0.06271933,0.00396177,0.00399644,0.14148813,0.36460671,1.19094580
2.09204602,1.40315954,0.00786645,0.03461524,0.05757385,0.00376996,0.00369938,0.13452723,0.34655897,1.20068558
2.09804902,1.41187168,0.00809795,0.03254928,0.05310881,0.00362133,0.00342313,0.12857849,0.33110656,1.21661100
2.10405203,1.42731338,0.00835042,0.03091039,0.04927359,0.00351120,0.00316725,0.12353997,0.31799666,1.23797177
2.11005503,1.44847382,0.00861325,0.02966708,0.04601284,0.00343471,0.00293108,0.11930203,0.30696006,1.26393260
2.11605803,1.47427579,0.00887557,0.02878674,0.04326818,0.00338696,0.00271376,0.11575033,0.29771810,1.29359469
2.12206103,1.50360238,0.00912663,0.02823630,0.04097979,0.00336311,0.00251428,0.11276897,0.28998966,1.32601843
