energy_ev,total_up,Co_p_up,Co_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-4.91345673,1.11863635,0.29434818,0.23611508,0.51156587,0.10825835,0.00000008,0.36671152,0.00019280,0.46200685
-4.90745373,1.11585755,0.29799979,0.23848125,0.50242617,0.10581356,0.00000006,0.36125426,0.00016154,0.46710129
-4.90145073,1.11597054,0.30255776,0.24156997,0.49420172,0.10363855,0.00000004,0.35647653,0.00013472,0.47357461
-4.89544772,1.11874433,0.30790030,0.24530816,0.48688802,0.10172563,0.00000003,0.35237374,0.00011180,0.48125182
-4.88944472,1.12385466,0.31387817,0.24960057,0.48044656,0.10005893,0.00000002,0.34891465,0.00009232,0.48991538
-4.88344172,1.13089183,0.32031843,0.25433186,0.47480657,0.09861469,0.00000002,0.34604239,0.00007582,0.49931051
-4.87743872,1.13937272,0.32702914,0.25936964,0.46986849,0.09736200,0.00000001,0.34367662,0.00006194,0.50915213
-4.87143572,1.14875614,0.33380506,0.26456813,0.46550863,0.09626391,0.00000001,0.34171701,0.00005031,0.51913320
-4.86543272,1.15846092,0.34043391,0.26977256,0.46158505,0.09527876,0.00000000,0.34004752,0.00004063,0.52893413
-4.85942971,1.16788583,0.34670302,0.27482385,0.45794401,0.09436188,0.00000000,0.33854137,0.00003262,0.53823280
-4.85342671,1.17643015,0.35240602,0.27956352,0.45442673,0.09346727,0.00000000,0.33706640,0.00002604,0.54671476
-4.84742371,1.18351405,0.35734926,0.28383857,0.45087604,0.09254943,0.00000000,0.33549041,0.00002065,0.55408303
-4.84142071,1.18859769,0.36135764,0.28750602,0.44714256,0.09156503,0.00000000,0.33368636,0.00001628,0.56006722
-4.83541771,1.19119806,0.36427970,0.29043707,0.44309004,0.09047455,0.00000000,0.33153692,0.00001275,0.56443135
-4.82941471,1.19090298,0.36599153,0.29252050,0.43859965,0.08924358,0.00000000,0.32893847,0.00000992,0.56698020
-4.82341171,1.18738151,0.36639960,0.29366537,0.43357305,0.08784393,0.00000000,0.32580405,0.00000767,0.56756383
-4.81740870,1.18039059,0.36544224,0.29380280,0.42793414,0.08625435,0.00000000,0.32206541,0.00000589,0.56608025
-4.81140570,1.16977772,0.36308987,0.29288684,0.42162954,0.08446099,0.00000000,0.31767400,0.00000449,0.56247602
-4.80540270,1.15547992,0.35934400,0.29089450,0.41462783,0.08245741,0.00000000,0.31260103,0.00000341,0.55674511
-4.79939970,1.13751917,0.35423508,0.28782494,0.40691786,0.08024437,0.00000000,0.30683659,0.00000256,0.54892599
-4.79339670,1.11599501,0.34781957,0.28369789,0.39850619,0.07782931,0.00000000,0.30038806,0.00000192,0.53909733
-4.78739370,1.09107494,0.34017617,0.27855165,0.38941408,0.07522553,0.00000000,0.29327799,0.00000142,0.52737261
-4.78139070,1.06298319,0.33140171,0.27244051,0.37967421,0.07245130,0.00000000,0.28554156,0.00000105,0.51389400
-4.77538769,1.03198884,0.32160677,0.26543204,0.36932747,0.06952878,0.00000000,0.27722394,0.00000077,0.49882592
-4.76938469,0.99839385,0.31091140,0.25760429,0.35841995,0.06648297,0.00000000,0.26837764,0.00000056,0.48234848
-4.76338169,0.96252164,0.29944104,0.24904298,0.34700046,0.06334057,0.00000000,0.25906008,0.00000040,0.46465143
-4.75737869,0.92470681,0.28732287,0.23983895,0.33511860,0.06012902,0.00000000,0.24933142,0.00000029,0.44592848
-4.75137569,0.88528631,0.27468265,0.23008583,0.32282348,0.05687554,0.00000000,0.23925286,0.00000021,0.42637256
-4.74537269,0.84459228,0.26164226,0.21987809,0.31016313,0.05360644,0.00000000,0.22888532,0.00000015,0.40617180
-4.73936968,0.80294661,0.24831778,0.20930940,0.29718442,0.05034645,0.00000000,0.21828856,0.00000010,0.38550659
-4.73336668,0.76065719,0.23481821,0.19847133,0.28393359,0.04711828,0.00000000,0.20752071,0.00000007,0.36454741
-4.72736368,0.71801561,0.22124475,0.18745242,0.27045701,0.04394235,0.00000000,0.19663811,0.00000005,0.34345350
-4.72136068,0.67529612,0.20769046,0.17633748,0.25680215,0.04083662,0.00000000,0.18569539,0.00000003,0.32237228
-4.71535768,0.63275538,0.19424040,0.16520712,0.24301864,0.03781658,0.00000000,0.17474566,0.00000002,0.30143915
-4.70935468,0.59063287,0.18097187,0.15413739,0.22915905,0.03489528,0.00000000,0.16384084,0.00000002,0.28077783
-4.70335168,0.54915150,0.16795490,0.14319958,0.21527954,0.03208351,0.00000000,0.15303177,0.00000001,0.26050081
-4.69734867,0.50851819,0.15525265,0.13245996,0.20144009,0.02938996,0.00000000,0.14236840,0.00000001,0.24070985
-4.69134567,0.46892433,0.14292189,0.12197963,0.18770425,0.02682142,0.00000000,0.13189967,0.00000000,0.22149652
-4.68534267,0.43054575,0.13101330,0.11181428,0.17413858,0.02438297,0.00000000,0.12167329,0.00000000,0.20294258
-4.67933967,0.39354245,0.11957171,0.10201390,0.16081162,0.02207822,0.00000000,0.11173534,0.00000000,0.18512018
