energy_ev,total_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
0.66933467,1.10524445,0.52658236,0.00011436,0.59540850,0.00000000,0.49050611,0.01060774
0.67533767,1.05633304,0.50525756,0.00010413,0.57714857,0.00000000,0.45604615,0.01018833
0.68134067,1.00678292,0.48337275,0.00009432,0.55798895,0.00000000,0.42222360,0.00975728
0.68734367,0.95692274,0.46106308,0.00008499,0.53803421,0.00000000,0.38932862,0.00931740
0.69334667,0.90705034,0.43845395,0.00007620,0.51739661,0.00000000,0.35761032,0.00887133
0.69934967,0.85743563,0.41566164,0.00006797,0.49619865,0.00000000,0.32727525,0.00842151
0.70535268,0.80832482,0.39279461,0.00006034,0.47457570,0.00000000,0.29848752,0.00797027
0.71135568,0.75994552,0.36995502,0.00005332,0.45267824,0.00000000,0.27137059,0.00751984
0.71735868,0.71251199,0.34724036,0.00004691,0.43067369,0.00000000,0.24601031,0.00707238
0.72336168,0.66623000,0.32474492,0.00004109,0.40874726,0.00000000,0.22245888,0.00663005
0.72936468,0.62130096,0.30256094,0.00003585,0.38710192,0.00000000,0.20073940,0.00619499
0.73536768,0.57792481,0.28077931,0.00003115,0.36595722,0.00000000,0.18085067,0.00576938
0.74137069,0.53630147,0.25948980,0.00002698,0.34554694,0.00000000,0.16277204,0.00535542
0.74737369,0.49663091,0.23878068,0.00002329,0.32611556,0.00000000,0.14646789,0.00495530
0.75337669,0.45911162,0.21873796,0.00002004,0.30791380,0.00000000,0.13189166,0.00457122
0.75937969,0.42393785,0.19944416,0.00001720,0.29119311,0.00000000,0.11898934,0.00420531
0.76538269,0.39129577,0.18097690,0.00001474,0.27619955,0.00000000,0.10770220,0.00385963
0.77138569,0.36135878,0.16340731,0.00001260,0.26316718,0.00000000,0.09796892,0.00353609
0.77738869,0.33428247,0.14679855,0.00001077,0.25231122,0.00000000,0.08972700,0.00323642
0.78339170,0.31019948,0.13120449,0.00000920,0.24382123,0.00000000,0.08291359,0.00296214
0.78939470,0.28921460,0.11666868,0.00000787,0.23785460,0.00000000,0.07746587,0.00271450
0.79539770,0.27140049,0.10322381,0.00000676,0.23453061,0.00000000,0.07332108,0.00249445
0.80140070,0.25679423,0.09089165,0.00000583,0.23392524,0.00000000,0.07041621,0.00230264
0.80740370,0.24539496,0.07968347,0.00000507,0.23606697,0.00000000,0.06868777,0.00213939
0.81340670,0.23716278,0.06960106,0.00000447,0.24093380,0.00000000,0.06807140,0.00200474
0.81940970,0.23201898,0.06063817,0.00000400,0.24845158,0.00000000,0.06850176,0.00189839
0.82541271,0.22984767,0.05278247,0.00000366,0.25849387,0.00000000,0.06991262,0.00181981
0.83141571,0.23049882,0.04601777,0.00000344,0.27088333,0.00000000,0.07223721,0.00176824
0.83741871,0.23379266,0.04032655,0.00000334,0.28539475,0.00000000,0.07540897,0.00174274
0.84342171,0.23952517,0.03569254,0.00000335,0.30175969,0.00000000,0.07936269,0.00174230
0.84942471,0.24747479,0.03210332,0.00000348,0.31967274,0.00000000,0.08403597,0.00176582
0.85542771,0.25740986,0.02955282,0.00000372,0.33879912,0.00000000,0.08937097,0.00181226
0.86143072,0.26909664,0.02804349,0.00000408,0.35878370,0.00000000,0.09531646,0.00188068
0.86743372,0.28230763,0.02758814,0.00000457,0.37926086,0.00000000,0.10182989,0.00197029
0.87343672,0.29682982,0.02821121,0.00000521,0.39986519,0.00000000,0.10887952,0.00208055
0.87943972,0.31247243,0.02994952,0.00000600,0.42024237,0.00000000,0.11644633,0.00221117
0.88544272,0.32907388,0.03285223,0.00000696,0.44006000,0.00000000,0.12452558,0.00236219
0.89144572,0.34650744,0.03698007,0.00000810,0.45901779,0.00000000,0.13312785,0.00253399
0.89744872,0.36468533,0.04240373,0.00000946,0.47685675,0.00000000,0.14227937,0.00272727
0.90345173,0.38356078,0.04920140,0.00001104,0.49336677,0.00000000,0.15202151,0.00294305
0.90945473,0.40312789,0.05745544,0.00001287,0.50839233,0.00000000,0.16240924,0.00318261
0.91545773,0.42341901,0.06724822,0.00001496,0.52183589,0.00000000,0.17350861,0.00344745
0.92146073,0.44449963,0.07865722,0.00001734,0.53365872,0.00000000,0.18539310,0.00373913
0.92746373,0.46646075,0.09174950,0.00002002,0.54387911,0.00000000,0.19813889,0.00405922
0.93346673,0.48940901,0.10657573,0.00002301,0.55256788,0.00000000,0.21181934,0.00440912
