energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up
1.39569785,0.75881914,0.04139616,0.02415168,0.00000000,0.35838056,0.25056851,0.06486041,0.00000000,0.38745233
1.40170085,0.85193978,0.04745296,0.02645992,0.00000000,0.41007958,0.28293017,0.07372949,0.00000000,0.42261283
1.40770385,0.95519005,0.05402352,0.02917039,0.00000000,0.46608000,0.31823835,0.08342264,0.00000000,0.46357910
1.41370685,1.06825650,0.06108388,0.03228196,0.00000000,0.52618279,0.35633801,0.09390862,0.00000000,0.51025880
1.41970985,1.19060192,0.06859676,0.03578601,0.00000000,0.59008409,0.39700053,0.10513689,0.00000000,0.56244612
1.42571286,1.32145973,0.07651110,0.03966600,0.00000000,0.65737296,0.43992292,0.11703708,0.00000000,0.61981925
1.43171586,1.45983533,0.08476204,0.04389734,0.00000000,0.72753293,0.48472961,0.12951910,0.00000000,0.68194058
1.43771886,1.60451518,0.09327140,0.04844731,0.00000000,0.79994765,0.53097695,0.14247395,0.00000000,0.74826011
1.44372186,1.75408418,0.10194880,0.05327532,0.00000000,0.87391092,0.57816050,0.15577524,0.00000000,0.81812227
1.44972486,1.90695114,0.11069323,0.05833338,0.00000000,0.94864093,0.62572526,0.16928159,0.00000000,0.89077632
1.45572786,2.06138248,0.11939525,0.06356683,0.00000000,1.02329862,0.67307830,0.18283958,0.00000000,0.96539043
1.46173087,2.21554287,0.12793965,0.06891536,0.00000000,1.09700930,0.71960383,0.19628750,0.00000000,1.04106895
1.46773387,2.36754200,0.13620850,0.07431421,0.00000000,1.16888718,0.76467993,0.20945952,0.00000000,1.11687282
1.47373687,2.51548555,0.14408456,0.07969568,0.00000000,1.23806154,0.80769638,0.22219025,0.00000000,1.19184220
1.47973987,2.65752844,0.15145479,0.08499072,0.00000000,1.30370353,0.84807300,0.23431954,0.00000000,1.26502067
1.48574287,2.79192812,0.15821392,0.09013063,0.00000000,1.36505246,0.88527745,0.24569718,0.00000000,1.33548006
1.49174587,2.91709546,0.16426783,0.09504890,0.00000000,1.42144019,0.91884190,0.25618739,0.00000000,1.40234481
1.49774887,3.03164083,0.16953664,0.09968283,0.00000000,1.47231246,0.94837765,0.26567290,0.00000000,1.46481489
1.50375188,3.13441328,0.17395733,0.10397525,0.00000000,1.51724609,0.97358699,0.27405832,0.00000000,1.52218608
1.50975488,3.22453068,0.17748575,0.10787585,0.00000000,1.55596113,0.99427168,0.28127276,0.00000000,1.57386690
1.51575788,3.30139955,0.18009787,0.11134241,0.00000000,1.58832723,1.01033772,0.28727145,0.00000000,1.61939117
1.52176088,3.36472346,0.18179032,0.11434165,0.00000000,1.61436400,1.02179601,0.29203640,0.00000000,1.65842587
1.52776388,3.41449981,0.18258000,0.11684976,0.00000000,1.63423518,1.02875895,0.29557601,0.00000000,1.69077386
1.53376688,3.45100521,0.18250298,0.11885256,0.00000000,1.64823706,1.03143311,0.29792360,0.00000000,1.71637155
1.53976988,3.47477040,0.18161257,0.12034538,0.00000000,1.65678164,1.03010844,0.29913514,0.00000000,1.73528172
1.54577289,3.48654623,0.17997670,0.12133251,0.00000000,1.66037555,1.02514452,0.29928613,0.00000000,1.74768214
1.55177589,3.48726274,0.17767488,0.12182642,0.00000000,1.65959577,1.01695451,0.29846782,0.00000000,1.75385070
1.55777889,3.47798349,0.17479464,0.12184678,0.00000000,1.65506352,1.00598778,0.29678318,0.00000000,1.75414796
1.56378189,3.45985781,0.17142791,0.12141925,0.00000000,1.64741757,0.99271199,0.29434249,0.00000000,1.74899828
1.56978489,3.43407335,0.16766728,0.12057426,0.00000000,1.63728844,0.97759551,0.29125914,0.00000000,1.73887055
1.57578789,3.40181134,0.16360254,0.11934564,0.00000000,1.62527459,0.96109097,0.28764558,0.00000000,1.72425949
1.58179090,3.36420666,0.15931747,0.11776948,0.00000000,1.61192183,0.94362076,0.28360969,0.00000000,1.70566858
1.58779390,3.32231427,0.15488721,0.11588293,0.00000000,1.59770667,0.92556494,0.27925173,0.00000000,1.68359514
1.59379690,3.27708332,0.15037617,0.11372323,0.00000000,1.58302428,0.90725204,0.27466197,0.00000000,1.65851834
1.59979990,3.22933932,0.14583666,0.11132694,0.00000000,1.56818123,0.88895292,0.26991902,0.00000000,1.63089014
1.60580290,3.17977464,0.14130820,0.10872928,0.00000000,1.55339311,0.87087780,0.26508886,0.00000000,1.60112943
1.61180590,3.12894663,0.13681755,0.10596375,0.00000000,1.53878663,0.85317625,0.26022459,0.00000000,1.56961897
1.61780890,3.07728275,0.13237942,0.10306186,0.00000000,1.52440570,0.83593987,0.25536677,0.00000000,1.53670493
1.62381191,3.02509113,0.12799768,0.10005306,0.00000000,1.51022084,0.81920727,0.25054429,0.00000000,1.50269828
1.62981491,2.97257544,0.12366713,0.09696471,0.00000000,1.49614101,0.80297084,0.24577556,0.00000000,1.46787766
1.63581791,2.91985220,0.11937550,0.09382222,0.00000000,1.48202695,0.78718473,0.24107008,0.00000000,1.43249294
1.64182091,2.86696930,0.11510575,0.09064911,0.00000000,1.46770523,0.77177352,0.23642997,0.00000000,1.39676889
1.64782391,2.81392420,0.11083831,0.08746719,0.00000000,1.45298220,0.75664106,0.23185171,0.00000000,1.36090850
1.65382691,2.76068076,0.10655336,0.08429662,0.00000000,1.43765700,0.74167899,0.22732763,0.00000000,1.32509557
1.65982991,2.70718393,0.10223279,0.08115597,0.00000000,1.42153333,0.72677463,0.22284737,0.00000000,1.28949632
1.66583292,2.65337163,0.09786194,0.07806221,0.00000000,1.40442930,0.71181778,0.21839908,0.00000000,1.25425998
1.67183592,2.59918390,0.09343095,0.07503067,0.00000000,1.38618547,0.69670655,0.21397042,0.00000000,1.21951841
1.67783892,2.54456924,0.08893569,0.07207491,0.00000000,1.36667079,0.68135176,0.20954934,0.00000000,1.18538506
1.68384192,2.48948856,0.08437827,0.06920662,0.00000000,1.34578661,0.66568026,0.20512469,0.00000000,1.15195351
1.68984492,2.43391725,0.07976712,0.06643550,0.00000000,1.32346902,0.64963699,0.20068665,0.00000000,1.11929597
1.69584792,2.37784598,0.07511668,0.06376910,0.00000000,1.29968964,0.63318607,0.19622702,0.00000000,1.08746211
1.70185093,2.32128069,0.07044675,0.06121282,0.00000000,1.27445524,0.61631100,0.19173942,0.00000000,1.05647856
1.70785393,2.26424246,0.06578162,0.05876984,0.00000000,1.24780651,0.59901412,0.18721953,0.00000000,1.02634941
1.71385693,2.20676752,0.06114893,0.05644125,0.00000000,1.21981604,0.58131559,0.18266515,0.00000000,0.99705767
1.71985993,2.14890756,0.05657846,0.05422609,0.00000000,1.19058589,0.56325192,0.17807638,0.00000000,0.96856793
1.72586293,2.09073060,0.05210089,0.05212168,0.00000000,1.16024481,0.54487426,0.17345570,0.00000000,0.94082998
1.73186593,2.03232198,0.04774655,0.05012381,0.00000000,1.12894513,0.52624649,0.16880808,0.00000000,0.91378323
1.73786893,1.97378542,0.04354429,0.04822708,0.00000000,1.09685932,0.50744318,0.16414098,0.00000000,0.88736164
1.74387194,1.91524372,0.03952050,0.04642529,0.00000000,1.06417623,0.48854737,0.15946433,0.00000000,0.86149875
1.74987494,1.85683864,0.03569829,0.04471176,0.00000000,1.03109701,0.46964841,0.15479041,0.00000000,0.83613245
1.75587794,1.79872965,0.03209684,0.04307966,0.00000000,0.99783043,0.45083951,0.15013350,0.00000000,0.81120904
1.76188094,1.74109121,0.02873100,0.04152232,0.00000000,0.96458788,0.43221536,0.14550959,0.00000000,0.78668641
1.76788394,1.68410844,0.02561111,0.04003348,0.00000000,0.93157789,0.41386956,0.14093572,0.00000000,0.76253587
1.77388694,1.62797117,0.02274291,0.03860739,0.00000000,0.89900032,0.39589210,0.13642937,0.00000000,0.73874275
1.77988994,1.57286656,0.02012774,0.03723894,0.00000000,0.86704042,0.37836673,0.13200765,0.00000000,0.71530546
1.78589295,1.51897061,0.01776282,0.03592367,0.00000000,0.83586289,0.36136852,0.12768644,0.00000000,0.69223345
1.79189595,1.46643913,0.01564162,0.03465767,0.00000000,0.80560639,0.34496156,0.12347951,0.00000000,0.66954398
1.79789895,1.41539880,0.01375442,0.03343748,0.00000000,0.77637860,0.32919693,0.11939770,0.00000000,0.64725821
1.80390195,1.36593892,0.01208875,0.03225997,0.00000000,0.74825233,0.31411104,0.11544818,0.00000000,0.62539691
1.80990495,1.31810463,0.01063006,0.03112211,0.00000000,0.72126283,0.29972460,0.11163387,0.00000000,0.60397619
1.81590795,1.27189217,0.00936220,0.03002083,0.00000000,0.69540672,0.28604196,0.10795309,0.00000000,0.58300368
1.82191096,1.22724674,0.00826802,0.02895291,0.00000000,0.67064252,0.27305135,0.10439941,0.00000000,0.56247546
1.82791396,1.18406321,0.00732989,0.02791481,0.00000000,0.64689296,0.26072560,0.10096179,0.00000000,0.54237408
1.83391696,1.14218985,0.00653009,0.02690268,0.00000000,0.62404903,0.24902362,0.09762507,0.00000000,0.52266782
1.83991996,1.10143501,0.00585129,0.02591233,0.00000000,0.60197563,0.23789252,0.09437057,0.00000000,0.50331127
1.84592296,1.06157637,0.00527687,0.02493932,0.00000000,0.58051850,0.22727018,0.09117704,0.00000000,0.48424727
1.85192596,1.02237232,0.00479117,0.02397909,0.00000000,0.55951215,0.21708831,0.08802171,0.00000000,0.46540989
1.85792896,0.98357474,0.00437972,0.02302709,0.00000000,0.53878837,0.20727566,0.08488153,0.00000000,0.44672846
1.86393197,0.94494248,0.00402939,0.02207899,0.00000000,0.51818482,0.19776138,0.08173434,0.00000000,0.42813213
1.86993497,0.90625462,0.00372850,0.02113095,0.00000000,0.49755329,0.18847823,0.07856014,0.00000000,0.40955470
1.87593797,0.86732277,0.00346682,0.02017973,0.00000000,0.47676707,0.17936556,0.07534211,0.00000000,0.39093945
1.88194097,0.82800165,0.00323562,0.01922296,0.00000000,0.45572718,0.17037182,0.07206761,0.00000000,0.37224338
1.88794397,0.78819726,0.00302758,0.01825927,0.00000000,0.43436707,0.16145655,0.06872883,0.00000000,0.35344080
1.89394697,0.74787233,0.00283674,0.01728837,0.00000000,0.41265553,0.15259173,0.06532327,0.00000000,0.33452589
1.89994997,0.70704867,0.00265839,0.01631114,0.00000000,0.39059774,0.14376245,0.06185388,0.00000000,0.31551412
1.90595298,0.66580637,0.00248896,0.01532960,0.00000000,0.36823456,0.13496688,0.05832899,0.00000000,0.29644240
1.91195598,0.62428005,0.00232588,0.01434685,0.00000000,0.34563997,0.12621561,0.05476185,0.00000000,0.27736804
1.91795898,0.58265243,0.00216745,0.01336691,0.00000000,0.32291705,0.11753039,0.05117011,0.00000000,0.25836655
1.92396198,0.54114572,0.00201268,0.01239463,0.00000000,0.30019271,0.10894237,0.04757492,0.00000000,0.23952852
1.92996498,0.50001135,0.00186116,0.01143540,0.00000000,0.27761154,0.10049005,0.04400004,0.00000000,0.22095575
1.93596798,0.45951875,0.00171294,0.01049496,0.00000000,0.25532908,0.09221695,0.04047081,0.00000000,0.20275687
1.94197099,0.41994378,0.00156840,0.00957915,0.00000000,0.23350508,0.08416918,0.03701306,0.00000000,0.18504279
1.94797399,0.38155747,0.00142811,0.00869370,0.00000000,0.21229681,0.07639316,0.03365210,0.00000000,0.16792217
1.95397699,0.34461560,0.00129278,0.00784397,0.00000000,0.19185309,0.06893335,0.03041181,0.00000000,0.15149722
1.95997999,0.30934965,0.00116316,0.00703480,0.00000000,0.17230894,0.06183039,0.02731381,0.00000000,0.13585999
1.96598299,0.27595941,0.00103996,0.00627032,0.00000000,0.15378136,0.05511950,0.02437678,0.00000000,0.12108930
1.97198599,0.24460744,0.00092380,0.00555386,0.00000000,0.13636612,0.04882926,0.02161600,0.00000000,0.10724849
1.97798899,0.21541563,0.00081522,0.00488785,0.00000000,0.12013578,0.04298081,0.01904304,0.00000000,0.09438394
1.98399200,0.18846368,0.00071458,0.00427381,0.00000000,0.10513883,0.03758747,0.01666561,0.00000000,0.08252443
1.98999500,0.16378939,0.00062211,0.00371235,0.00000000,0.09139980,0.03265472,0.01448762,0.00000000,0.07168128
1.99599800,0.14139064,0.00053790,0.00320321,0.00000000,0.07892045,0.02818048,0.01250935,0.00000000,0.06184912
