energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
5.29164582,1.70914841,1.18823054,0.00648148,0.04806312,0.09351153,0.23523790,0.13805016,0.90247617,0.38513883
5.29764882,1.74410746,1.20732116,0.00658289,0.05078661,0.09397835,0.23745777,0.14174130,0.93331586,0.38788166
5.30365183,1.77109056,1.21951674,0.00667432,0.05344874,0.09403130,0.23824644,0.14497165,0.96129894,0.38913846
5.30965483,1.78970261,1.22471135,0.00675467,0.05602574,0.09366308,0.23760729,0.14767524,0.98621208,0.38882834
5.31565783,1.79970697,1.22293601,0.00682312,0.05849337,0.09287431,0.23557156,0.14979592,1.00787858,0.38690565
5.32166083,1.80103086,1.21435633,0.00687920,0.06082721,0.09167360,0.23219729,0.15128896,1.02615950,0.38336156
5.32766383,1.79376563,1.19926588,0.00692275,0.06300309,0.09007738,0.22756749,0.15212223,1.04095448,0.37822440
5.33366683,1.77816225,1.17807554,0.00695396,0.06499734,0.08810948,0.22178764,0.15227722,1.05220205,0.37155872
5.33966983,1.75462208,1.15129942,0.00697330,0.06678733,0.08580058,0.21498259,0.15174959,1.05987984,0.36346328
5.34567284,1.72368367,1.11953799,0.00698148,0.06835180,0.08318735,0.20729308,0.15054941,1.06400450,0.35406791
5.35167584,1.68600605,1.08345913,0.00697945,0.06967133,0.08031162,0.19887192,0.14870101,1.06463160,0.34352951
5.35767884,1.64234933,1.04377799,0.00696827,0.07072880,0.07721932,0.18988008,0.14624245,1.06185520,0.33202737
5.36368184,1.59355337,1.00123653,0.00694911,0.07150975,0.07395941,0.18048277,0.14322466,1.05580732,0.31975790
5.36968484,1.54051537,0.95658335,0.00692317,0.07200278,0.07058279,0.17084563,0.13971025,1.04665700,0.30692916
5.37568784,1.48416719,0.91055478,0.00689161,0.07219987,0.06714116,0.16113114,0.13577199,1.03460887,0.29375519
5.38169085,1.42545296,0.86385770,0.00685552,0.07209664,0.06368599,0.15149539,0.13149107,1.01990111,0.28045057
5.38769385,1.36530784,0.81715462,0.00681588,0.07169251,0.06026745,0.14208519,0.12695509,1.00280274,0.26722511
5.39369685,1.30463833,0.77105139,0.00677350,0.07099083,0.05693347,0.13303559,0.12225593,0.98360992,0.25427909
5.39969985,1.24430454,0.72608777,0.00672902,0.06999890,0.05372886,0.12446787,0.11748746,0.96264146,0.24179894
5.40570285,1.18510478,0.68273087,0.00668292,0.06872784,0.05069452,0.11648789,0.11274324,0.94023340,0.22995359
5.41170585,1.12776271,0.64137140,0.00663549,0.06719252,0.04786678,0.10918497,0.10811418,0.91673273,0.21889145
5.41770885,1.07291702,0.60232268,0.00658684,0.06541127,0.04527676,0.10263108,0.10368631,0.89249042,0.20873814
5.42371186,1.02111388,0.56582191,0.00653697,0.06340564,0.04294997,0.09688042,0.09953863,0.86785400,0.19959488
5.42971486,0.97280193,0.53203364,0.00648574,0.06120001,0.04090590,0.09196942,0.09574125,0.84315987,0.19153759
5.43571786,0.92832996,0.50105485,0.00643293,0.05882127,0.03915783,0.08791700,0.09235371,0.81872572,0.18461670
5.44172086,0.88794698,0.47292147,0.00637828,0.05629836,0.03771266,0.08472516,0.08942366,0.79484342,0.17885755
5.44772386,0.85180473,0.44761582,0.00632150,0.05366191,0.03657105,0.08237988,0.08698596,0.77177264,0.17426143
5.45372686,0.81996238,0.42507467,0.00626233,0.05094382,0.03572750,0.08085232,0.08506212,0.74973564,0.17080718
5.45972986,0.79239333,0.40519771,0.00620055,0.04817682,0.03517071,0.08010022,0.08366025,0.72891340,0.16845332
5.46573287,0.76899391,0.38785603,0.00613605,0.04539417,0.03488407,0.08006961,0.08277544,0.70944348,0.16714058
5.47173587,0.74959375,0.37290050,0.00606877,0.04262924,0.03484623,0.08069678,0.08239061,0.69141965,0.16679496
5.47773887,0.73396761,0.36016980,0.00599882,0.03991523,0.03503189,0.08191038,0.08247775,0.67489332,0.16733097
5.48374187,0.72184831,0.34949801,0.00592642,0.03728488,0.03541267,0.08363375,0.08299960,0.65987693,0.16865523
5.48974487,0.71294052,0.34072161,0.00585195,0.03477023,0.03595806,0.08578734,0.08391158,0.64634886,0.17067017
5.49574787,0.70693493,0.33368585,0.00577595,0.03240239,0.03663650,0.08829121,0.08516401,0.63425996,0.17327774
5.50175088,0.70352238,0.32825034,0.00569912,0.03021133,0.03741647,0.09106750,0.08670441,0.62354109,0.17638312
5.50775388,0.70240750,0.32429383,0.00562232,0.02822579,0.03826758,0.09404278,0.08847989,0.61411141,0.17989809
5.51375688,0.70332142,0.32171816,0.00554660,0.02647310,0.03916164,0.09715022,0.09043939,0.60588701,0.18374415
5.51975988,0.70603300,0.32045123,0.00547312,0.02497908,0.04007364,0.10033153,0.09253578,0.59878934,0.18785503
5.52576288,0.71035817,0.32044910,0.00540323,0.02376798,0.04098265,0.10353846,0.09472763,0.59275300,0.19217872
5.53176588,0.71616706,0.32169696,0.00533837,0.02286242,0.04187255,0.10673390,0.09698063,0.58773250,0.19667870
5.53776888,0.72338851,0.32420918,0.00528013,0.02228334,0.04273255,0.10989251,0.09926856,0.58370766,0.20133439
5.54377189,0.73201193,0.32802837,0.00523015,0.02205000,0.04355758,0.11300080,0.10157370,0.58068726,0.20614080
5.54977489,0.74208633,0.33322343,0.00519014,0.02217999,0.04434842,0.11605671,0.10388686,0.57871086,0.21110742
5.55577789,0.75371664,0.33988672,0.00516181,0.02268923,0.04511160,0.11906858,0.10620681,0.57784878,0.21625626
5.56178089,0.76705755,0.34813048,0.00514685,0.02359203,0.04585920,0.12205385,0.10853929,0.57820006,0.22161927
