energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-1.70785393,2.62590432,0.01943290,0.03117692,0.08282019,1.75430908,0.58875553,0.67737608,0.02482820,0.03399049
-1.70185093,2.63450509,0.01831019,0.03240455,0.08467377,1.77286147,0.58155026,0.66722859,0.02397253,0.03467340
-1.69584792,2.64032637,0.01725757,0.03363478,0.08658008,1.78833647,0.57453841,0.65713849,0.02311736,0.03549315
-1.68984492,2.64306643,0.01627949,0.03485949,0.08849380,1.80045161,0.56773917,0.64710293,0.02225939,0.03644043
-1.68384192,2.64258800,0.01537951,0.03607155,0.09037653,1.80906323,0.56117615,0.63714016,0.02139635,0.03750611
-1.67783892,2.63891672,0.01456020,0.03726463,0.09219708,1.81416794,0.55487670,0.62728691,0.02052710,0.03868099
-1.67183592,2.63223357,0.01382326,0.03843308,0.09393174,1.81589911,0.54887112,0.61759512,0.01965161,0.03995554
-1.66583292,2.62286161,0.01316953,0.03957178,0.09556439,1.81451837,0.54319137,0.60812798,0.01877101,0.04131978
-1.65982991,2.61124792,0.01259903,0.04067600,0.09708650,1.81040304,0.53786955,0.59895543,0.01788752,0.04276309
-1.65382691,2.59794151,0.01211102,0.04174130,0.09849704,1.80402984,0.53293629,0.59014932,0.01700440,0.04427423
-1.64782391,2.58356849,0.01170398,0.04276342,0.09980220,1.79595607,0.52841897,0.58177851,0.01612582,0.04584137
-1.64182091,2.56880577,0.01137566,0.04373830,0.10101509,1.78679901,0.52434012,0.57390408,0.01525676,0.04745220
-1.63581791,2.55435471,0.01112307,0.04466202,0.10215525,1.77721468,0.52071611,0.56657508,0.01440283,0.04909419
-1.62981491,2.54091604,0.01094248,0.04553096,0.10324818,1.76787695,0.51755627,0.55982492,0.01357014,0.05075487
-1.62381191,2.52916716,0.01082942,0.04634184,0.10432470,1.75945778,0.51486266,0.55366886,0.01276506,0.05242220
-1.61780890,2.51974304,0.01077869,0.04709193,0.10542030,1.75260957,0.51263049,0.54810266,0.01199410,0.05408500
-1.61180590,2.51322133,0.01078437,0.04777928,0.10657451,1.74795006,0.51084935,0.54310249,0.01126368,0.05573339
-1.60580290,2.51011224,0.01083991,0.04840291,0.10783018,1.74605024,0.50950521,0.53862631,0.01057999,0.05735925
-1.59979990,2.51085318,0.01093814,0.04896309,0.10923280,1.74742555,0.50858312,0.53461653,0.00994884,0.05895667
-1.59379690,2.51580819,0.01107138,0.04946161,0.11082978,1.75253018,0.50807048,0.53100387,0.00937547,0.06052231
-1.58779390,2.52527149,0.01123160,0.04990198,0.11266983,1.76175441,0.50796082,0.52771222,0.00886448,0.06205571
-1.58179090,2.53947441,0.01141049,0.05028967,0.11480221,1.77542458,0.50825766,0.52466422,0.00841971,0.06355952
-1.57578789,2.55859493,0.01159969,0.05063225,0.11727610,1.79380500,0.50897835,0.52178715,0.00804414,0.06503960
-1.56978489,2.58276841,0.01179094,0.05093953,0.12013994,1.81710145,0.51015769,0.51901892,0.00773983,0.06650498
-1.56378189,2.61209880,0.01197626,0.05122353,0.12344067,1.84546543,0.51185079,0.51631356,0.00750788,0.06796771
-1.55777889,2.64666882,0.01214814,0.05149853,0.12722311,1.87899854,0.51413520,0.51364602,0.00734839,0.06944256
-1.55177589,2.68654845,0.01229970,0.05178086,0.13152913,1.91775653,0.51711198,0.51101593,0.00726042,0.07094663
-1.54577289,2.73180064,0.01242485,0.05208875,0.13639695,1.96175237,0.52090545,0.50844996,0.00724203,0.07249878
-1.53976988,2.78248390,0.01251844,0.05244203,0.14186032,2.01095811,0.52566169,0.50600263,0.00729023,0.07411907
-1.53376688,2.83865121,0.01257631,0.05286178,0.14794770,2.06530527,0.53154558,0.50375559,0.00740107,0.07582803
-1.52776388,2.90034533,0.01259539,0.05336987,0.15468143,2.12468373,0.53873646,0.50181515,0.00756963,0.07764596
