energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
5.53176588,2.06112506,0.02939756,0.36772203,0.22418936,0.00000000,0.42515301,1.45314934
5.53776888,2.09916793,0.03012147,0.37603627,0.23302441,0.00000000,0.44285386,1.45730517
5.54377189,2.14155675,0.03098646,0.38408278,0.24206801,0.00000000,0.46230904,1.46687789
5.54977489,2.18770832,0.03199457,0.39178177,0.25115549,0.00000000,0.48333641,1.48169338
5.55577789,2.23692911,0.03314588,0.39904680,0.26011367,0.00000000,0.50571879,1.50145545
5.56178089,2.28843019,0.03443826,0.40578537,0.26876531,0.00000000,0.52920754,1.52575323
5.56778389,2.34134447,0.03586723,0.41189991,0.27693382,0.00000000,0.55352719,1.55407086
5.57378689,2.39474610,0.03742577,0.41728925,0.28444804,0.00000000,0.57838100,1.58579942
5.57978989,2.44767152,0.03910416,0.42185061,0.29114710,0.00000000,0.60345732,1.62025100
5.58579290,2.49914172,0.04088992,0.42548204,0.29688489,0.00000000,0.62843665,1.65667452
5.59179590,2.54818530,0.04276781,0.42808521,0.30153424,0.00000000,0.65299912,1.69427325
5.59779890,2.59386152,0.04471983,0.42956864,0.30499058,0.00000000,0.67683221,1.73222336
5.60380190,2.63528294,0.04672547,0.42985100,0.30717478,0.00000000,0.69963831,1.76969335
5.60980490,2.67163656,0.04876190,0.42886444,0.30803536,0.00000000,0.72114201,1.80586355
5.61580790,2.70220316,0.05080436,0.42655774,0.30754966,0.00000000,0.74109663,1.83994524
5.62181091,2.72637368,0.05282663,0.42289914,0.30572415,0.00000000,0.75928972,1.87119880
5.62781391,2.74366227,0.05480152,0.41787852,0.30259373,0.00000000,0.77554733,1.89895009
5.63381691,2.75371535,0.05670151,0.41150898,0.29822013,0.00000000,0.78973678,1.92260463
5.63981991,2.75631617,0.05849934,0.40382748,0.29268936,0.00000000,0.80176771,1.94165890
5.64582291,2.75138480,0.06016867,0.39489468,0.28610847,0.00000000,0.81159150,1.95570850
5.65182591,2.73897343,0.06168466,0.38479377,0.27860157,0.00000000,0.81919886,1.96445269
5.65782891,2.71925710,0.06302462,0.37362841,0.27030548,0.00000000,0.82461585,1.96769538
5.66383192,2.69252054,0.06416841,0.36151992,0.26136497,0.00000000,0.82789861,1.96534245
5.66983492,2.65914142,0.06509896,0.34860371,0.25192800,0.00000000,0.82912682,1.95739580
5.67583792,2.61957119,0.06580246,0.33502522,0.24214096,0.00000000,0.82839659,1.94394440
5.68184092,2.57431420,0.06626866,0.32093558,0.23214436,0.00000000,0.82581293,1.92515298
5.68784392,2.52390638,0.06649084,0.30648715,0.22206879,0.00000000,0.82148249,1.90124905
5.69384692,2.46889436,0.06646585,0.29182913,0.21203167,0.00000000,0.81550674,1.87250897
5.69984992,2.40981632,0.06619390,0.27710362,0.20213461,0.00000000,0.80797624,1.83924390
5.70585293,2.34718533,0.06567840,0.26244204,0.19246167,0.00000000,0.79896625,1.80178633
5.71185593,2.28147597,0.06492562,0.24796225,0.18307840,0.00000000,0.78853391,1.76047801
5.71785893,2.21311498,0.06394440,0.23376644,0.17403179,0.00000000,0.77671719,1.71565976
5.72386193,2.14247603,0.06274575,0.21993978,0.16535091,0.00000000,0.76353568,1.66766365
5.72986493,2.06987879,0.06134256,0.20654987,0.15704843,0.00000000,0.74899314,1.61680775
5.73586793,1.99559210,0.05974924,0.19364699,0.14912255,0.00000000,0.73308149,1.56339364
5.74187094,1.91984066,0.05798144,0.18126502,0.14155961,0.00000000,0.71578619,1.50770634
5.74787394,1.84281473,0.05605576,0.16942294,0.13433682,0.00000000,0.69709242,1.45001664
5.75387694,1.76468181,0.05398959,0.15812680,0.12742534,0.00000000,0.67699172,1.39058509
5.75987994,1.68559959,0.05180092,0.14737197,0.12079326,0.00000000,0.65548861,1.32966738
5.76588294,1.60572893,0.04950817,0.13714559,0.11440850,0.00000000,0.63260677,1.26752028
5.77188594,1.52524617,0.04713015,0.12742897,0.10824150,0.00000000,0.60839434,1.20440766
5.77788894,1.44435379,0.04468592,0.11819992,0.10226753,0.00000000,0.58292793,1.14060594
5.78389195,1.36328873,0.04219470,0.10943484,0.09646864,0.00000000,0.55631524,1.07640841
5.78989495,1.28232797,0.03967580,0.10111048,0.09083506,0.00000000,0.52869588,1.01212821
5.79589795,1.20179090,0.03714851,0.09320540,0.08536628,0.00000000,0.50024057,0.94809941
5.80190095,1.12203867,0.03463195,0.08570093,0.08007155,0.00000000,0.47114864,0.88467639
5.80790395,1.04347038,0.03214491,0.07858183,0.07496999,0.00000000,0.44164403,0.82223133
5.81390695,0.96651674,0.02970571,0.07183653,0.07009037,0.00000000,0.41197000,0.76115003
5.81990995,0.89163140,0.02733197,0.06545705,0.06547051,0.00000000,0.38238289,0.70182642
5.82591296,0.81928080,0.02504043,0.05943864,0.06115641,0.00000000,0.35314534,0.64465597
5.83191596,0.74993306,0.02284672,0.05377922,0.05720127,0.00000000,0.32451913,0.59002852
5.83791896,0.68404646,0.02076517,0.04847871,0.05366426,0.00000000,0.29675827,0.53832089
5.84392196,0.62205839,0.01880862,0.04353820,0.05060923,0.00000000,0.27010245,0.48988959
5.84992496,0.56437492,0.01698827,0.03895921,0.04810337,0.00000000,0.24477122,0.44506407
5.85592796,0.51136170,0.01531351,0.03474297,0.04621574,0.00000000,0.22095913,0.40414068
5.86193097,0.46333623,0.01379189,0.03088971,0.04501582,0.00000000,0.19883184,0.36737749
5.86793397,0.42056175,0.01242897,0.02739816,0.04457193,0.00000000,0.17852350,0.33499008
5.87393697,0.38324271,0.01122837,0.02426511,0.04494955,0.00000000,0.16013507,0.30714824
5.87993997,0.35152163,0.01019174,0.02148517,0.04620964,0.00000000,0.14373391,0.28397357
5.88594297,0.32547733,0.00931879,0.01905055,0.04840667,0.00000000,0.12935410,0.26553770
5.89194597,0.30512415,0.00860739,0.01695108,0.05158668,0.00000000,0.11699775,0.25186118
5.89794897,0.29041193,0.00805358,0.01517426,0.05578512,0.00000000,0.10663682,0.24291258
5.90395198,0.28122659,0.00765171,0.01370536,0.06102465,0.00000000,0.09821547,0.23860810
5.90995498,0.27739110,0.00739455,0.01252762,0.06731289,0.00000000,0.09165270,0.23881107
5.91595798,0.27866666,0.00727333,0.01162250,0.07464021,0.00000000,0.08684519,0.24333189
5.92196098,0.28475421,0.00727791,0.01096986,0.08297761,0.00000000,0.08367018,0.25192796
5.92796398,0.29529621,0.00739687,0.01054827,0.09227498,0.00000000,0.08198836,0.26430403
5.93396698,0.30987886,0.00761763,0.01033519,0.10245959,0.00000000,0.08164671,0.28011309
5.93996998,0.32803501,0.00792660,0.01030721,0.11343518,0.00000000,0.08248124,0.29895791
5.94597299,0.34924790,0.00830934,0.01044030,0.12508173,0.00000000,0.08431970,0.32039363
5.95197599,0.37295607,0.00875069,0.01071001,0.13725591,0.00000000,0.08698422,0.34393152
5.95797899,0.39855958,0.00923501,0.01109170,0.14979244,0.00000000,0.09029396,0.36904418
5.96398199,0.42542774,0.00974637,0.01156073,0.16250640,0.00000000,0.09406770,0.39517234
5.96998499,0.45290846,0.01026881,0.01209275,0.17519640,0.00000000,0.09812659,0.42173327
5.97598799,0.48033902,0.01078659,0.01266393,0.18764870,0.00000000,0.10229679,0.44813075
5.98199100,0.50705840,0.01128448,0.01325126,0.19964211,0.00000000,0.10641218,0.47376658
5.98799400,0.53242059,0.01174805,0.01383280,0.21095359,0.00000000,0.11031711,0.49805311
5.99399700,0.55580874,0.01216397,0.01438804,0.22136425,0.00000000,0.11386894,0.52042667
6.00000000,0.57664947,0.01252028,0.01489818,0.23066576,0.00000000,0.11694054,0.54036122
