energy_ev,total_up,Al_p_up,Al_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
4.43921961,1.21425185,0.50160258,0.00000000,0.05344595,0.30471576,1.43814203,0.01083187
4.44522261,1.27052574,0.52420295,0.00000000,0.05475954,0.32450680,1.49893254,0.01124595
4.45122561,1.32548851,0.54534504,0.00000000,0.05597956,0.34537890,1.55572164,0.01166224
4.45722861,1.37874587,0.56466956,0.00000000,0.05710869,0.36728437,1.60797399,0.01208102
4.46323162,1.42992859,0.58184955,0.00000000,0.05815107,0.39014484,1.65524112,0.01250274
4.46923462,1.47869851,0.59659967,0.00000000,0.05911181,0.41384962,1.69717328,0.01292798
4.47523762,1.52475407,0.60868467,0.00000000,0.05999668,0.43825516,1.73352866,0.01335742
4.48124062,1.56783519,0.61792658,0.00000000,0.06081169,0.46318577,1.76417947,0.01379172
4.48724362,1.60772727,0.62421025,0.00000000,0.06156270,0.48843558,1.78911444,0.01423149
4.49324662,1.64426404,0.62748703,0.00000000,0.06225515,0.51377175,1.80843762,0.01467722
4.49924962,1.67732910,0.62777623,0.00000000,0.06289375,0.53893877,1.82236320,0.01512919
4.50525263,1.70685594,0.62516427,0.00000000,0.06348226,0.56366387,1.83120651,0.01558742
4.51125563,1.73282648,0.61980160,0.00000000,0.06402340,0.58766318,1.83537135,0.01605162
4.51725863,1.75526788,0.61189731,0.00000000,0.06451876,0.61064855,1.83533414,0.01652107
4.52326163,1.77424800,0.60171177,0.00000000,0.06496882,0.63233472,1.83162536,0.01699462
4.52926463,1.78986942,0.58954759,0.00000000,0.06537300,0.65244654,1.82480901,0.01747062
4.53526763,1.80226235,0.57573923,0.00000000,0.06572980,0.67072608,1.81546099,0.01794686
4.54127064,1.81157681,0.56064181,0.00000000,0.06603702,0.68693921,1.80414723,0.01842058
4.54727364,1.81797434,0.54461955,0.00000000,0.06629191,0.70088163,1.79140258,0.01888841
4.55327664,1.82161978,0.52803435,0.00000000,0.06649151,0.71238387,1.77771134,0.01934644
4.55927964,1.82267344,0.51123504,0.00000000,0.06663284,0.72131536,1.76349038,0.01979019
4.56528264,1.82128424,0.49454769,0.00000000,0.06671323,0.72758731,1.74907561,0.02021469
4.57128564,1.81758404,0.47826743,0.00000000,0.06673053,0.73115434,1.73471241,0.02061455
4.57728864,1.81168364,0.46265200,0.00000000,0.06668342,0.73201500,1.72055042,0.02098409
4.58329165,1.80367061,0.44791724,0.00000000,0.06657157,0.73021098,1.70664307,0.02131740
4.58929465,1.79360914,0.43423467,0.00000000,0.06639583,0.72582529,1.69295165,0.02160855
4.59529765,1.78154197,0.42173109,0.00000000,0.06615833,0.71897947,1.67935386,0.02185175
