energy_ev,total_up,P_s_up,P_p_up,S_s_up,S_p_up,Y_p_up,Y_d_up
4.36718359,1.86412790,0.00443269,0.20836701,0.08007146,0.14726063,0.97287612,1.89070865
4.37318659,1.88968376,0.00463915,0.21097569,0.07990796,0.14951755,0.99603868,1.91257929
4.37918959,1.91802331,0.00491117,0.21408354,0.07992533,0.15223495,1.02033659,1.93589983
4.38519260,1.94921274,0.00525083,0.21775438,0.08012908,0.15540770,1.04557904,1.96074489
4.39119560,1.98323851,0.00565925,0.22203620,0.08051734,0.15902070,1.07154468,1.98713660
4.39719860,2.01999812,0.00613643,0.22695807,0.08108100,0.16304855,1.09798472,2.01503432
4.40320160,2.05929134,0.00668118,0.23252755,0.08180404,0.16745522,1.12462541,2.04432425
4.40920460,2.10081253,0.00729105,0.23872843,0.08266396,0.17219374,1.15116993,2.07480982
4.41520760,2.14414471,0.00796227,0.24551912,0.08363250,0.17720604,1.17729973,2.10620359
4.42121061,2.18875631,0.00868968,0.25283180,0.08467636,0.18242298,1.20267567,2.13812156
4.42721361,2.23400130,0.00946670,0.26057235,0.08575814,0.18776462,1.22693920,2.17008081
4.43321661,2.27912351,0.01028537,0.26862117,0.08683731,0.19314091,1.24971394,2.20150119
4.43921961,2.32326575,0.01113635,0.27683505,0.08787129,0.19845282,1.27060819,2.23171177
4.44522261,2.36548400,0.01200901,0.28504995,0.08881653,0.20359390,1.28921851,2.25996237
4.45122561,2.40476697,0.01289161,0.29308474,0.08962966,0.20845236,1.30513486,2.28544037
4.45722861,2.44006066,0.01377143,0.30074583,0.09026861,0.21291365,1.31794731,2.30729243
4.46323162,2.47029739,0.01463500,0.30783257,0.09069367,0.21686345,1.32725455,2.32465069
4.46923462,2.49442854,0.01546841,0.31414316,0.09086856,0.22019094,1.33267378,2.33666251
4.47523762,2.51145964,0.01625759,0.31948100,0.09076138,0.22279239,1.33385204,2.34252241
4.48124062,2.52048635,0.01698866,0.32366112,0.09034546,0.22457466,1.33047829,2.34150505
4.48724362,2.52072979,0.01764826,0.32651648,0.08960004,0.22545871,1.32229574,2.33299728
4.49324662,2.51156943,0.01822398,0.32790384,0.08851093,0.22538278,1.30911389,2.31652790
4.49924962,2.49257171,0.01870461,0.32770898,0.08707083,0.22430504,1.29081933,2.29179330
4.50525263,2.46351297,0.01908056,0.32585096,0.08527959,0.22220573,1.26738492,2.25867748
4.51125563,2.42439518,0.01934408,0.32228531,0.08314421,0.21908847,1.23887637,2.21726534
4.51725863,2.37545346,0.01948954,0.31700586,0.08067867,0.21498072,1.20545597,2.16784806
4.52326163,2.31715484,0.01951356,0.31004530,0.07790358,0.20993343,1.16738289,2.11092028
4.52926463,2.25018790,0.01941516,0.30147424,0.07484556,0.20401963,1.12500995,2.04716879
4.53526763,2.17544368,0.01919575,0.29139897,0.07153658,0.19733230,1.07877681,1.97745310
4.54127064,2.09398864,0.01885908,0.27995797,0.06801302,0.18998135,1.02919977,1.90277877
4.54727364,2.00703063,0.01841115,0.26731731,0.06431474,0.18209004,0.97685866,1.82426452
4.55327664,1.91587969,0.01785997,0.25366520,0.06048395,0.17379084,0.92238125,1.74310472
4.55927964,1.82190521,0.01721535,0.23920588,0.05656416,0.16522104,0.86642602,1.66052899
4.56528264,1.72649151,0.01648855,0.22415330,0.05259904,0.15651821,0.80966395,1.57776069
4.57128564,1.63099400,0.01569199,0.20872459,0.04863134,0.14781582,0.75276033,1.49597643
4.57728864,1.53669758,0.01483884,0.19313388,0.04470192,0.13923910,0.69635718,1.41626823
4.58329165,1.44477947,0.01394269,0.17758650,0.04084887,0.13090142,0.64105731,1.33961018
4.58929465,1.35627766,0.01301715,0.16227395,0.03710671,0.12290124,0.58741043,1.26683101
4.59529765,1.27206653,0.01207554,0.14736965,0.03350586,0.11531982,0.53590207,1.19859367
4.60130065,1.19284024,0.01113057,0.13302571,0.03007217,0.10821974,0.48694543,1.13538265
4.60730365,1.11910449,0.01019406,0.11937066,0.02682667,0.10164421,0.44087662,1.07749949
4.61330665,1.05117663,0.00927673,0.10650833,0.02378549,0.09561728,0.39795311,1.02506639
4.61930965,0.98919372,0.00838801,0.09451760,0.02095992,0.09014475,0.35835541,0.97803741
4.62531266,0.93312784,0.00753595,0.08345313,0.01835661,0.08521583,0.32219153,0.93621669
4.63131566,0.88280761,0.00672715,0.07334685,0.01597792,0.08080542,0.28950404,0.89928242
4.63731866,0.83794462,0.00596674,0.06421013,0.01382237,0.07687676,0.26027905,0.86681539
4.64332166,0.79816337,0.00525842,0.05603638,0.01188506,0.07338453,0.23445671,0.83833068
4.64932466,0.76303323,0.00460452,0.04880400,0.01015833,0.07027805,0.21194257,0.81331086
4.65532766,0.73210078,0.00400613,0.04247952,0.00863225,0.06750455,0.19261926,0.79123927
4.66133067,0.70492123,0.00346321,0.03702068,0.00729525,0.06501231,0.17635801,0.77163187
4.66733367,0.68108741,0.00297475,0.03237949,0.00613465,0.06275364,0.16302941,0.75406639
4.67333667,0.66025542,0.00253891,0.02850493,0.00513722,0.06068752,0.15251310,0.73820744
4.67933967,0.64216571,0.00215320,0.02534550,0.00428962,0.05878178,0.14470595,0.72382695
4.68534267,0.62665919,0.00181461,0.02285126,0.00357888,0.05701495,0.13952857,0.71081899
4.69134567,0.61368771,0.00151980,0.02097551,0.00299273,0.05537746,0.13692982,0.69920867
4.69734867,0.60331888,0.00126519,0.01967609,0.00251994,0.05387246,0.13688942,0.68915501
4.70335168,0.59573516,0.00104712,0.01891619,0.00215055,0.05251606,0.13941841,0.68094777
4.70935468,0.59122765,0.00086192,0.01866476,0.00187609,0.05133712,0.14455776,0.67499861
4.71535768,0.59018480,0.00070604,0.01889665,0.00168964,0.05037653,0.15237498,0.67182713
4.72136068,0.59307686,0.00057606,0.01959231,0.00158598,0.04968619,0.16295917,0.67204234
4.72736368,0.60043670,0.00046880,0.02073726,0.00156158,0.04932746,0.17641448,0.67632049
4.73336668,0.61283773,0.00038133,0.02232134,0.00161456,0.04936941,0.19285243,0.68537997
4.73936968,0.63086981,0.00031099,0.02433779,0.00174462,0.04988680,0.21238326,0.69995432
4.74537269,0.65511398,0.00025540,0.02678216,0.00195290,0.05095773,0.23510667,0.72076413
4.75137569,0.68611685,0.00021248,0.02965121,0.00224185,0.05266119,0.26110225,0.74848875
4.75737869,0.72436526,0.00018041,0.03294166,0.00261495,0.05507448,0.29041999,0.78373867
4.76338169,0.77026222,0.00015763,0.03664909,0.00307648,0.05827049,0.32307114,0.82702929
4.76938469,0.82410451,0.00014282,0.04076671,0.00363123,0.06231494,0.35901976,0.87875681
4.77538769,0.88606277,0.00013486,0.04528435,0.00428411,0.06726359,0.39817540,0.93917685
4.78139070,0.95616441,0.00013284,0.05018742,0.00503980,0.07315961,0.44038693,1.00838634
4.78739370,1.03428000,0.00013597,0.05545606,0.00590235,0.08003089,0.48543811,1.08630925
4.79339670,1.12011343,0.00014363,0.06106438,0.00687474,0.08788771,0.53304491,1.17268639
4.79939970,1.21319626,0.00015527,0.06697994,0.00795846,0.09672051,0.58285475,1.26706993
4.80540270,1.31288649,0.00017043,0.07316335,0.00915310,0.10649816,0.63444803,1.36882255
4.81140570,1.41837202,0.00018871,0.07956807,0.01045596,0.11716657,0.68734165,1.47712178
4.81740870,1.52867895,0.00020973,0.08614053,0.01186171,0.12864792,0.74099489,1.59096938
4.82341171,1.64268468,0.00023315,0.09282041,0.01336213,0.14084042,0.79481734,1.70920599
4.82941471,1.75913593,0.00025861,0.09954123,0.01494593,0.15361893,0.84817891,1.83053078
4.83541771,1.87667125,0.00028577,0.10623123,0.01659863,0.16683618,0.90042160,1.95352603
4.84142071,1.99384793,0.00031425,0.11281447,0.01830266,0.18032498,0.95087292,2.07668610
4.84742371,2.10917267,0.00034370,0.11921233,0.02003749,0.19390113,0.99886052,2.19845044
4.85342671,2.22113544,0.00037372,0.12534516,0.02177995,0.20736717,1.04372769,2.31723967
4.85942971,2.32824567,0.00040393,0.13113429,0.02350468,0.22051687,1.08484930,2.43149408
4.86543272,2.42906981,0.00043396,0.13650412,0.02518467,0.23314031,1.12164779,2.53971332
4.87143572,2.52226914,0.00046347,0.14138447,0.02679199,0.24502947,1.15360853,2.64049620
4.87743872,2.60663664,0.00049212,0.14571298,0.02829852,0.25598409,1.18029428,2.73257919
4.88344172,2.68113159,0.00051967,0.14943748,0.02967679,0.26581762,1.20135810,2.81487239
4.88944472,2.74491070,0.00054593,0.15251829,0.03090087,0.27436301,1.21655422,2.88649160
4.89544772,2.79735436,0.00057081,0.15493038,0.03194720,0.28147813,1.22574660,2.94678516
4.90145073,2.83808713,0.00059435,0.15666511,0.03279541,0.28705054,1.22891460,2.99535449
4.90745373,2.86699131,0.00061670,0.15773172,0.03342906,0.29100146,1.22615563,3.03206739
4.91345673,2.88421298,0.00063817,0.15815821,0.03383621,0.29328871,1.21768453,3.05706343
4.91945973,2.89016012,0.00065922,0.15799174,0.03400994,0.29390843,1.20382959,3.07075098
4.92546273,2.88549249,0.00068048,0.15729830,0.03394860,0.29289559,1.18502524,3.07379601
4.93146573,2.87110382,0.00070275,0.15616180,0.03365590,0.29032316,1.16180163,3.06710275
4.93746873,2.84809651,0.00072698,0.15468244,0.03314086,0.28630002,1.13477129,3.05178705
4.94347174,2.81774995,0.00075427,0.15297439,0.03241749,0.28096760,1.10461330,3.02914325
4.94947474,2.78148337,0.00078588,0.15116286,0.03150436,0.27449549,1.07205551,3.00060586
4.95547774,2.74081476,0.00082313,0.14938070,0.03042394,0.26707614,1.03785528,2.96770736
4.96148074,2.69731715,0.00086745,0.14776448,0.02920188,0.25891880,1.00277946,2.93203376
4.96748374,2.65257396,0.00092029,0.14645031,0.02786615,0.25024309,0.96758421,2.89517940
4.97348674,2.60813487,0.00098308,0.14556955,0.02644614,0.24127233,0.93299537,2.85870269
4.97948974,2.56547374,0.00105721,0.14524444,0.02497172,0.23222693,0.89968994,2.82408407
4.98549275,2.52594994,0.00114395,0.14558401,0.02347234,0.22331809,0.86827941,2.79268766
4.99149575,2.49077432,0.00124439,0.14668026,0.02197617,0.21474197,0.83929525,2.76572762
4.99749875,2.46098062,0.00135940,0.14860488,0.02050936,0.20667468,0.81317727,2.74424015
5.00350175,2.43740319,0.00148961,0.15140657,0.01909531,0.19926798,0.79026486,2.72906165
5.00950475,2.42066138,0.00163528,0.15510913,0.01775422,0.19264609,0.77079159,2.72081352
5.01550775,2.41115081,0.00179635,0.15971033,0.01650267,0.18690347,0.75488318,2.71989364
5.02151076,2.40904151,0.00197235,0.16518174,0.01535340,0.18210368,0.74255870,2.72647442
5.02751376,2.41428262,0.00216241,0.17146934,0.01431525,0.17827930,0.73373512,2.74050723
5.03351676,2.42661330,0.00236525,0.17849505,0.01339319,0.17543281,0.72823470,2.76173265
5.03951976,2.44557916,0.00257918,0.18615908,0.01258858,0.17353849,0.72579516,2.78969601
5.04552276,2.47055358,0.00280214,0.19434292,0.01189942,0.17254498,0.72608202,2.82376756
5.05152576,2.50076314,0.00303174,0.20291305,0.01132086,0.17237865,0.72870277,2.86316664
5.05752876,2.53531628,0.00326531,0.21172496,0.01084560,0.17294743,0.73322236,2.90698891
5.06353177,2.57323430,0.00349998,0.22062758,0.01046455,0.17414505,0.73917946,2.95423612
