energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-5.71785893,0.32944780,-1.60467172,0.00008213,-0.00056063,0.00386406,-0.02047170,0.11911460,-0.51771603,0.04403430,-0.29363872,0.11085452,-0.39574344,0.04938503,-0.14572742,0.00145081,-0.00771715,0.20525261,-1.02496767
-5.71185593,0.31740984,-1.60499735,0.00006687,-0.00054055,0.00388725,-0.01964316,0.11828287,-0.51462972,0.04174717,-0.29378674,0.11171226,-0.39059828,0.04600896,-0.14702198,0.00125918,-0.00812161,0.19933705,-1.02645185
-5.70585293,0.31053151,-1.60057404,0.00005409,-0.00051906,0.00397052,-0.01891176,0.11900022,-0.50993828,0.04024586,-0.29254127,0.11380317,-0.38457429,0.04350387,-0.14793511,0.00110238,-0.00856542,0.19650060,-1.02483159
-5.69984992,0.30831567,-1.59119736,0.00004347,-0.00049621,0.00411089,-0.01826041,0.12107900,-0.50365999,0.03946748,-0.28988859,0.11693989,-0.37764381,0.04179364,-0.14842961,0.00097912,-0.00903965,0.19643415,-1.01999634
-5.69384692,0.31026009,-1.57679595,0.00003472,-0.00047216,0.00430559,-0.01767464,0.12432689,-0.49585280,0.03935006,-0.28584861,0.12092760,-0.36981944,0.04080133,-0.14847824,0.00088816,-0.00953465,0.19882415,-1.01191654
-5.68784392,0.31587272,-1.55742575,0.00002756,-0.00044707,0.00455225,-0.01714271,0.12855200,-0.48661098,0.03983471,-0.28047327,0.12556842,-0.36115219,0.04045174,-0.14806361,0.00082840,-0.01004010,0.20336203,-1.00063978
-5.68184092,0.32468528,-1.53326017,0.00002175,-0.00042116,0.00484903,-0.01665558,0.13356757,-0.47606079,0.04086741,-0.27384400,0.13066592,-0.35172821,0.04067348,-0.14717781,0.00079899,-0.01054521,0.20975254,-0.98628455
-5.67583792,0.33626491,-1.50457724,0.00001708,-0.00039469,0.00519477,-0.01620679,0.13919640,-0.46435532,0.04240046,-0.26606820,0.13602940,-0.34166427,0.04140086,-0.14582173,0.00079932,-0.01103887,0.21772114,-0.96903223
-5.66983492,0.35022382,-1.47174432,0.00001336,-0.00036791,0.00558903,-0.01579222,0.14527483,-0.45166884,0.04439358,-0.25727507,0.14147800,-0.33110231,0.04257522,-0.14400434,0.00082908,-0.01150993,0.22702013,-0.94911775
-5.66383192,0.36622666,-1.43520134,0.00001044,-0.00034109,0.00603222,-0.01540979,0.15165607,-0.43819072,0.04681455,-0.24761090,0.14684454,-0.32020327,0.04414600,-0.14174180,0.00088824,-0.01194740,0.23743359,-0.92681933
-5.65782891,0.38399552,-1.39544326,0.00000816,-0.00031447,0.00652557,-0.01505912,0.15821306,-0.42411939,0.04963952,-0.23723404,0.15197901,-0.30914042,0.04607137,-0.13905654,0.00097704,-0.01234074,0.24878076,-0.90244794
