energy_ev,total_up,As_p_up,As_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
4.91945973,1.02986021,0.45173729,0.00000000,0.31702964,0.22802163,0.06292273,0.29830084
4.92546273,1.03024322,0.45544650,0.00000000,0.30772931,0.22818601,0.06265004,0.30283651
4.93146573,1.03051077,0.45849345,0.00000000,0.29863114,0.22853821,0.06231512,0.30734417
4.93746873,1.03030872,0.46081323,0.00000000,0.28967470,0.22898937,0.06188890,0.31171267
4.94347174,1.02930454,0.46235842,0.00000000,0.28080920,0.22945141,0.06134470,0.31583248
4.94947474,1.02719276,0.46309565,0.00000000,0.27199517,0.22983840,0.06065940,0.31959648
4.95547774,1.02369904,0.46300186,0.00000000,0.26320527,0.23006755,0.05981444,0.32290068
4.96148074,1.01858276,0.46206041,0.00000000,0.25442426,0.23006000,0.05879660,0.32564475
4.96748374,1.01163855,0.46025733,0.00000000,0.24564838,0.22974159,0.05759855,0.32773271
4.97348674,1.00269699,0.45757832,0.00000000,0.23688412,0.22904340,0.05621918,0.32907370
4.97948974,0.99162483,0.45400634,0.00000000,0.22814666,0.22790238,0.05466368,0.32958291
4.98549275,0.97832481,0.44952038,0.00000000,0.21945809,0.22626201,0.05294330,0.32918281
4.99149575,0.96273552,0.44409518,0.00000000,0.21084566,0.22407302,0.05107501,0.32780461
4.99749875,0.94483129,0.43770221,0.00000000,0.20233999,0.22129420,0.04908083,0.32538988
5.00350175,0.92462204,0.43031156,0.00000000,0.19397356,0.21789327,0.04698706,0.32189243
5.00950475,0.90215334,0.42189477,0.00000000,0.18577934,0.21384781,0.04482330,0.31728013
5.01550775,0.87750625,0.41242830,0.00000000,0.17778975,0.20914613,0.04262138,0.31153678
5.02151076,0.85079696,0.40189728,0.00000000,0.17003587,0.20378801,0.04041431,0.30466362
5.02751376,0.82217603,0.39029934,0.00000000,0.16254683,0.19778531,0.03823506,0.29668068
5.03351676,0.79182698,0.37764807,0.00000000,0.15534948,0.19116228,0.03611549,0.28762751
5.03951976,0.75996411,0.36397601,0.00000000,0.14846818,0.18395559,0.03408530,0.27756340
5.04552276,0.72682946,0.34933664,0.00000000,0.14192467,0.17621390,0.03217110,0.26656696
5.05152576,0.69268884,0.33380551,0.00000000,0.13573813,0.16799716,0.03039559,0.25473496
5.05752876,0.65782700,0.31748012,0.00000000,0.12992514,0.15937535,0.02877696,0.24218055
5.06353177,0.62254203,0.30047873,0.00000000,0.12449983,0.15042700,0.02732845,0.22903082
5.06953477,0.58713922,0.28293800,0.00000000,0.11947402,0.14123727,0.02605808,0.21542380
5.07553777,0.55192460,0.26500976,0.00000000,0.11485742,0.13189586,0.02496866,0.20150509
5.08154077,0.51719853,0.24685692,0.00000000,0.11065797,0.12249470,0.02405790,0.18742421
5.08754377,0.48324953,0.22864890,0.00000000,0.10688232,0.11312564,0.02331882,0.17333086
5.09354677,0.45034887,0.21055678,0.00000000,0.10353638,0.10387812,0.02274022,0.15937124
5.09954977,0.41874591,0.19274845,0.00000000,0.10062620,0.09483707,0.02230739,0.14568459
5.10555278,0.38866476,0.17538403,0.00000000,0.09815893,0.08608097,0.02200284,0.13240020
5.11155578,0.36030205,0.15861178,0.00000000,0.09614397,0.07768033,0.02180717,0.11963481
5.11755878,0.33382628,0.14256463,0.00000000,0.09459431,0.06969643,0.02169997,0.10749070
5.12356178,0.30937832,0.12735764,0.00000000,0.09352787,0.06218056,0.02166069,0.09605434
5.12956478,0.28707334,0.11308624,0.00000000,0.09296897,0.05517363,0.02166953,0.08539580
5.13556778,0.26700369,0.09982548,0.00000000,0.09294957,0.04870626,0.02170820,0.07556870
5.14157079,0.24924264,0.08763011,0.00000000,0.09351042,0.04279917,0.02176062,0.06661086
5.14757379,0.23384869,0.07653551,0.00000000,0.09470186,0.03746398,0.02181348,0.05854536
5.15357679,0.22087000,0.06655934,0.00000000,0.09658417,0.03270424,0.02185661,0.05138215
5.15957979,0.21034876,0.05770374,0.00000000,0.09922746,0.02851666,0.02188326,0.04511985
5.16558279,0.20232502,0.04995795,0.00000000,0.10271090,0.02489254,0.02189018,0.03974780
5.17158579,0.19683988,0.04330117,0.00000000,0.10712127,0.02181918,0.02187744,0.03524821
5.17758879,0.19393763,0.03770554,0.00000000,0.11255089,0.01928128,0.02184829,0.03159829
5.18359180,0.19366679,0.03313900,0.00000000,0.11909476,0.01726235,0.02180865,0.02877217
5.18959480,0.19607987,0.02956802,0.00000000,0.12684714,0.01574587,0.02176665,0.02674274
5.19559780,0.20123193,0.02695993,0.00000000,0.13589756,0.01471632,0.02173200,0.02548315
5.20160080,0.20917786,0.02528497,0.00000000,0.14632636,0.01416003,0.02171532,0.02496800
5.20760380,0.21996864,0.02451772,0.00000000,0.15820006,0.01406574,0.02172746,0.02517420
5.21360680,0.23364671,0.02463817,0.00000000,0.17156657,0.01442491,0.02177882,0.02608146
5.21960980,0.25024068,0.02563217,0.00000000,0.18645060,0.01523184,0.02187872,0.02767248
5.22561281,0.26975973,0.02749140,0.00000000,0.20284939,0.01648348,0.02203491,0.02993272
5.23161581,0.29218804,0.03021287,0.00000000,0.22072912,0.01817908,0.02225311,0.03285000
5.23761881,0.31747942,0.03379797,0.00000000,0.24002200,0.02031964,0.02253677,0.03641371
5.24362181,0.34555276,0.03825120,0.00000000,0.26062454,0.02290716,0.02288694,0.04061397
5.24962481,0.37628839,0.04357852,0.00000000,0.28239685,0.02594390,0.02330230,0.04544050
5.25562781,0.40952569,0.04978562,0.00000000,0.30516339,0.02943145,0.02377941,0.05088154
5.26163082,0.44506232,0.05687607,0.00000000,0.32871501,0.03336988,0.02431307,0.05692271
5.26763382,0.48265510,0.06484937,0.00000000,0.35281252,0.03775688,0.02489680,0.06354590
5.27363682,0.52202272,0.07369930,0.00000000,0.37719150,0.04258705,0.02552352,0.07072837
5.27963982,0.56285031,0.08341235,0.00000000,0.40156858,0.04785128,0.02618623,0.07844192
5.28564282,0.60479590,0.09396644,0.00000000,0.42564866,0.05353629,0.02687878,0.08665237
5.29164582,0.64749836,0.10533013,0.00000000,0.44913315,0.05962448,0.02759663,0.09531935
5.29764882,0.69058693,0.11746210,0.00000000,0.47172876,0.06609386,0.02833759,0.10439628
5.30365183,0.73369162,0.13031124,0.00000000,0.49315659,0.07291837,0.02910248,0.11383076
5.30965483,0.77645440,0.14381702,0.00000000,0.51316111,0.08006827,0.02989563,0.12356524
5.31565783,0.81854036,0.15791048,0.00000000,0.53151872,0.08751083,0.03072528,0.13353803
5.32166083,0.85964854,0.17251542,0.00000000,0.54804541,0.09521111,0.03160374,0.14368441
5.32766383,0.89952169,0.18755005,0.00000000,0.56260325,0.10313288,0.03254732,0.15393812
5.33366683,0.93795440,0.20292866,0.00000000,0.57510525,0.11123953,0.03357606,0.16423281
5.33966983,0.97479917,0.21856354,0.00000000,0.58551844,0.11949498,0.03471319,0.17450355
5.34567284,1.00996981,0.23436672,0.00000000,0.59386488,0.12786435,0.03598436,0.18468826
5.35167584,1.04344182,0.25025156,0.00000000,0.60022048,0.13631463,0.03741657,0.19472898
