energy_ev,total_up,In_p_up,In_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
4.67333667,1.65124173,0.61798371,0.00007362,2.01099497,0.81307169,0.04481145,0.44876490
4.67933967,1.53628074,0.56709854,0.00006942,1.84606428,0.75386703,0.04224318,0.42053915
4.68534267,1.42497920,0.51731975,0.00006553,1.68637568,0.69669078,0.03993634,0.39311116
4.69134567,1.31846646,0.46910034,0.00006198,1.53328669,0.64209362,0.03794126,0.36670775
4.69734867,1.21774802,0.42283316,0.00005880,1.38796989,0.59055953,0.03630700,0.34153090
4.70335168,1.12369010,0.37884617,0.00005603,1.25139933,0.54249892,0.03507999,0.31775536
4.70935468,1.03700864,0.33740012,0.00005369,1.12434326,0.49824398,0.03430263,0.29552702
4.71535768,0.95826232,0.29868839,0.00005180,1.00736270,0.45804627,0.03401204,0.27496192
4.72136068,0.88784956,0.26283892,0.00005039,0.90081544,0.42207623,0.03423885,0.25614589
4.72736368,0.82600873,0.22991791,0.00004945,0.80486472,0.39042447,0.03500609,0.23913459
4.73336668,0.77282155,0.19993496,0.00004900,0.71949181,0.36310452,0.03632813,0.22395406
4.73936968,0.72821882,0.17284930,0.00004903,0.64451165,0.34005682,0.03820978,0.21060159
4.74537269,0.69198841,0.14857678,0.00004953,0.57959069,0.32115364,0.04064549,0.19904679
4.75137569,0.66378492,0.12699730,0.00005048,0.52426621,0.30620484,0.04361867,0.18923309
4.75737869,0.64314090,0.10796229,0.00005185,0.47796630,0.29496417,0.04710121,0.18107929
4.76338169,0.62947942,0.09130202,0.00005361,0.44003001,0.28713611,0.05105329,0.17448155
4.76938469,0.62212770,0.07683250,0.00005571,0.40972710,0.28238302,0.05542331,0.16931555
4.77538769,0.62033201,0.06436180,0.00005811,0.38627710,0.28033273,0.06014829,0.16543896
4.78139070,0.62327346,0.05369556,0.00006074,0.36886733,0.28058632,0.06515450,0.16269424
4.78739370,0.63008489,0.04464182,0.00006354,0.35666981,0.28272625,0.07035847,0.16091182
4.79339670,0.63986856,0.03701490,0.00006643,0.34885695,0.28632461,0.07566846,0.15991347
4.79939970,0.65171457,0.03063851,0.00006935,0.34461597,0.29095163,0.08098622,0.15951608
4.80540270,0.66471977,0.02534808,0.00007222,0.34316208,0.29618415,0.08620911,0.15953563
4.81140570,0.67800684,0.02099238,0.00007496,0.34375042,0.30161409,0.09123257,0.15979122
4.81740870,0.69074310,0.01743444,0.00007750,0.34568676,0.30685665,0.09595280,0.16010932
4.82341171,0.70215868,0.01455206,0.00007977,0.34833699,0.31155813,0.10026956,0.16032773
4.82941471,0.71156344,0.01223780,0.00008170,0.35113523,0.31540316,0.10408907,0.16029953
4.83541771,0.71836215,0.01039866,0.00008325,0.35359070,0.31812101,0.10732678,0.15989650
4.84142071,0.72206743,0.00895550,0.00008437,0.35529313,0.31949092,0.10991005,0.15901219
4.84742371,0.72230998,0.00784237,0.00008503,0.35591661,0.31934621,0.11178042,0.15756428
