energy_ev,total_up,Ag_p_up,Ag_d_up,Al_p_up,Al_d_up,Te_p_up,Te_d_up
-5.35767884,2.30208459,0.32265911,1.84153103,0.08202543,0.00000000,0.30641810,0.00000000
-5.35167584,2.26092238,0.31147425,1.81264274,0.07954654,0.00000000,0.29854135,0.00000000
-5.34567284,2.21889132,0.30084528,1.78251067,0.07710988,0.00000000,0.29085738,0.00000000
-5.33966983,2.17693968,0.29099523,1.75191540,0.07477128,0.00000000,0.28343924,0.00000000
-5.33366683,2.13602937,0.28213087,1.72166241,0.07258303,0.00000000,0.27635429,0.00000000
-5.32766383,2.09710201,0.27443752,1.69255249,0.07059233,0.00000000,0.26966205,0.00000000
-5.32166083,2.06104548,0.26807452,1.66535205,0.06883997,0.00000000,0.26341234,0.00000000
-5.31565783,2.02866262,0.26317140,1.64076483,0.06735912,0.00000000,0.25764372,0.00000000
-5.30965483,2.00064329,0.25982499,1.61940629,0.06617455,0.00000000,0.25238254,0.00000000
-5.30365183,1.97754128,0.25809746,1.60178177,0.06530204,0.00000000,0.24764234,0.00000000
-5.29764882,1.95975683,0.25801533,1.58826947,0.06474817,0.00000000,0.24342395,0.00000000
-5.29164582,1.94752547,0.25956960,1.57910884,0.06451041,0.00000000,0.23971599,0.00000000
-5.28564282,1.94091339,0.26271670,1.57439463,0.06457756,0.00000000,0.23649589,0.00000000
-5.27963982,1.93981936,0.26738041,1.57407687,0.06493032,0.00000000,0.23373134,0.00000000
-5.27363682,1.94398264,0.27345461,1.57796621,0.06554230,0.00000000,0.23138200,0.00000000
-5.26763382,1.95299637,0.28080656,1.58574441,0.06638103,0.00000000,0.22940142,0.00000000
-5.26163082,1.96632531,0.28928087,1.59697893,0.06740925,0.00000000,0.22773899,0.00000000
-5.25562781,1.98332712,0.29870373,1.61114100,0.06858616,0.00000000,0.22634196,0.00000000
-5.24962481,2.00327578,0.30888743,1.62762585,0.06986886,0.00000000,0.22515717,0.00000000
-5.24362181,2.02538614,0.31963499,1.64577432,0.07121361,0.00000000,0.22413267,0.00000000
-5.23761881,2.04883848,0.33074476,1.66489470,0.07257714,0.00000000,0.22321899,0.00000000
-5.23161581,2.07280206,0.34201494,1.68428381,0.07391784,0.00000000,0.22237009,0.00000000
-5.22561281,2.09645686,0.35324783,1.70324665,0.07519686,0.00000000,0.22154397,0.00000000
-5.21960980,2.11901289,0.36425388,1.72111390,0.07637898,0.00000000,0.22070298,0.00000000
-5.21360680,2.13972673,0.37485539,1.73725683,0.07743343,0.00000000,0.21981383,0.00000000
-5.20760380,2.15791498,0.38488980,1.75109933,0.07833449,0.00000000,0.21884739,0.00000000
-5.20160080,2.17296465,0.39421269,1.76212709,0.07906196,0.00000000,0.21777832,0.00000000
-5.19559780,2.18434073,0.40270027,1.76989387,0.07960143,0.00000000,0.21658471,0.00000000
-5.18959480,2.19159114,0.41025153,1.77402527,0.07994448,0.00000000,0.21524762,0.00000000
-5.18359180,2.19434947,0.41678986,1.77422025,0.08008863,0.00000000,0.21375080,0.00000000
-5.17758879,2.19233590,0.42226430,1.77025083,0.08003723,0.00000000,0.21208057,0.00000000
-5.17158579,2.18535682,0.42665020,1.76196041,0.07979922,0.00000000,0.21022582,0.00000000
-5.16558279,2.17330347,0.42994950,1.74926124,0.07938878,0.00000000,0.20817833,0.00000000
-5.15957979,2.15614989,0.43219034,1.73213127,0.07882483,0.00000000,0.20593328,0.00000000
-5.15357679,2.13395063,0.43342628,1.71061093,0.07813045,0.00000000,0.20349004,0.00000000
-5.14757379,2.10683811,0.43373484,1.68479982,0.07733227,0.00000000,0.20085305,0.00000000
-5.14157079,2.07501990,0.43321559,1.65485374,0.07645970,0.00000000,0.19803297,0.00000000
-5.13556778,2.03877579,0.43198764,1.62098184,0.07554416,0.00000000,0.19504777,0.00000000
-5.12956478,1.99845454,0.43018671,1.58344405,0.07461822,0.00000000,0.19192387,0.00000000
-5.12356178,1.95447023,0.42796172,1.54254852,0.07371474,0.00000000,0.18869717,0.00000000
-5.11755878,1.90729791,0.42547111,1.49864906,0.07286602,0.00000000,0.18541387,0.00000000
-5.11155578,1.85746843,0.42287884,1.45214211,0.07210292,0.00000000,0.18213100,0.00000000
-5.10555278,1.80556223,0.42035038,1.40346339,0.07145408,0.00000000,0.17891658,0.00000000
-5.09954977,1.75220206,0.41804862,1.35308359,0.07094520,0.00000000,0.17584939,0.00000000
-5.09354677,1.69804442,0.41613001,1.30150339,0.07059840,0.00000000,0.17301821,0.00000000
-5.08754377,1.64376981,0.41474095,1.24924734,0.07043176,0.00000000,0.17052056,0.00000000
-5.08154077,1.59007189,0.41401459,1.19685675,0.07045900,0.00000000,0.16846093,0.00000000
-5.07553777,1.53764564,0.41406810,1.14488167,0.07068923,0.00000000,0.16694850,0.00000000
-5.06953477,1.48717484,0.41500056,1.09387185,0.07112701,0.00000000,0.16609444,0.00000000
-5.06353177,1.43931906,0.41689141,1.04436719,0.07177245,0.00000000,0.16600876,0.00000000
-5.05752876,1.39470057,0.41979948,0.99688759,0.07262155,0.00000000,0.16679691,0.00000000
-5.05152576,1.35389151,0.42376260,0.95192274,0.07366659,0.00000000,0.16855622,0.00000000
-5.04552276,1.31740167,0.42879770,0.90992209,0.07489666,0.00000000,0.17137231,0.00000000
-5.03951976,1.28566728,0.43490131,0.87128524,0.07629825,0.00000000,0.17531553,0.00000000
-5.03351676,1.25904117,0.44205036,0.83635319,0.07785586,0.00000000,0.18043782,0.00000000
-5.02751376,1.23778457,0.45020312,0.80540078,0.07955256,0.00000000,0.18676991,0.00000000
-5.02151076,1.22206089,0.45930027,0.77863041,0.08137057,0.00000000,0.19431918,0.00000000
-5.01550775,1.21193161,0.46926591,0.75616745,0.08329168,0.00000000,0.20306819,0.00000000
-5.00950475,1.20735461,0.48000855,0.73805746,0.08529756,0.00000000,0.21297418,0.00000000
-5.00350175,1.20818486,0.49142190,0.72426524,0.08737003,0.00000000,0.22396948,0.00000000
-4.99749875,1.21417763,0.50338566,0.71467591,0.08949109,0.00000000,0.23596286,0.00000000
-4.99149575,1.22499422,0.51576615,0.70909790,0.09164289,0.00000000,0.24884199,0.00000000
-4.98549275,1.24020996,0.52841701,0.70726786,0.09380759,0.00000000,0.26247681,0.00000000
-4.97948974,1.25932445,0.54117995,0.70885727,0.09596710,0.00000000,0.27672369,0.00000000
-4.97348674,1.28177375,0.55388573,0.71348067,0.09810281,0.00000000,0.29143041,0.00000000
-4.96748374,1.30694415,0.56635547,0.72070528,0.10019534,0.00000000,0.30644145,0.00000000
-4.96148074,1.33418720,0.57840233,0.73006163,0.10222420,0.00000000,0.32160368,0.00000000
