energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-3.74887444,7.40247833,0.05154156,1.05679323,2.94599506,1.35107444,5.10096465,2.99062507,0.02774510,2.82897421
-3.74287144,7.61187538,0.05389273,1.10884127,2.91542410,1.36931950,5.36461061,3.14822911,0.02855233,2.82467176
-3.73686843,7.81615084,0.05619555,1.16079468,2.87894103,1.38637216,5.62853016,3.30595837,0.02933217,2.81577274
-3.73086543,8.01324966,0.05841814,1.21234721,2.83668138,1.40191233,5.89107250,3.46231531,0.03008006,2.80215983
-3.72486243,8.20112924,0.06053101,1.26319137,2.78886722,1.41563000,6.15057559,3.61573821,0.03079182,2.78378586
-3.71885943,8.37780120,0.06250770,1.31302297,2.73580042,1.42722887,6.40539379,3.76463223,0.03146384,2.76067762
-3.71285643,8.54137458,0.06432544,1.36154561,2.67785541,1.43643048,6.65392480,3.90740298,0.03209316,2.73293894
-3.70685343,8.69009863,0.06596555,1.40847485,2.61547141,1.44297886,6.89463483,4.04249173,0.03267753,2.70075236
-3.70085043,8.82240346,0.06741387,1.45354211,2.54914423,1.44664543,7.12608118,4.16841073,0.03321553,2.66437915
-3.69484742,8.93693684,0.06866092,1.49649800,2.47941769,1.44723402,7.34693099,4.28377769,0.03370656,2.62415727
-3.68884442,9.03259541,0.06970197,1.53711506,2.40687453,1.44458570,7.55597560,4.38734789,0.03415087,2.58049699
-3.68284142,9.10854891,0.07053686,1.57518982,2.33212688,1.43858337,7.75213980,4.47804288,0.03454949,2.53387416
-3.67683842,9.16425621,0.07116978,1.61054400,2.25580649,1.42915558,7.93448551,4.55497460,0.03490417,2.48482101
-3.67083542,9.19947249,0.07160874,1.64302491,2.17855451,1.41627966,8.10220997,4.61746400,0.03521724,2.43391467
-3.66483242,9.21424710,0.07186504,1.67250500,2.10101121,1.39998375,8.25463851,4.66505349,0.03549150,2.38176382
-3.65882941,9.20891232,0.07195252,1.69888053,2.02380561,1.38034770,8.39121267,4.69751284,0.03573001,2.32899381
-3.65282641,9.18406353,0.07188682,1.72206958,1.94754537,1.35750264,8.51147431,4.71483837,0.03593589,2.27623078
-3.64682341,9.14053190,0.07168452,1.74200935,1.87280704,1.33162925,8.61504718,4.71724568,0.03611217,2.22408560
-3.64082041,9.07935086,0.07136236,1.75865319,1.80012700,1.30295470,8.70161717,4.70515642,0.03626152,2.17313809
-3.63481741,9.00171827,0.07093641,1.77196728,1.72999337,1.27174830,8.77091296,4.67917970,0.03638611,2.12392236
-3.62881441,8.90895599,0.07042143,1.78192748,1.66283895,1.23831609,8.82268863,4.64008942,0.03648740,2.07691388
-3.62281141,8.80246905,0.06983023,1.78851646,1.59903573,1.20299437,8.85670990,4.58879843,0.03656604,2.03251882
-3.61680840,8.68370638,0.06917325,1.79172147,1.53889075,1.16614255,8.87274532,4.52633085,0.03662175,1.99106609
-3.61080540,8.55412480,0.06845831,1.79153289,1.48264378,1.12813545,8.87056368,4.45379386,0.03665330,1.95280253
-3.60480240,8.41515814,0.06769044,1.78794389,1.43046659,1.08935543,8.84993820,4.37235026,0.03665849,1.91789121
-3.59879940,8.26819246,0.06687204,1.78095115,1.38246404,1.05018444,8.81065800,4.28319274,0.03663424,1.88641299
-3.59279640,8.11454837,0.06600308,1.77055690,1.33867667,1.01099640,8.75254639,4.18752095,0.03657668,1.85837109
-3.58679340,7.95547066,0.06508149,1.75677197,1.29908477,0.97215009,8.67548540,4.08652208,0.03648135,1.83369838
-3.58079040,7.79212516,0.06410373,1.73962000,1.26361378,0.93398275,8.57944506,3.98135530,0.03634338,1.81226690
-3.57478739,7.62560223,0.06306535,1.71914228,1.23214058,0.89680446,8.46451589,3.87314033,0.03615777,1.79389919
