energy_ev,total_up,Al_p_up,Al_d_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up
-5.21960980,1.36001166,0.25707965,0.00000000,0.60779935,0.06862065,0.09598596,0.19375265
-5.21360680,1.33884204,0.25477549,0.00000000,0.59874709,0.06698943,0.09505966,0.19060892
-5.20760380,1.31434174,0.25179745,0.00000000,0.58819651,0.06524709,0.09396223,0.18679655
-5.20160080,1.28664420,0.24812788,0.00000000,0.57612988,0.06341238,0.09279209,0.18235255
-5.19559780,1.25593225,0.24375740,0.00000000,0.56255910,0.06150500,0.09165504,0.17732585
-5.18959480,1.22243369,0.23868559,0.00000000,0.54752526,0.05954507,0.09066145,0.17177532
-5.18359180,1.18641606,0.23292159,0.00000000,0.53109732,0.05755264,0.08992322,0.16576766
-5.17758879,1.14818079,0.22648449,0.00000000,0.51337013,0.05554725,0.08955056,0.15937521
-5.17158579,1.10805724,0.21940352,0.00000000,0.49446193,0.05354757,0.08964878,0.15267386
-5.16558279,1.06639646,0.21171800,0.00000000,0.47451129,0.05157099,0.09031503,0.14574110
-5.15957979,1.02356518,0.20347707,0.00000000,0.45367388,0.04963345,0.09163525,0.13865435
-5.15357679,0.97993990,0.19473917,0.00000000,0.43211895,0.04774920,0.09368132,0.13148955
-5.14757379,0.93590131,0.18557122,0.00000000,0.41002581,0.04593069,0.09650851,0.12432008
-5.14157079,0.89182901,0.17604761,0.00000000,0.38758028,0.04418847,0.10015338,0.11721607
-5.13556778,0.84809668,0.16624895,0.00000000,0.36497127,0.04253123,0.10463213,0.11024397
-5.12956478,0.80506753,0.15626062,0.00000000,0.34238753,0.04096577,0.10993956,0.10346638
-5.12356178,0.76309034,0.14617117,0.00000000,0.32001461,0.03949711,0.11604867,0.09694221
-5.11755878,0.72249580,0.13607058,0.00000000,0.29803208,0.03812853,0.12291083,0.09072686
-5.11155578,0.68359346,0.12604856,0.00000000,0.27661109,0.03686175,0.13045685,0.08487262
-5.10555278,0.64666909,0.11619275,0.00000000,0.25591226,0.03569705,0.13859851,0.07942901
-5.09954977,0.61198261,0.10658709,0.00000000,0.23608387,0.03463343,0.14723096,0.07444316
-5.09354677,0.57976656,0.09731029,0.00000000,0.21726052,0.03366882,0.15623566,0.06996002
-5.08754377,0.55022500,0.08843442,0.00000000,0.19956203,0.03280026,0.16548375,0.06602246
-5.08154077,0.52353295,0.08002381,0.00000000,0.18309278,0.03202413,0.17483996,0.06267119
-5.07553777,0.49983617,0.07213415,0.00000000,0.16794134,0.03133637,0.18416666,0.05994445
-5.06953477,0.47925126,0.06481185,0.00000000,0.15418036,0.03073273,0.19332802,0.05787751
-5.06353177,0.46186591,0.05809369,0.00000000,0.14186672,0.03020891,0.20219401,0.05650191
-5.05752876,0.44773912,0.05200669,0.00000000,0.13104187,0.02976084,0.21064416,0.05584450
-5.05152576,0.43690143,0.04656825,0.00000000,0.12173224,0.02938478,0.21857081,0.05592636
-5.04552276,0.42935472,0.04178645,0.00000000,0.11394974,0.02907749,0.22588168,0.05676145
-5.03951976,0.42507189,0.03766049,0.00000000,0.10769223,0.02883623,0.23250173,0.05835534
-5.03351676,0.42399591,0.03418134,0.00000000,0.10294398,0.02865884,0.23837417,0.06070380
-5.02751376,0.42603873,0.03133238,0.00000000,0.09967598,0.02854364,0.24346054,0.06379150
-5.02151076,0.43107967,0.02909012,0.00000000,0.09784621,0.02848932,0.24774000,0.06759080
-5.01550775,0.43896383,0.02742490,0.00000000,0.09739982,0.02849475,0.25120774,0.07206083
-5.00950475,0.44950045,0.02630168,0.00000000,0.09826921,0.02855876,0.25387283,0.07714682
-5.00350175,0.46246166,0.02568069,0.00000000,0.10037418,0.02867988,0.25575547,0.08277979
-4.99749875,0.47758183,0.02551813,0.00000000,0.10362207,0.02885603,0.25688404,0.08887676
-4.99149575,0.49455799,0.02576684,0.00000000,0.10790817,0.02908429,0.25729197,0.09534145
-4.98549275,0.51305133,0.02637696,0.00000000,0.11311629,0.02936060,0.25701484,0.10206544
-4.97948974,0.53269043,0.02729657,0.00000000,0.11911967,0.02967959,0.25608772,0.10893003
-4.97348674,0.55307604,0.02847245,0.00000000,0.12578242,0.03003445,0.25454312,0.11580851
-4.96748374,0.57378780,0.02985074,0.00000000,0.13296130,0.03041692,0.25240950,0.12256900
-4.96148074,0.59439260,0.03137779,0.00000000,0.14050811,0.03081730,0.24971061,0.12907771
-4.95547774,0.61445468,0.03300101,0.00000000,0.14827250,0.03122465,0.24646544,0.13520248
-4.94947474,0.63354698,0.03466978,0.00000000,0.15610535,0.03162707,0.24268906,0.14081660
-4.94347174,0.65126341,0.03633640,0.00000000,0.16386242,0.03201202,0.23839394,0.14580257
-4.93746873,0.66723160,0.03795717,0.00000000,0.17140836,0.03236683,0.23359183,0.15005588
-4.93146573,0.68112540,0.03949331,0.00000000,0.17862073,0.03267913,0.22829598,0.15348844
-4.92546273,0.69267667,0.04091203,0.00000000,0.18539409,0.03293739,0.22252339,0.15603169
-4.91945973,0.70168563,0.04218738,0.00000000,0.19164368,0.03313148,0.21629708,0.15763903
-4.91345673,0.70802924,0.04330108,0.00000000,0.19730878,0.03325313,0.20964798,0.15828775
-4.90745373,0.71166715,0.04424319,0.00000000,0.20235539,0.03329638,0.20261643,0.15798011
-4.90145073,0.71264475,0.04501252,0.00000000,0.20677808,0.03325797,0.19525304,0.15674365
-4.89544772,0.71109323,0.04561690,0.00000000,0.21060102,0.03313757,0.18761891,0.15463074
-4.88944472,0.70722647,0.04607310,0.00000000,0.21387788,0.03293793,0.17978507,0.15171740
-4.88344172,0.70133486,0.04640659,0.00000000,0.21669083,0.03266497,0.17183121,0.14810133
-4.87743872,0.69377643,0.04665092,0.00000000,0.21914842,0.03232765,0.16384376,0.14389951
-4.87143572,0.68496557,0.04684693,0.00000000,0.22138261,0.03193784,0.15591340,0.13924526
-4.86543272,0.67535992,0.04704170,0.00000000,0.22354494,0.03151003,0.14813216,0.13428506
-4.85942971,0.66544609,0.04728727,0.00000000,0.22580211,0.03106099,0.14059026,0.12917527
-4.85342671,0.65572485,0.04763924,0.00000000,0.22833108,0.03060941,0.13337285,0.12407877
-4.84742371,0.64669646,0.04815531,0.00000000,0.23131399,0.03017551,0.12655694,0.11916194
-4.84142071,0.63884682,0.04889370,0.00000000,0.23493316,0.02978057,0.12020855,0.11459177
