energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-2.85442721,1.62574744,0.75624041,0.92476992,0.00050625,0.01431607,0.00249146,0.06204573,0.12584873,0.34270763
-2.84842421,1.58621576,0.72387961,0.89226572,0.00050646,0.01393829,0.00244012,0.06008748,0.12558651,0.34980004
-2.84242121,1.55005282,0.69219938,0.86150552,0.00050552,0.01361237,0.00238826,0.05819815,0.12552567,0.35801596
-2.83641821,1.51751675,0.66132606,0.83271013,0.00050368,0.01334463,0.00233648,0.05640834,0.12567313,0.36733262
-2.83041521,1.48885746,0.63140670,0.80612662,0.00050122,0.01313986,0.00228552,0.05474720,0.12603189,0.37769214
-2.82441221,1.46429948,0.60260034,0.78201725,0.00049846,0.01300108,0.00223611,0.05324125,0.12659961,0.38899964
-2.81840920,1.44402514,0.57506863,0.76064745,0.00049570,0.01292946,0.00218901,0.05191338,0.12736758,0.40112280
-2.81240620,1.42815944,0.54896609,0.74227354,0.00049328,0.01292417,0.00214493,0.05078197,0.12831980,0.41389309
-2.80640320,1.41675789,0.52443105,0.72713122,0.00049151,0.01298243,0.00210446,0.04986015,0.12943252,0.42710865
-2.80040020,1.40979798,0.50157760,0.71542541,0.00049068,0.01309951,0.00206808,0.04915525,0.13067413,0.44053880
-2.79439720,1.40717520,0.48048907,0.70732204,0.00049104,0.01326893,0.00203609,0.04866859,0.13200558,0.45393014
-2.78839420,1.40870382,0.46121348,0.70294216,0.00049281,0.01348267,0.00200862,0.04839538,0.13338119,0.46701403
-2.78239120,1.41412237,0.44376097,0.70235856,0.00049616,0.01373143,0.00198558,0.04832502,0.13474991,0.47951505
-2.77638819,1.42310345,0.42810343,0.70559499,0.00050119,0.01400498,0.00196672,0.04844152,0.13605694,0.49116030
-2.77038519,1.43526728,0.41417614,0.71262758,0.00050798,0.01429255,0.00195160,0.04872421,0.13724570,0.50168894
-2.76438219,1.45019800,0.40188130,0.72338843,0.00051653,0.01458320,0.00193961,0.04914860,0.13825989,0.51086166
-2.75837919,1.46746163,0.39109307,0.73777055,0.00052679,0.01486623,0.00193004,0.04968736,0.13904576,0.51846952
-2.75237619,1.48662454,0.38166373,0.75563403,0.00053866,0.01513159,0.00192207,0.05031142,0.13955419,0.52434187
-2.74637319,1.50727116,0.37343069,0.77681249,0.00055199,0.01537018,0.00191483,0.05099107,0.13974275,0.52835273
-2.74037019,1.52901987,0.36622364,0.80111957,0.00056660,0.01557423,0.00190745,0.05169704,0.13957742,0.53042555
-2.73436718,1.55153604,0.35987170,0.82835481,0.00058226,0.01573746,0.00189910,0.05240147,0.13903392,0.53053590
-2.72836418,1.57454146,0.35420997,0.85830860,0.00059874,0.01585529,0.00188898,0.05307884,0.13809864,0.52871197
-2.72236118,1.59781976,0.34908523,0.89076606,0.00061575,0.01592492,0.00187641,0.05370663,0.13676910,0.52503293
-2.71635818,1.62121761,0.34436056,0.92550954,0.00063300,0.01594531,0.00186084,0.05426589,0.13505381,0.51962512
-2.71035518,1.64464182,0.33991863,0.96231999,0.00065020,0.01591713,0.00184184,0.05474151,0.13297176,0.51265628
-2.70435218,1.66805281,0.33566376,1.00097740,0.00066704,0.01584256,0.00181913,0.05512241,0.13055134,0.50432816
-2.69834917,1.69145522,0.33152247,1.04126041,0.00068321,0.01572514,0.00179259,0.05540143,0.12782892,0.49486777
-2.69234617,1.71488643,0.32744301,1.08294578,0.00069841,0.01556942,0.00176225,0.05557510,0.12484717,0.48451790
-2.68634317,1.73840419,0.32339365,1.12580796,0.00071234,0.01538073,0.00172825,0.05564328,0.12165311,0.47352719
-2.68034017,1.76207435,0.31936029,1.16961919,0.00072473,0.01516481,0.00169089,0.05560867,0.11829611,0.46214045
-2.67433717,1.78595978,0.31534344,1.21415070,0.00073530,0.01492755,0.00165055,0.05547631,0.11482597,0.45058954
-2.66833417,1.81011136,0.31135494,1.25917502,0.00074382,0.01467467,0.00160772,0.05525298,0.11129108,0.43908548
-2.66233117,1.83456192,0.30741473,1.30446978,0.00075008,0.01441150,0.00156294,0.05494672,0.10773687,0.42781195
-2.65632816,1.85932344,0.30354776,1.34982283,0.00075391,0.01414276,0.00151682,0.05456638,0.10420458,0.41692065
-2.65032516,1.88438789,0.29978153,1.39503867,0.00075516,0.01387241,0.00147003,0.05412120,0.10073043,0.40652865
-2.64432216,1.90973153,0.29614416,1.43994569,0.00075376,0.01360366,0.00142324,0.05362061,0.09734517,0.39671788
-2.63831916,1.93532229,0.29266320,1.48440387,0.00074966,0.01333887,0.00137719,0.05307407,0.09407414,0.38753660
-2.63231616,1.96112975,0.28936527,1.52831238,0.00074288,0.01307971,0.00133263,0.05249105,0.09093765,0.37900293
-2.62631316,1.98713669,0.28627639,1.57161633,0.00073350,0.01282723,0.00129034,0.05188115,0.08795182,0.37111004
-2.62031016,2.01335139,0.28342300,1.61431220,0.00072168,0.01258207,0.00125117,0.05125427,0.08512966,0.36383275
-2.61430715,2.03981960,0.28083342,1.65645122,0.00070761,0.01234467,0.00121599,0.05062093,0.08248242,0.35713520
-2.60830415,2.06663519,0.27853978,1.69814028,0.00069158,0.01211552,0.00118575,0.04999249,0.08002104,0.35097904
-2.60230115,2.09394853,0.27657992,1.73953999,0.00067392,0.01189539,0.00116146,0.04938155,0.07775769,0.34533187
-2.59629815,2.12197181,0.27499928,1.78085980,0.00065501,0.01168559,0.00114421,0.04880220,0.07570719,0.34017534
-2.59029515,2.15098082,0.27385255,1.82234997,0.00063532,0.01148818,0.00113517,0.04827027,0.07388830,0.33551253
-2.58429215,2.18131264,0.27320468,1.86429089,0.00061531,0.01130617,0.00113559,0.04780346,0.07232482,0.33137423
-2.57828914,2.21335938,0.27313134,1.90697995,0.00059550,0.01114362,0.00114676,0.04742143,0.07104629,0.32782386
-2.57228614,2.24755785,0.27371858,1.95071651,0.00057643,0.01100574,0.00117007,0.04714568,0.07008838,0.32496051
-2.56628314,2.28437570,0.27506158,1.99578574,0.00055863,0.01089890,0.00120690,0.04699939,0.06949288,0.32292033
-2.56028014,2.32429443,0.27726256,2.04244197,0.00054263,0.01083054,0.00125866,0.04700704,0.06930718,0.32187565
-2.55427714,2.36778996,0.28042777,2.09089234,0.00052892,0.01080912,0.00132671,0.04719391,0.06958345,0.32203227
-2.54827414,2.41531150,0.28466372,2.14128148,0.00051796,0.01084385,0.00141232,0.04758556,0.07037727,0.32362464
