energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Sb_p_up,Sb_p_down,Sb_d_up,Sb_d_down
-2.18209105,6.49642960,-6.49577281,0.66394984,-0.66382408,5.59144019,-5.59092788,0.01250901,-0.01250714,0.22364905,-0.22361680,1.02456430,-1.02438108,0.01147981,-0.01147897
-2.17608804,6.58626183,-6.58567081,0.68523165,-0.68511440,5.65771212,-5.65725428,0.01288901,-0.01288711,0.22922290,-0.22919255,1.05303472,-1.05286634,0.01159812,-0.01159726
-2.17008504,6.66436422,-6.66384516,0.70463739,-0.70452994,5.71468999,-5.71429121,0.01324890,-0.01324696,0.23428784,-0.23425961,1.07862925,-1.07847797,0.01171999,-0.01171912
-2.16408204,6.72990072,-6.72945949,0.72196017,-0.72186366,5.76177911,-5.76144383,0.01359293,-0.01359092,0.23880720,-0.23878129,1.10100737,-1.10087527,0.01184463,-0.01184376
-2.15807904,6.78213186,-6.78177371,0.73702936,-0.73694477,5.79844048,-5.79817272,0.01392647,-0.01392436,0.24275273,-0.24272932,1.11987358,-1.11976249,0.01197105,-0.01197019
-2.15207604,6.82045135,-6.82018072,0.74971563,-0.74964372,5.82422144,-5.82402463,0.01425579,-0.01425355,0.24610534,-0.24608457,1.13498627,-1.13489774,0.01209815,-0.01209731
-2.14607304,6.84441795,-6.84423825,0.75993418,-0.75987551,5.83878336,-5.83866015,0.01458777,-0.01458538,0.24885541,-0.24883738,1.14616496,-1.14610019,0.01222480,-0.01222398
-2.14007004,6.85378037,-6.85369380,0.76764627,-0.76760114,5.84192436,-5.84187646,0.01492954,-0.01492697,0.25100271,-0.25098747,1.15329517,-1.15325499,0.01234988,-0.01234909
-2.13406703,6.84849346,-6.84850091,0.77285857,-0.77282706,5.83359555,-5.83362363,0.01528809,-0.01528531,0.25255577,-0.25254336,1.15633095,-1.15631583,0.01247241,-0.01247166
-2.12806403,6.82872464,-6.82882561,0.77562068,-0.77560266,5.81390963,-5.81401325,0.01566986,-0.01566686,0.25353087,-0.25352129,1.15529475,-1.15530475,0.01259153,-0.01259083
-2.12206103,6.79485006,-6.79504267,0.77602077,-0.77601590,5.78314138,-5.78331895,0.01608031,-0.01607708,0.25395060,-0.25394382,1.15027474,-1.15030955,0.01270661,-0.01270596
-2.11605803,6.74744084,-6.74772185,0.77417959,-0.77418736,5.74171994,-5.74196879,0.01652355,-0.01652007,0.25384218,-0.25383815,1.14141966,-1.14147858,0.01281720,-0.01281659
-2.11005503,6.68724023,-6.68760519,0.77024328,-0.77026305,5.69021369,-5.69053008,0.01700193,-0.01699822,0.25323549,-0.25323413,1.12893158,-1.12901361,0.01292305,-0.01292249
-2.10405203,6.61513345,-6.61557681,0.76437536,-0.76440638,5.62930857,-5.62968789,0.01751584,-0.01751189,0.25216110,-0.25216236,1.11305696,-1.11316080,0.01302409,-0.01302357
