energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Se_s_up,Se_p_up
5.13556778,3.95556893,3.56101413,0.04367667,0.49201080,0.29815850,1.23591898,0.00000000,0.28965429,0.47993134
5.14157079,3.93035940,3.57976060,0.04377154,0.49375861,0.28981195,1.19335063,0.00000000,0.29099152,0.47514468
5.14757379,3.89242898,3.58515661,0.04374790,0.49250073,0.28096841,1.14848597,0.00000000,0.29121728,0.46989798
5.15357679,3.84200660,3.57696216,0.04359785,0.48826533,0.27163598,1.10145916,0.00000000,0.29024531,0.46429804
5.15957979,3.77956508,3.55517909,0.04331605,0.48113805,0.26184086,1.05246911,0.00000000,0.28801534,0.45845352
5.16558279,3.70580085,3.52004601,0.04289979,0.47125911,0.25162677,1.00177588,0.00000000,0.28449528,0.45246915
5.17158579,3.62160523,3.47202526,0.04234909,0.45881888,0.24105321,0.94969390,0.00000000,0.27968230,0.44643975
5.17758879,3.52802925,3.41178306,0.04166660,0.44405188,0.23019308,0.89658268,0.00000000,0.27360275,0.44044473
5.18359180,3.42624422,3.34016388,0.04085739,0.42722959,0.21912954,0.84283557,0.00000000,0.26631113,0.43454326
5.18959480,3.31750028,3.25816080,0.03992876,0.40865237,0.20795252,0.78886742,0.00000000,0.25788788,0.42877064
5.19559780,3.20308546,3.16688312,0.03888993,0.38864089,0.19675508,0.73510172,0.00000000,0.24843648,0.42313587
5.20160080,3.08428706,3.06752324,0.03775164,0.36752735,0.18562982,0.68195806,0.00000000,0.23807975,0.41762096
5.20760380,2.96235756,2.96132407,0.03652588,0.34564685,0.17466560,0.62984032,0.00000000,0.22695567,0.41218170
5.21360680,2.83848619,2.84954857,0.03522547,0.32332930,0.16394467,0.57912626,0.00000000,0.21521289,0.40675013
5.21960980,2.71377741,2.73345249,0.03386371,0.30089209,0.15354042,0.53015879,0.00000000,0.20300612,0.40123848
5.22561281,2.58923659,2.61426120,0.03245412,0.27863377,0.14351572,0.48323917,0.00000000,0.19049160,0.39554440
5.23161581,2.46576301,2.49315130,0.03101013,0.25682891,0.13392201,0.43862229,0.00000000,0.17782289,0.38955712
5.23761881,2.34414961,2.37123692,0.02954485,0.23572414,0.12479904,0.39651405,0.00000000,0.16514699,0.38316427
5.24362181,2.22508867,2.24956097,0.02807095,0.21553556,0.11617517,0.35707065,0.00000000,0.15260106,0.37625891
5.24962481,2.10918204,2.12909059,0.02660049,0.19644732,0.10806825,0.32039973,0.00000000,0.14030976,0.36874640
5.25562781,1.99695473,2.01071632,0.02514484,0.17861132,0.10048687,0.28656301,0.00000000,0.12838318,0.36055068
5.26163082,1.88887004,1.89525412,0.02371471,0.16214791,0.09343190,0.25558024,0.00000000,0.11691559,0.35161959
5.26763382,1.78534482,1.78344922,0.02232005,0.14714743,0.08689815,0.22743402,0.00000000,0.10598469,0.34192906
5.27363682,1.68676347,1.67598092,0.02097014,0.13367225,0.08087606,0.20207534,0.00000000,0.09565162,0.33148575
5.27963982,1.59348932,1.57346740,0.01967356,0.12175929,0.07535328,0.17942950,0.00000000,0.08596141,0.32032818
5.28564282,1.50587256,1.47646974,0.01843824,0.11142271,0.07031606,0.15940205,0.00000000,0.07694395,0.30852626
5.29164582,1.42425413,1.38549453,0.01727149,0.10265661,0.06575039,0.14188476,0.00000000,0.06861524,0.29617918
5.29764882,1.34896531,1.30099477,0.01617999,0.09543761,0.06164283,0.12676119,0.00000000,0.06097904,0.28341195
5.30365183,1.28032321,1.22336890,0.01516980,0.08972721,0.05798106,0.11391202,0.00000000,0.05402852,0.27037078
5.30965483,1.21862267,1.15295805,0.01424633,0.08547380,0.05475410,0.10321985,0.00000000,0.04774812,0.25721743
5.31565783,1.16412537,1.09004191,0.01341436,0.08261436,0.05195229,0.09457355,0.00000000,0.04211534,0.24412311
5.32166083,1.11704723,1.03483379,0.01267798,0.08107588,0.04956711,0.08787223,0.00000000,0.03710252,0.23126202
