energy_ev,total_up,Cd_p_up,Cd_d_up,P_s_up,P_p_up,Se_s_up,Se_p_up
-1.50375188,1.56343706,0.75706896,0.03047709,0.01803872,0.39620799,0.13990734,0.88247942
-1.49774887,1.56825772,0.75498303,0.03040941,0.01828552,0.38941059,0.14061484,0.88628610
-1.49174587,1.57764425,0.75583836,0.03041034,0.01856839,0.38341990,0.14175086,0.89212079
-1.48574287,1.59187941,0.75976534,0.03048722,0.01888642,0.37829914,0.14334864,0.90023895
-1.47973987,1.61111541,0.76682444,0.03064531,0.01923748,0.37408850,0.14542757,0.91082402
-1.47373687,1.63536038,0.77699945,0.03088748,0.01961824,0.37080424,0.14799159,0.92397601
-1.46773387,1.66446937,0.79019294,0.03121401,0.02002429,0.36843851,0.15102800,0.93970281
-1.46173087,1.69814022,0.80622414,0.03162256,0.02045027,0.36696009,0.15450687,0.95791475
-1.45572786,1.73591453,0.82482944,0.03210811,0.02089000,0.36631569,0.15838103,0.97842266
-1.44972486,1.77718391,0.84566546,0.03266305,0.02133671,0.36643189,0.16258673,1.00093941
-1.44372186,1.82120122,0.86831489,0.03327731,0.02178315,0.36721756,0.16704486,1.02508511
-1.43771886,1.86709661,0.89229482,0.03393867,0.02222186,0.36856651,0.17166283,1.05039571
-1.43171586,1.91389801,0.91706744,0.03463298,0.02264533,0.37036046,0.17633689,1.07633486
-1.42571286,1.96055536,0.94205289,0.03534458,0.02304620,0.37247200,0.18095507,1.10230848
-1.41970985,2.00596809,0.96664399,0.03605665,0.02341747,0.37476766,0.18540038,1.12768178
-1.41370685,2.04901507,0.99022234,0.03675176,0.02375269,0.37711087,0.18955435,1.15179815
-1.40770385,2.08858621,1.01217550,0.03741224,0.02404611,0.37936495,0.19330075,1.17399920
-1.40170085,2.12361491,1.03191473,0.03802077,0.02429291,0.38139596,0.19652930,1.19364553
-1.39569785,2.15311052,1.04889276,0.03856086,0.02448937,0.38307556,0.19913940,1.21013745
-1.38969485,2.17618981,1.06262114,0.03901736,0.02463303,0.38428385,0.20104354,1.22293500
-1.38369185,2.19210672,1.07268668,0.03937701,0.02472291,0.38491218,0.20217048,1.23157676
-1.37768884,2.20027944,1.07876628,0.03962886,0.02475973,0.38486605,0.20246797,1.23569673
-1.37168584,2.20031404,1.08063994,0.03976480,0.02474602,0.38406792,0.20190498,1.23503885
-1.36568284,2.19202393,1.07820129,0.03977994,0.02468641,0.38246011,0.20047330,1.22946861
-1.35967984,2.17544444,1.07146537,0.03967296,0.02458777,0.38000751,0.19818850,1.21898149
-1.35367684,2.15084192,1.06057331,0.03944642,0.02445940,0.37670024,0.19509028,1.20370775
-1.34767384,2.11871708,1.04579362,0.03910696,0.02431317,0.37255586,0.19124203,1.18391366
-1.34167084,2.07980204,1.02752010,0.03866540,0.02416360,0.36762131,0.18672977,1.15999884
-1.33566783,2.03505115,1.00626610,0.03813672,0.02402794,0.36197410,0.18166048,1.13248983
-1.32966483,1.98562531,0.98265534,0.03754001,0.02392613,0.35572289,0.17615972,1.10203012
-1.32366183,1.93287030,0.95740939,0.03689815,0.02388067,0.34900702,0.17036886,1.06936667
-1.31765883,1.87828913,0.93133200,0.03623748,0.02391639,0.34199519,0.16444171,1.03533344
-1.31165583,1.82350909,0.90529067,0.03558727,0.02406013,0.33488286,0.15854095,1.00083212
-1.30565283,1.77024411,0.88019580,0.03497911,0.02434027,0.32788858,0.15283411,0.96681073
-1.29964982,1.72025323,0.85697798,0.03444614,0.02478614,0.32124917,0.14748950,0.93424044
