energy_ev,total_up,Ge_p_up,Ge_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-4.54727364,0.47235449,0.01134685,0.00000000,0.07002747,0.35080696,0.07850058,0.00000000
-4.54127064,0.47396351,0.00973643,0.00000000,0.06874665,0.35409581,0.07412582,0.00000000
-4.53526763,0.47763598,0.00847997,0.00000000,0.06824047,0.35868276,0.07007886,0.00000000
-4.52926463,0.48267966,0.00751234,0.00000000,0.06831327,0.36407628,0.06633235,0.00000000
-4.52326163,0.48843732,0.00677697,0.00000000,0.06878652,0.36980617,0.06285948,0.00000000
-4.51725863,0.49429460,0.00622533,0.00000000,0.06949928,0.37543020,0.05963363,0.00000000
-4.51125563,0.49968826,0.00581622,0.00000000,0.07030862,0.38054115,0.05662816,0.00000000
-4.50525263,0.50411458,0.00551521,0.00000000,0.07108986,0.38477387,0.05381655,0.00000000
-4.49924962,0.50713742,0.00529394,0.00000000,0.07173675,0.38781223,0.05117268,0.00000000
-4.49324662,0.50839583,0.00512953,0.00000000,0.07216153,0.38939541,0.04867132,0.00000000
-4.48724362,0.50761047,0.00500405,0.00000000,0.07229474,0.38932346,0.04628875,0.00000000
-4.48124062,0.50458870,0.00490396,0.00000000,0.07208504,0.38746159,0.04400335,0.00000000
-4.47523762,0.49922778,0.00481969,0.00000000,0.07149856,0.38374310,0.04179628,0.00000000
-4.46923462,0.49151605,0.00474524,0.00000000,0.07051828,0.37817056,0.03965208,0.00000000
-4.46323162,0.48153187,0.00467782,0.00000000,0.06914290,0.37081528,0.03755911,0.00000000
-4.45722861,0.46944023,0.00461755,0.00000000,0.06738569,0.36181489,0.03550994,0.00000000
-4.45122561,0.45548707,0.00456727,0.00000000,0.06527297,0.35136915,0.03350156,0.00000000
-4.44522261,0.43999158,0.00453226,0.00000000,0.06284240,0.33973408,0.03153538,0.00000000
-4.43921961,0.42333660,0.00452012,0.00000000,0.06014121,0.32721465,0.02961717,0.00000000
-4.43321661,0.40595749,0.00454062,0.00000000,0.05722421,0.31415622,0.02775677,0.00000000
-4.42721361,0.38832995,0.00460558,0.00000000,0.05415179,0.30093509,0.02596775,0.00000000
-4.42121061,0.37095707,0.00472876,0.00000000,0.05098800,0.28794843,0.02426691,0.00000000
-4.41520760,0.35435603,0.00492580,0.00000000,0.04779860,0.27560397,0.02267381,0.00000000
-4.40920460,0.33904501,0.00521407,0.00000000,0.04464933,0.26430967,0.02121015,0.00000000
-4.40320160,0.32553035,0.00561260,0.00000000,0.04160426,0.25446369,0.01989926,0.00000000
-4.39719860,0.31429457,0.00614193,0.00000000,0.03872444,0.24644484,0.01876551,0.00000000
-4.39119560,0.30578526,0.00682392,0.00000000,0.03606674,0.24060382,0.01783379,0.00000000
-4.38519260,0.30040515,0.00768155,0.00000000,0.03368289,0.23725521,0.01712901,0.00000000
-4.37918959,0.29850334,0.00873865,0.00000000,0.03161881,0.23667050,0.01667569,0.00000000
-4.37318659,0.30036802,0.01001950,0.00000000,0.02991414,0.23907208,0.01649751,0.00000000
-4.36718359,0.30622036,0.01154844,0.00000000,0.02860197,0.24462835,0.01661694,0.00000000
-4.36118059,0.31621003,0.01334938,0.00000000,0.02770874,0.25344998,0.01705490,0.00000000
