energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
5.21360680,1.84816183,1.05324171,0.69108419,0.02621511,0.06870914,0.09203165,0.52859108,0.69694127,0.00409290
5.21960980,1.77814673,1.02449533,0.66355511,0.02576129,0.06535223,0.08879577,0.50898411,0.66788777,0.00391679
5.22561281,1.70624375,0.99349979,0.63521974,0.02525626,0.06208810,0.08545585,0.48862131,0.63844442,0.00373924
5.23161581,1.63283348,0.96042157,0.60622130,0.02469710,0.05890941,0.08203140,0.46765664,0.60882703,0.00356108
5.23761881,1.55833212,0.92546418,0.57672423,0.02408205,0.05581101,0.07854476,0.44625074,0.57924811,0.00338318
5.24362181,1.48318796,0.88886655,0.54691220,0.02341064,0.05279020,0.07502086,0.42456841,0.54991518,0.00320643
5.24962481,1.40787626,0.85090011,0.51698502,0.02268384,0.04984688,0.07148681,0.40277591,0.52102922,0.00303176
5.25562781,1.33289264,0.81186472,0.48715485,0.02190405,0.04698359,0.06797141,0.38103833,0.49278319,0.00286012
5.26163082,1.25874512,0.77208346,0.45764161,0.02107512,0.04420533,0.06450455,0.35951698,0.46536060,0.00269250
5.26763382,1.18594499,0.73189645,0.42866786,0.02020227,0.04151935,0.06111649,0.33836693,0.43893413,0.00252990
5.27363682,1.11499696,0.69165391,0.40045347,0.01929198,0.03893472,0.05783717,0.31773466,0.41366419,0.00237331
5.27963982,1.04638879,0.65170866,0.37320998,0.01835177,0.03646188,0.05469542,0.29775601,0.38969765,0.00222371
5.28564282,0.98058088,0.61240852,0.34713531,0.01739005,0.03411206,0.05171819,0.27855439,0.36716653,0.00208201
5.29164582,0.91799616,0.57408861,0.32240857,0.01641585,0.03189669,0.04892982,0.26023929,0.34618683,0.00194909
5.29764882,0.85901082,0.53706416,0.29918562,0.01543858,0.02982680,0.04635139,0.24290506,0.32685755,0.00182571
5.30365183,0.80394603,0.50162386,0.27759516,0.01446779,0.02791241,0.04400008,0.22663011,0.30925992,0.00171253
5.30965483,0.75306126,0.46802420,0.25773581,0.01351292,0.02616201,0.04188874,0.21147640,0.29345696,0.00161009
5.31565783,0.70654929,0.43648479,0.23967401,0.01258307,0.02458210,0.04002550,0.19748932,0.27949337,0.00151876
5.32166083,0.66453322,0.40718506,0.22344304,0.01168679,0.02317683,0.03841359,0.18469786,0.26739594,0.00143876
5.32766383,0.62706565,0.38026225,0.20904305,0.01083194,0.02194778,0.03705125,0.17311519,0.25717440,0.00137018
5.33366683,0.59413001,0.35581077,0.19644215,0.01002553,0.02089383,0.03593185,0.16273945,0.24882280,0.00131289
5.33966983,0.56564408,0.33388298,0.18557834,0.00927364,0.02001123,0.03504417,0.15355496,0.24232145,0.00126666
5.34567284,0.54146555,0.31449117,0.17636252,0.00858135,0.01929375,0.03437278,0.14553358,0.23763931,0.00123109
5.35167584,0.52139942,0.29761079,0.16868208,0.00795272,0.01873296,0.03389861,0.13863640,0.23473690,0.00120564
5.35767884,0.50520694,0.28318446,0.16240520,0.00739079,0.01831861,0.03359962,0.13281548,0.23356945,0.00118969
5.36368184,0.49261569,0.27112681,0.15738550,0.00689765,0.01803915,0.03345157,0.12801583,0.23409034,0.00118252
