energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-5.03951976,16.26897498,2.93633525,12.50503655,0.03351391,0.31403214,0.17920583,2.27294949
-5.03351676,16.43183226,2.92642179,12.65877786,0.03358045,0.31050331,0.18426714,2.29460718
-5.02751376,16.55976024,2.90471251,12.78840241,0.03346997,0.30566355,0.18903899,2.31173884
-5.02151076,16.65400655,2.87161292,12.89476122,0.03318495,0.29957568,0.19349892,2.32450456
-5.01550775,16.71632915,2.82774951,12.97903218,0.03273114,0.29233193,0.19763008,2.33312605
-5.00950475,16.74891180,2.77395290,13.04265484,0.03211752,0.28405061,0.20142127,2.33787726
-5.00350175,16.75426845,2.71123567,13.08725856,0.03135606,0.27487219,0.20486670,2.33907324
-4.99749875,16.73514102,2.64076589,13.11458746,0.03046145,0.26495501,0.20796551,2.33705792
-4.99149575,16.69439535,2.56383747,13.12642565,0.02945077,0.25447065,0.21072125,2.33219117
-4.98549275,16.63492013,2.48183855,13.12452636,0.02834312,0.24359930,0.21314114,2.32483605
-4.97948974,16.55953341,2.39621918,13.11054822,0.02715912,0.23252519,0.21523532,2.31534673
-4.97348674,16.47090051,2.30845942,13.08600131,0.02592050,0.22143232,0.21701602,2.30405779
-4.96748374,16.37146664,2.22003896,13.05220524,0.02464964,0.21050055,0.21849681,2.29127542
-4.96148074,16.26340620,2.13240914,13.01026038,0.02336906,0.19990225,0.21969190,2.27727076
-4.95547774,16.14858974,2.04696797,12.96103283,0.02210096,0.18979939,0.22061552,2.26227588
-4.94947474,16.02856850,1.96503861,12.90515249,0.02086687,0.18034130,0.22128143,2.24648219
-4.94347174,15.90457513,1.88785156,12.84302307,0.01968716,0.17166300,0.22170256,2.23004142
-4.93746873,15.77753840,1.81653036,12.77484217,0.01858074,0.16388405,0.22189079,2.21306865
-4.93146573,15.64810904,1.75208072,12.70062875,0.01756475,0.15710781,0.22185687,2.19564726
-4.92546273,15.51669309,1.69538254,12.62025559,0.01665430,0.15142124,0.22161035,2.17783507
-4.91945973,15.38348924,1.64718436,12.53348357,0.01586222,0.14689482,0.22115973,2.15967112
-4.91345673,15.24852669,1.60809973,12.43999532,0.01519897,0.14358282,0.22051253,2.14118259
-4.90745373,15.11170028,1.57860478,12.33942592,0.01467242,0.14152358,0.21967544,2.12239114
-4.90145073,14.97280036,1.55903663,12.23138866,0.01428785,0.14073985,0.21865448,2.10331820
-4.89544772,14.83153571,1.54959211,12.11549480,0.01404789,0.14123912,0.21745504,2.08398878
-4.88944472,14.68754848,1.55032654,11.99136680,0.01395249,0.14301381,0.21608200,2.06443346
-4.88344172,14.54042122,1.56115251,11.85864512,0.01399900,0.14604138,0.21453966,2.04468848
-4.87743872,14.38967678,1.58183853,11.71698935,0.01418219,0.15028439,0.21283169,2.02479386
-4.87143572,14.23477261,1.61200795,11.56607511,0.01449439,0.15569040,0.21096097,2.00478980
-4.86543272,14.07509166,1.65113833,11.40558816,0.01492561,0.16219188,0.20892948,1.98471153
