energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-5.56778389,1.48335333,-1.56820507,0.88868996,-1.21184974,0.30720724,-0.32211480,0.33634101,-0.27260558,0.27446535,-0.20273297,0.00061069,-0.00382978,0.25208441,-0.36093045,0.59533689,-0.65237179,0.00000000,-0.00000000
-5.56178089,1.55128289,-1.58673671,0.94151719,-1.21176319,0.31666966,-0.32600710,0.35215900,-0.27385969,0.28751464,-0.20360138,0.00069665,-0.00384573,0.26226444,-0.36436504,0.62192951,-0.65966785,0.00000000,-0.00000000
-5.55577789,1.62148329,-1.60607650,0.99720617,-1.21105155,0.32717155,-0.32959385,0.36886570,-0.27577282,0.30044249,-0.20514410,0.00079252,-0.00388961,0.27355509,-0.36755400,0.64867605,-0.66769709,0.00000000,-0.00000000
-5.54977489,1.69330039,-1.62520778,1.05508694,-1.20886420,0.33860952,-0.33259910,0.38640363,-0.27824854,0.31311271,-0.20732146,0.00089817,-0.00396379,0.28580240,-0.37013331,0.67537996,-0.67618309,0.00000000,-0.00000000
-5.54377189,1.76606037,-1.64317490,1.11445497,-1.20450081,0.35087000,-0.33478747,0.40469415,-0.28117299,0.32539069,-0.21007311,0.00101334,-0.00407012,0.29884489,-0.37180513,0.70184033,-0.68482150,0.00000000,-0.00000000
-5.53776888,1.83908194,-1.65910188,1.17458108,-1.19741849,0.36383144,-0.33596730,0.42363767,-0.28441880,0.33714623,-0.21332069,0.00113762,-0.00420995,0.31251604,-0.37233924,0.72785650,-0.69329046,0.00000000,-0.00000000
-5.53176588,1.91168842,-1.67221009,1.23472139,-1.18723500,0.37736636,-0.33599257,0.44311459,-0.28784981,0.34825642,-0.21697124,0.00127037,-0.00438413,0.32664654,-0.37157283,0.75323278,-0.70126243,0.00000000,-0.00000000
-5.52576288,1.98321896,-1.68183435,1.29412724,-1.17372774,0.39134328,-0.33476373,0.46298676,-0.29132639,0.35860854,-0.22092113,0.00141074,-0.00459305,0.34106612,-0.36940842,0.77778322,-0.70841661,0.00000000,-0.00000000
-5.51975988,2.05303893,-1.68743662,1.35205513,-1.15682860,0.40562843,-0.33222722,0.48309951,-0.29471097,0.36810263,-0.22506036,0.00155765,-0.00483662,0.35560510,-0.36581020,0.80133606,-0.71445149,0.00000000,-0.00000000
-5.51375688,2.12054893,-1.68861665,1.40777663,-1.13661492,0.42008725,-0.32837393,0.50328417,-0.29787362,0.37665385,-0.22927702,0.00170978,-0.00511430,0.37009575,-0.36079909,0.82373765,-0.71909675,0.00000000,-0.00000000
