energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
3.35867934,3.03469894,0.11848639,0.16041183,1.49443131,1.46686033,0.21167223,0.00000000,0.68516615,1.04680251
3.36468234,3.06422548,0.12130112,0.16317590,1.49906025,1.48327963,0.21591601,0.00000000,0.69609146,1.04931398
3.37068534,3.09342747,0.12402359,0.16590381,1.50202143,1.49919501,0.22027076,0.00000000,0.70712573,1.05227693
3.37668834,3.12183956,0.12662027,0.16855368,1.50321553,1.51432493,0.22464500,0.00000000,0.71807993,1.05572441
3.38269135,3.14887300,0.12905279,0.17108402,1.50252266,1.52832977,0.22893467,0.00000000,0.72874355,1.05963613
3.38869435,3.17383584,0.13127898,0.17345445,1.49980893,1.54082377,0.23302613,0.00000000,0.73889017,1.06394010
3.39469735,3.19595983,0.13325434,0.17562649,1.49493484,1.55138982,0.23679994,0.00000000,0.74828411,1.06851678
3.40070035,3.21443253,0.13493363,0.17756462,1.48776491,1.55959690,0.24013496,0.00000000,0.75668792,1.07320555
3.40670335,3.22843351,0.13627271,0.17923740,1.47817825,1.56501921,0.24291285,0.00000000,0.76387058,1.07781309
3.41270635,3.23717280,0.13723043,0.18061871,1.46607921,1.56725612,0.24502264,0.00000000,0.76961580,1.08212343
3.41870935,3.23992969,0.13777038,0.18168906,1.45140771,1.56595209,0.24636516,0.00000000,0.77373028,1.08590904
3.42471236,3.23609015,0.13786267,0.18243688,1.43414848,1.56081554,0.24685723,0.00000000,0.77605135,1.08894250
3.43071536,3.22518073,0.13748536,0.18285981,1.41433878,1.55163566,0.24643525,0.00000000,0.77645379,1.09100820
3.43671836,3.20689747,0.13662566,0.18296572,1.39207404,1.53829641,0.24505817,0.00000000,0.77485538,1.09191343
3.44272136,3.18112813,0.13528067,0.18277365,1.36751115,1.52078685,0.24270956,0.00000000,0.77122099,1.09149841
3.44872436,3.14796670,0.13345787,0.18231430,1.34086919,1.49920731,0.23939883,0.00000000,0.76556492,1.08964484
3.45472736,3.10771927,0.13117499,0.18163023,1.31242751,1.47377095,0.23516143,0.00000000,0.75795149,1.08628239
3.46073037,3.06090115,0.12845963,0.18077566,1.28252123,1.44480065,0.23005811,0.00000000,0.74849377,1.08139310
3.46673337,3.00822506,0.12534838,0.17981568,1.25153446,1.41272124,0.22417315,0.00000000,0.73735059,1.07501329
3.47273637,2.95058114,0.12188567,0.17882511,1.21989154,1.37804744,0.21761185,0.00000000,0.72472183,1.06723306
3.47873937,2.88900952,0.11812226,0.17788682,1.18804673,1.34136800,0.21049718,0.00000000,0.71084245,1.05819341
3.48474237,2.82466691,0.11411362,0.17708967,1.15647283,1.30332671,0.20296593,0.00000000,0.69597533,1.04808110
3.49074537,2.75878852,0.10991813,0.17652598,1.12564933,1.26460123,0.19516438,0.00000000,0.68040327,1.03712161
3.49674837,2.69264712,0.10559528,0.17628880,1.09605042,1.22588059,0.18724377,0.00000000,0.66442067,1.02557047
3.50275138,2.62751103,0.10120388,0.17646895,1.06813358,1.18784231,0.17935571,0.00000000,0.64832495,1.01370338
3.50875438,2.56460267,0.09680042,0.17715194,1.04232887,1.15113021,0.17164770,0.00000000,0.63240821,1.00180561
3.51475738,2.50505950,0.09243761,0.17841498,1.01902943,1.11633380,0.16425893,0.00000000,0.61694948,0.99016114
3.52076038,2.44989862,0.08816312,0.18032405,0.99858332,1.08396998,0.15731650,0.00000000,0.60220754,0.97904194
3.52676338,2.39998656,0.08401857,0.18293134,0.98128685,1.05446786,0.15093212,0.00000000,0.58841480,0.96869787
3.53276638,2.35601490,0.08003884,0.18627302,0.96737933,1.02815712,0.14519949,0.00000000,0.57577218,0.95934755
3.53876938,2.31848266,0.07625158,0.19036737,0.95703932,1.00526028,0.14019225,0.00000000,0.56444516,0.95117057
3.54477239,2.28768562,0.07267705,0.19521363,0.95038213,0.98588911,0.13596263,0.00000000,0.55456096,0.94430123
3.55077539,2.26371267,0.06932817,0.20079121,0.94745842,0.97004499,0.13254083,0.00000000,0.54620688,0.93882401
3.55677839,2.24644899,0.06621076,0.20705964,0.94825382,0.95762319,0.12993493,0.00000000,0.53942966,0.93477083
3.56278139,2.23558541,0.06332406,0.21395904,0.95268920,0.94842051,0.12813156,0.00000000,0.53423587,0.93212019
3.56878439,2.23063335,0.06066128,0.22141111,0.96062160,0.94214606,0.12709697,0.00000000,0.53059312,0.93079799
3.57478739,2.23094445,0.05821040,0.22932070,0.97184561,0.93843434,0.12677871,0.00000000,0.52843197,0.93068006
3.58079040,2.23573391,0.05595496,0.23757777,0.98609518,0.93686009,0.12710766,0.00000000,0.52764851,0.93159611
3.58679340,2.24410646,0.05387496,0.24605966,1.00304590,0.93695435,0.12800037,0.00000000,0.52810739,0.93333494
3.59279640,2.25508407,0.05194783,0.25463378,1.02231768,0.93822077,0.12936170,0.00000000,0.52964523,0.93565059
3.59879940,2.26763425,0.05014932,0.26316027,1.04347814,0.94015191,0.13108762,0.00000000,0.53207437,0.93826935
3.60480240,2.28069822,0.04845444,0.27149497,1.06604674,0.94224463,0.13306809,0.00000000,0.53518687,0.94089713
3.61080540,2.29321810,0.04683841,0.27949229,1.08949982,0.94401434,0.13518999,0.00000000,0.53875872,0.94322725
3.61680840,2.30416245,0.04527746,0.28700806,1.11327693,0.94500757,0.13733997,0.00000000,0.54255421,0.94494813
3.62281141,2.31254978,0.04374961,0.29390233,1.13678826,0.94481266,0.13940723,0.00000000,0.54633054,0.94575101
3.62881441,2.31746952,0.04223541,0.30004199,1.15942372,0.94306843,0.14128615,0.00000000,0.54984252,0.94533725
3.63481741,2.31810044,0.04071851,0.30530325,1.18056329,0.93947067,0.14287863,0.00000000,0.55284750,0.94342534
3.64082041,2.31372621,0.03918615,0.30957391,1.19958889,0.93377663,0.14409624,0.00000000,0.55511042,0.93975738
3.64682341,2.30374827,0.03762957,0.31275548,1.21589749,0.92580747,0.14486202,0.00000000,0.55640892,0.93410499
3.65282641,2.28769588,0.03604420,0.31476499,1.22891521,0.91544900,0.14511203,0.00000000,0.55653856,0.92627470
3.65882941,2.26523368,0.03442985,0.31553668,1.23811207,0.90265081,0.14479641,0.00000000,0.55531798,0.91611254
3.66483242,2.23616660,0.03279069,0.31502338,1.24301686,0.88742401,0.14388022,0.00000000,0.55259392,0.90350807
3.67083542,2.20044245,0.03113514,0.31319758,1.24323170,0.86983799,0.14234376,0.00000000,0.54824597,0.88839756
3.67683842,2.15815211,0.02947566,0.31005232,1.23844558,0.85001616,0.14018266,0.00000000,0.54219089,0.87076643
3.68284142,2.10952746,0.02782848,0.30560166,1.22844635,0.82813114,0.13740747,0.00000000,0.53438635,0.85065077
3.68884442,2.05493712,0.02621322,0.29988079,1.21313048,0.80439938,0.13404304,0.00000000,0.52483390,0.82813800
3.69484742,1.99487982,0.02465247,0.29294583,1.19251020,0.77907541,0.13012745,0.00000000,0.51358104,0.80336642
