energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-4.60130065,7.33534477,0.02851393,0.06729339,1.52853379,2.62669611,0.00892307,5.05889507,0.80147343,0.38014672
-4.59529765,7.18020095,0.02616000,0.06729507,1.53001216,2.56289885,0.00798030,4.95238933,0.76863514,0.37510002
-4.58929465,7.03272841,0.02413646,0.06738969,1.53208358,2.49796675,0.00714185,4.85120531,0.74168254,0.37076575
-4.58329165,6.89309997,0.02244630,0.06754251,1.53448702,2.43236868,0.00640658,4.75552275,0.72055386,0.36710277
-4.57728864,6.76169555,0.02108831,0.06771935,1.53701280,2.36668630,0.00577222,4.66566798,0.70517177,0.36407929
-4.57128564,6.63910377,0.02005780,0.06788760,1.53951399,2.30159570,0.00523553,4.58211380,0.69545450,0.36167459
-4.56528264,6.52610865,0.01934723,0.06801722,1.54191447,2.23784483,0.00479252,4.50546897,0.69132357,0.35987985
-4.55927964,6.42366213,0.01894681,0.06808150,1.54421319,2.17622777,0.00443864,4.43645770,0.69270792,0.35869788
-4.55327664,6.33284356,0.01884501,0.06805771,1.54648426,2.11755658,0.00416887,4.37588990,0.69954403,0.35814202
-4.54727364,6.25480769,0.01902898,0.06792757,1.54887271,2.06263209,0.00397792,4.32462338,0.71177230,0.35823406
-4.54127064,6.19072306,0.01948478,0.06767756,1.55158602,2.01221430,0.00386027,4.28351929,0.72932983,0.35900145
-4.53526763,6.14170302,0.02019757,0.06729899,1.55488152,1.96699348,0.00381032,4.25339236,0.75214004,0.36047383
-4.52926463,6.10873184,0.02115160,0.06678800,1.55905012,1.92756275,0.00382237,4.23495779,0.78009974,0.36267912
-4.52326163,6.09258885,0.02233010,0.06614530,1.56439700,1.89439288,0.00389070,4.22877688,0.81306456,0.36563919
-4.51725863,6.09377357,0.02371516,0.06537583,1.57122000,1.86781019,0.00400954,4.23520346,0.85083348,0.36936560
-4.51125563,6.11243509,0.02528739,0.06448824,1.57978674,1.84797807,0.00417308,4.25433357,0.89313366,0.37385527
-4.50525263,6.14830910,0.02702568,0.06349427,1.59031153,1.83488286,0.00437546,4.28596082,0.93960645,0.37908661
-4.49924962,6.20066593,0.02890691,0.06240807,1.60293323,1.82832466,0.00461069,4.32953971,0.98979576,0.38501612
-4.49324662,6.26827275,0.03090568,0.06124546,1.61769534,1.82791355,0.00487269,4.38415938,1.04313979,0.39157578
-4.48724362,6.34937292,0.03299415,0.06002311,1.63452935,1.83307156,0.00515524,4.44852966,1.09896688,0.39867135
-4.48124062,6.44168484,0.03514200,0.05875778,1.65324268,1.84304086,0.00545197,4.52098135,1.15649632,0.40618175
-4.47523762,6.54242210,0.03731647,0.05746561,1.67351176,1.85689805,0.00575642,4.59948167,1.21484453,0.41395965
-4.46923462,6.64833572,0.03948262,0.05616143,1.69488126,1.87357469,0.00606200,4.68166566,1.27303678,0.42183327
-4.46323162,6.75577849,0.04160373,0.05485816,1.71676966,1.89188349,0.00636211,4.76488339,1.33002450,0.42960947
-4.45722861,6.86079006,0.04364187,0.05356642,1.73848134,1.91054978,0.00665021,4.84626188,1.38470763,0.43707795
-4.45122561,6.95920058,0.04555864,0.05229412,1.75922475,1.92824736,0.00691989,4.92278026,1.43596142,0.44401656
-4.44522261,7.04674932,0.04731601,0.05104632,1.77813631,1.94363745,0.00716504,4.99135546,1.48266668,0.45019745
-4.43921961,7.11921405,0.04887731,0.04982519,1.79430884,1.95540965,0.00737991,5.04893544,1.52374216,0.45539380
-4.43321661,7.17254571,0.05020825,0.04863013,1.80682347,1.96232316,0.00755933,5.09259597,1.55817783,0.45938696
-4.42721361,7.20300286,0.05127793,0.04745796,1.81478343,1.96324680,0.00769877,5.11963707,1.58506741,0.46197359
-4.42121061,7.20727980,0.05205986,0.04630332,1.81734837,1.95719593,0.00779453,5.12767475,1.60363870,0.46297253
-4.41520760,7.18262246,0.05253287,0.04515913,1.81376731,1.94336498,0.00784379,5.11472376,1.61328022,0.46223104
-4.40920460,7.12692678,0.05268181,0.04401707,1.80340884,1.92115382,0.00784475,5.07926769,1.61356289,0.45963028
-4.40320160,7.03881469,0.05249821,0.04286823,1.78578699,1.89018702,0.00779670,5.02031295,1.60425560,0.45508955
-4.39719860,6.91768426,0.05198056,0.04170360,1.76058164,1.85032494,0.00769999,4.93742418,1.58533399,0.44856929
-4.39119560,6.76373167,0.05113451,0.04051474,1.72765242,1.80166629,0.00755608,4.83073948,1.55698197,0.44007265
-4.38519260,6.57794409,0.04997267,0.03929429,1.68704564,1.74454193,0.00736752,4.70096479,1.51958584,0.42964557
-4.37918959,6.36206397,0.04851429,0.03803644,1.63899394,1.67950049,0.00713782,4.54934796,1.47372149,0.41737542
-4.37318659,6.11852692,0.04678463,0.03673739,1.58390882,1.60728624,0.00687139,4.37763386,1.42013512,0.40338823
-4.36718359,5.85037624,0.04481418,0.03539563,1.52236663,1.52881061,0.00657344,4.18800301,1.35971866,0.38784472
-4.36118059,5.56115859,0.04263770,0.03401216,1.45508885,1.44511861,0.00624979,3.98299665,1.29348087,0.37093535
-4.35517759,5.25480588,0.04029313,0.03259066,1.38291769,1.35735177,0.00590671,3.76543222,1.22251574,0.35287456
-4.34917459,4.93550898,0.03782046,0.03113748,1.30678837,1.26670938,0.00555083,3.53831291,1.14796936,0.33389448
-4.34317159,4.60758897,0.03526061,0.02966153,1.22769941,1.17440966,0.00518888,3.30473562,1.07100701,0.31423848
-4.33716858,4.27537152,0.03265427,0.02817416,1.14668235,1.08165259,0.00482760,3.06780118,0.99278163,0.29415469
-4.33116558,3.94306938,0.03004092,0.02668888,1.06477226,0.98958582,0.00447357,2.83053041,0.91440497,0.27388982
-4.32516258,3.61467726,0.02745790,0.02522107,0.98298015,0.89927483,0.00413310,2.59578910,0.83692242,0.25368351
-4.31915958,3.29388267,0.02493965,0.02378756,0.90226844,0.81167842,0.00381208,2.36622432,0.76129235,0.23376326
-4.31315658,2.98399472,0.02251718,0.02240625,0.82353013,0.72762993,0.00351593,2.14421377,0.68837026,0.21434026
-4.30715358,2.68789256,0.02021762,0.02109564,0.74757232,0.64782459,0.00324951,1.93182899,0.61889816,0.19560604
-4.30115058,2.40799322,0.01806405,0.01987441,0.67510420,0.57281295,0.00301706,1.73081257,0.55349889,0.17773001
-4.29514757,2.14623849,0.01607541,0.01876090,0.60672969,0.50300001,0.00282219,1.54256890,0.49267524,0.16085793
-4.28914457,1.90409890,0.01426665,0.01777269,0.54294437,0.43864944,0.00266781,1.36816727,0.43681321,0.14511125
-4.28314157,1.68259282,0.01264893,0.01692611,0.48413636,0.37989232,0.00255617,1.20835571,0.38618886,0.13058713
-4.27713857,1.48231786,0.01122998,0.01623587,0.43059064,0.32673935,0.00248882,1.06358364,0.34097785,0.11735920
-4.27113557,1.30349161,0.01001445,0.01571461,0.38249598,0.27909562,0.00246662,0.93403124,0.30126687,0.10547884
-4.26513257,1.14599873,0.00900438,0.01537257,0.33995405,0.23677717,0.00248974,0.81964340,0.26706618,0.09497683
-4.25912956,1.00944157,0.00819959,0.01521725,0.30298966,0.19952826,0.00255765,0.72016607,0.23832243,0.08586537
-4.25312656,0.89319154,0.00759809,0.01525318,0.27156177,0.16703873,0.00266914,0.63518319,0.21493102,0.07814024
-4.24712356,0.79643907,0.00719645,0.01548170,0.24557446,0.13896059,0.00282231,0.56415254,0.19674754,0.07178302
-4.24112056,0.71824037,0.00699002,0.01590079,0.22488741,0.11492355,0.00301459,0.50643917,0.18359765,0.06676339
-4.23511756,0.65755960,0.00697323,0.01650507,0.20932556,0.09454886,0.00324274,0.46134551,0.17528537,0.06304127
-4.22911456,0.61330576,0.00713963,0.01728579,0.19868758,0.07746132,0.00350285,0.42813747,0.17159936,0.06056895
-4.22311156,0.58436381,0.00748196,0.01823095,0.19275317,0.06329940,0.00379042,0.40606634,0.17231747,0.05929305
-4.21710855,0.56962031,0.00799216,0.01932553,0.19128901,0.05172326,0.00410038,0.39438654,0.17720945,0.05915638
-4.21110555,0.56798381,0.00866124,0.02055179,0.19405364,0.04242097,0.00442714,0.39236949,0.18603828,0.06009974
-4.20510255,0.57840098,0.00947922,0.02188974,0.20080132,0.03511292,0.00476469,0.39931429,0.19856045,0.06206355
-4.19909955,0.59986900,0.01043496,0.02331760,0.21128521,0.02955467,0.00510672,0.41455561,0.21452544,0.06498956
-4.19309655,0.63144562,0.01151606,0.02481246,0.22526011,0.02553851,0.00544671,0.43746976,0.23367513,0.06882237
-4.18709355,0.67225743,0.01270878,0.02635097,0.24248512,0.02289377,0.00577808,0.46747961,0.25574323,0.07351115
-4.18109055,0.72150745,0.01399798,0.02791009,0.26272642,0.02148637,0.00609437,0.50405897,0.28045554,0.07901120
-4.17508754,0.77848262,0.01536722,0.02946789,0.28576043,0.02121756,0.00638936,0.54673696,0.30753101,0.08528556
-4.16908454,0.84256162,0.01679884,0.03100434,0.31137753,0.02202208,0.00665727,0.59510289,0.33668410,0.09230669
-4.16308154,0.91322312,0.01827419,0.03250212,0.33938635,0.02386594,0.00689294,0.64881164,0.36762843,0.10005788
-4.15707854,0.99005446,0.01977402,0.03394733,0.36961858,0.02674383,0.00709193,0.70758958,0.40008184,0.10853470
-4.15107554,1.07276017,0.02127882,0.03533009,0.40193420,0.03067626,0.00725070,0.77124067,0.43377258,0.11774609
-4.14507254,1.16116970,0.02276939,0.03664511,0.43622676,0.03570642,0.00736672,0.83965234,0.46844643,0.12771514
-4.13906953,1.25524341,0.02422734,0.03789198,0.47242852,0.04189681,0.00743851,0.91280039,0.50387443,0.13847943
-4.13306653,1.35507586,0.02563574,0.03907536,0.51051475,0.04932568,0.00746574,0.99075211,0.53986056,0.15009075
-4.12706353,1.46089507,0.02697970,0.04020493,0.55050705,0.05808319,0.00744920,1.07366681,0.57624886,0.16261414
-4.12106053,1.57305688,0.02824693,0.04129514,0.59247488,0.06826729,0.00739080,1.16179281,0.61292948,0.17612619
-4.11505753,1.69203336,0.02942825,0.04236468,0.63653508,0.07997950,0.00729346,1.25546019,0.64984284,0.19071241
-4.10905453,1.81839452,0.03051798,0.04343585,0.68284887,0.09332037,0.00716104,1.35506865,0.68698158,0.20646380
