energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-5.32766383,7.44784833,0.99595808,5.62501126,0.03733755,0.15702829,0.54545336,0.41771233,0.08996043,1.20228076
-5.32166083,7.48073227,1.00758791,5.64419026,0.03873982,0.15697823,0.54659206,0.41769948,0.09248727,1.20609438
-5.31565783,7.53348980,1.02397132,5.67743354,0.04023889,0.15769354,0.54996171,0.41851538,0.09521047,1.21335246
-5.30965483,7.60439040,1.04455551,5.72361524,0.04182146,0.15908860,0.55526100,0.42010264,0.09809513,1.22375344
-5.30365183,7.69125475,1.06872661,5.78125630,0.04347259,0.16106918,0.56216374,0.42238512,0.10110388,1.23693123
-5.29764882,7.79151962,1.09582168,5.84857320,0.04517591,0.16353461,0.57032644,0.42527090,0.10419755,1.25246458
-5.29164582,7.90231338,1.12514143,5.92353541,0.04691382,0.16638003,0.57939624,0.42865567,0.10733591,1.26988808
-5.28564282,8.02053975,1.15596375,6.00392943,0.04866768,0.16949869,0.58901876,0.43242641,0.11047834,1.28870446
-5.27963982,8.14296705,1.18755773,6.08742722,0.05041812,0.17278420,0.59884603,0.43646524,0.11358447,1.30839777
-5.27363682,8.26631994,1.21919799,6.17165656,0.05214537,0.17613273,0.60854397,0.44065327,0.11661489,1.32844710
-5.26763382,8.38737083,1.25017911,6.25427095,0.05382957,0.17944501,0.61779960,0.44487442,0.11953174,1.34834054
-5.26163082,8.50302805,1.27982980,6.33301688,0.05545120,0.18262826,0.62632751,0.44901888,0.12229937,1.36758884
-5.25562781,8.61041799,1.30752655,6.40579607,0.05699145,0.18559785,0.63387558,0.45298637,0.12488489,1.38573832
-5.24962481,8.70695894,1.33270647,6.47072114,0.05843261,0.18827873,0.64022989,0.45668880,0.12725880,1.40238278
-5.24362181,8.79042448,1.35487878,6.52616305,0.05975847,0.19060662,0.64521845,0.46005256,0.12939548,1.41717392
-5.23761881,8.85899486,1.37363485,6.57078912,0.06095469,0.19252886,0.64871399,0.46302013,0.13127369,1.42982998
-5.23161581,8.91129516,1.38865625,6.60359099,0.06200912,0.19400502,0.65063543,0.46555114,0.13287702,1.44014226
-5.22561281,8.94641955,1.39972064,6.62390199,0.06291205,0.19500722,0.65094830,0.46762282,0.13419420,1.44797944
