energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-4.88344172,6.87107948,0.01550300,0.12869828,0.25962091,0.77287466,1.04098563,4.04275291,0.01979294,2.38332758
-4.87743872,6.83905123,0.01582245,0.12550739,0.26608733,0.74964241,1.01563800,4.05650046,0.01941118,2.36461016
-4.87143572,6.79708354,0.01613774,0.12202934,0.27255678,0.72543820,0.98961689,4.06318059,0.01904499,2.34290915
-4.86543272,6.74444373,0.01643180,0.11829234,0.27883187,0.70039788,0.96294318,4.06223028,0.01868435,2.31790487
-4.85942971,6.68066597,0.01668873,0.11432765,0.28472354,0.67466798,0.93563881,4.05330689,0.01832012,2.28932926
-4.85342671,6.60555793,0.01689410,0.11016887,0.29005568,0.64840266,0.90772826,4.03629055,0.01794421,2.25697270
-4.84742371,6.51919899,0.01703533,0.10585131,0.29466929,0.62176059,0.87924059,4.01127862,0.01754972,2.22068931
-4.84142071,6.42193017,0.01710195,0.10141139,0.29842635,0.59490195,0.85021192,3.97857287,0.01713107,2.18040066
-4.83541771,6.31433696,0.01708584,0.09688623,0.30121304,0.56798552,0.82068819,3.93866039,0.01668411,2.13609787
-4.82941471,6.19722577,0.01698144,0.09231317,0.30294223,0.54116616,0.79072780,3.89218927,0.01620626,2.08784214
-4.82341171,6.07159550,0.01678578,0.08772942,0.30355524,0.51459251,0.76040398,3.83994047,0.01569648,2.03576368
-4.81740870,5.93860532,0.01649858,0.08317168,0.30302265,0.48840520,0.72980653,3.78279729,0.01515537,1.98005919
-4.81140570,5.79954005,0.01612211,0.07867589,0.30134423,0.46273540,0.69904277,3.72171369,0.01458505,1.92098801
-4.80540270,5.65577443,0.01566110,0.07427681,0.29854792,0.43770387,0.66823753,3.65768291,0.01398911,1.85886702
-4.79939970,5.50873739,0.01512250,0.07000773,0.29468799,0.41342032,0.63753202,3.59170738,0.01337248,1.79406447
-4.79339670,5.35987724,0.01451519,0.06590007,0.28984226,0.38998321,0.60708164,3.52477104,0.01274118,1.72699282
-4.78739370,5.21062871,0.01384963,0.06198297,0.28410880,0.36747972,0.57705271,3.45781453,0.01210219,1.65810084
-4.78139070,5.06238235,0.01313751,0.05828292,0.27760184,0.34598601,0.54761826,3.39171399,0.01146312,1.58786503
-4.77538769,4.91645686,0.01239136,0.05482326,0.27044749,0.32556752,0.51895312,3.32726355,0.01083194,1.51678062
-4.76938469,4.77407447,0.01162411,0.05162381,0.26277909,0.30627934,0.49122856,3.26516158,0.01021673,1.44535225
-4.76338169,4.63633984,0.01084873,0.04870040,0.25473256,0.28816653,0.46460668,3.20600061,0.00962538,1.37408455
-4.75737869,4.50422223,0.01007789,0.04606456,0.24644194,0.27126434,0.43923498,3.15026064,0.00906531,1.30347288
-4.75137569,4.37854130,0.00932360,0.04372317,0.23803515,0.25559835,0.41524138,3.09830557,0.00854325,1.23399434
-4.74537269,4.25995638,0.00859701,0.04167829,0.22963036,0.24118446,0.39272991,3.05038232,0.00806501,1.16609932
-4.73936968,4.14895940,0.00790818,0.03992703,0.22133283,0.22802879,0.37177747,3.00662245,0.00763535,1.10020382
-4.73336668,4.04587143,0.00726594,0.03846155,0.21323253,0.21612755,0.35243161,2.96704586,0.00725786,1.03668275
-4.72736368,3.95084305,0.00667786,0.03726929,0.20540252,0.20546692,0.33470975,2.93156652,0.00693487,0.97586438
-4.72136068,3.86385866,0.00615021,0.03633315,0.19789808,0.19602298,0.31859965,2.89999994,0.00666750,0.91802614
-4.71535768,3.78474483,0.00568803,0.03563203,0.19075666,0.18776192,0.30406125,2.87207253,0.00645570,0.86339194
-4.70935468,3.71318276,0.00529527,0.03514134,0.18399855,0.18064045,0.29102965,2.84743263,0.00629832,0.81213111
-4.70335168,3.64872504,0.00497487,0.03483370,0.17762817,0.17460656,0.27941930,2.82566341,0.00619333,0.76435894
-4.69734867,3.59081640,0.00472898,0.03467972,0.17163601,0.16960076,0.26912891,2.80629754,0.00613795,0.72013901
-4.69134567,3.53881839,0.00455916,0.03464890,0.16600085,0.16555775,0.26004704,2.78883358,0.00612895,0.67948704
-4.68534267,3.49203753,0.00446653,0.03471050,0.16069242,0.16240851,0.25205803,2.77275405,0.00616289,0.64237629
-4.67933967,3.44975628,0.00445200,0.03483456,0.15567413,0.16008292,0.24504792,2.75754473,0.00623638,0.60874429
-4.67333667,3.41126604,0.00451644,0.03499276,0.15090581,0.15851275,0.23891018,2.74271499,0.00634639,0.57850064
-4.66733367,3.37590109,0.00466078,0.03515937,0.14634638,0.15763491,0.23355100,2.72781851,0.00649058,0.55153554
-4.66133067,3.34307229,0.00488618,0.03531206,0.14195626,0.15739491,0.22889372,2.71247364,0.00666750,0.52772887
-4.65532766,3.31229923,0.00519408,0.03543260,0.13769945,0.15775037,0.22488253,2.69638275,0.00687691,0.50695920
-4.64932466,3.28323918,0.00558621,0.03550753,0.13354517,0.15867425,0.22148500,2.67934959,0.00711995,0.48911260
-4.64332166,3.25571167,0.00606458,0.03552853,0.12946914,0.16015785,0.21869350,2.66129378,0.00739934,0.47409055
-4.63731866,3.22971713,0.00663142,0.03549276,0.12545427,0.16221318,0.21652551,2.64226155,0.00771949,0.46181688
-4.63131566,3.20544832,0.00728906,0.03540292,0.12149099,0.16487460,0.21502268,2.62243199,0.00808652,0.45224315
-4.62531266,3.18329367,0.00803977,0.03526715,0.11757697,0.16819950,0.21424875,2.60211806,0.00850824,0.44535218
-4.61930965,3.16383180,0.00888557,0.03509877,0.11371666,0.17226791,0.21428659,2.58176202,0.00899402,0.44115966
