energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-5.32166083,1.17711125,0.49249959,0.28127404,0.00139919,0.24049330,0.51443199,0.00000000,0.44598222,0.00955982
-5.31565783,1.16954006,0.47622600,0.27982801,0.00166082,0.24644364,0.50728984,0.00000000,0.44668304,0.00928976
-5.30965483,1.16089246,0.45971972,0.27799326,0.00196520,0.25226831,0.49988946,0.00000000,0.44655746,0.00899899
-5.30365183,1.15177121,0.44348820,0.27588382,0.00231717,0.25798732,0.49259370,0.00000000,0.44570895,0.00869382
-5.29764882,1.14276454,0.42803760,0.27361059,0.00272157,0.26362867,0.48574703,0.00000000,0.44424056,0.00838040
-5.29164582,1.13443099,0.41386156,0.27127847,0.00318305,0.26922881,0.47966524,0.00000000,0.44225269,0.00806447
-5.28564282,1.12728619,0.40143107,0.26898402,0.00370585,0.27483300,0.47462613,0.00000000,0.43984123,0.00775129
-5.27963982,1.12179170,0.39118577,0.26681356,0.00429367,0.28049563,0.47086159,0.00000000,0.43709627,0.00744553
-5.27363682,1.11834612,0.38352673,0.26484180,0.00494934,0.28628022,0.46855114,0.00000000,0.43410118,0.00715117
-5.26763382,1.11727838,0.37881070,0.26313096,0.00567466,0.29225924,0.46781724,0.00000000,0.43093197,0.00687147
-5.26163082,1.11884320,0.37734583,0.26173032,0.00647008,0.29851352,0.46872217,0.00000000,0.42765697,0.00660894
-5.25562781,1.12321871,0.37938871,0.26067614,0.00733453,0.30513128,0.47126688,0.00000000,0.42433669,0.00636537
-5.24962481,1.13050604,0.38514265,0.25999202,0.00826514,0.31220670,0.47539153,0.00000000,0.42102378,0.00614181
-5.24362181,1.14073087,0.39475699,0.25968950,0.00925715,0.31983821,0.48097787,0.00000000,0.41776321,0.00593864
-5.23761881,1.15384669,0.40832736,0.25976899,0.01030369,0.32812632,0.48785339,0.00000000,0.41459256,0.00575562
-5.23161581,1.16973996,0.42589664,0.26022094,0.01139580,0.33717120,0.49579710,0.00000000,0.41154255,0.00559197
-5.22561281,1.18823672,0.44745658,0.26102724,0.01252239,0.34707012,0.50454692,0.00000000,0.40863776,0.00544641
-5.21960980,1.20911080,0.47294985,0.26216273,0.01367036,0.35791468,0.51380843,0.00000000,0.40589768,0.00531730
-5.21360680,1.23209328,0.50227248,0.26359701,0.01482478,0.36978812,0.52326475,0.00000000,0.40333811,0.00520268
-5.20760380,1.25688302,0.53527652,0.26529619,0.01596917,0.38276267,0.53258742,0.00000000,0.40097291,0.00510040
-5.20160080,1.28315804,0.57177294,0.26722477,0.01708583,0.39689702,0.54144784,0.00000000,0.39881606,0.00500820
-5.19559780,1.31058727,0.61153453,0.26934758,0.01815634,0.41223406,0.54952896,0.00000000,0.39688405,0.00492377
-5.18959480,1.33884226,0.65429891,0.27163150,0.01916197,0.42879882,0.55653680,0.00000000,0.39519842,0.00484489
-5.18359180,1.36760849,0.69977144,0.27404709,0.02008432,0.44659664,0.56221139,0.00000000,0.39378839,0.00476948
-5.17758879,1.39659556,0.74762804,0.27657003,0.02090581,0.46561167,0.56633675,0.00000000,0.39269322,0.00469569
-5.17158579,1.42554596,0.79751786,0.27918211,0.02161032,0.48580557,0.56874936,0.00000000,0.39196435,0.00462196
-5.16558279,1.45424172,0.84906582,0.28187190,0.02218367,0.50711641,0.56934488,0.00000000,0.39166691,0.00454705
-5.15957979,1.48250879,0.90187487,0.28463495,0.02261417,0.52945790,0.56808270,0.00000000,0.39188036,0.00447014
-5.15357679,1.51021865,0.95552816,0.28747346,0.02289301,0.55271869,0.56498805,0.00000000,0.39269825,0.00439078
