energy_ev,total_up,As_p_up,As_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
2.03201601,0.31480956,0.08267993,0.00000000,0.03973323,0.06043496,0.11321127,0.00000000
2.03801901,0.35565468,0.09343236,0.00000000,0.04484855,0.06827744,0.12785103,0.00000000
2.04402201,0.39900101,0.10484192,0.00000000,0.05031240,0.07659573,0.14342438,0.00000000
2.05002501,0.44449568,0.11681776,0.00000000,0.05608308,0.08532121,0.15980830,0.00000000
2.05602801,0.49170362,0.12924749,0.00000000,0.06211177,0.09436902,0.17685357,0.00000000
2.06203102,0.54011199,0.14199840,0.00000000,0.06834333,0.10363888,0.19438692,0.00000000
2.06803402,0.58913862,0.15491974,0.00000000,0.07471766,0.11301655,0.21221453,0.00000000
2.07403702,0.63814444,0.16784605,0.00000000,0.08117189,0.12237618,0.23012739,0.00000000
2.08004002,0.68644977,0.18060148,0.00000000,0.08764301,0.13158323,0.24790802,0.00000000
2.08604302,0.73335417,0.19300501,0.00000000,0.09407117,0.14049816,0.26533876,0.00000000
2.09204602,0.77815914,0.20487643,0.00000000,0.10040347,0.14898061,0.28221127,0.00000000
2.09804902,0.82019311,0.21604285,0.00000000,0.10659800,0.15689398,0.29833692,0.00000000
2.10405203,0.85883754,0.22634550,0.00000000,0.11262823,0.16411027,0.31355784,0.00000000
2.11005503,0.89355326,0.23564655,0.00000000,0.11848732,0.17051489,0.32775803,0.00000000
2.11605803,0.92390576,0.24383552,0.00000000,0.12419231,0.17601132,0.34087419,0.00000000
2.12206103,0.94958812,0.25083515,0.00000000,0.12978788,0.18052535,0.35290567,0.00000000
2.12806403,0.97044066,0.25660624,0.00000000,0.13534955,0.18400864,0.36392306,0.00000000
2.13406703,0.98646591,0.26115123,0.00000000,0.14098596,0.18644150,0.37407485,0.00000000
2.14007004,0.99783817,0.26451630,0.00000000,0.14684013,0.18783467,0.38359171,0.00000000
2.14607304,1.00490673,0.26679177,0.00000000,0.15308940,0.18822998,0.39278796,0.00000000
2.15207604,1.00819238,0.26811060,0.00000000,0.15994400,0.18769979,0.40205989,0.00000000
2.15807904,1.00837694,0.26864520,0.00000000,0.16764397,0.18634530,0.41188057,0.00000000
2.16408204,1.00628583,0.26860222,0.00000000,0.17645447,0.18429357,0.42279115,0.00000000
2.17008504,1.00286414,0.26821585,0.00000000,0.18665942,0.18169355,0.43538853,0.00000000
2.17608804,0.99914677,0.26773946,0.00000000,0.19855352,0.17871106,0.45030947,0.00000000
2.18209105,0.99622374,0.26743624,0.00000000,0.21243272,0.17552312,0.46821160,0.00000000
2.18809405,0.99520162,0.26756889,0.00000000,0.22858349,0.17231165,0.48975141,0.00000000
2.19409705,0.99716274,0.26838896,0.00000000,0.24727097,0.16925690,0.51556016,0.00000000
2.20010005,1.00312339,0.27012618,0.00000000,0.26872655,0.16653085,0.54621801,0.00000000
2.20610305,1.01399285,0.27297833,0.00000000,0.29313519,0.16429088,0.58222750,0.00000000
2.21210605,1.03053477,0.27710197,0.00000000,0.32062306,0.16267389,0.62398718,0.00000000
2.21810905,1.05333249,0.28260463,0.00000000,0.35124595,0.16179122,0.67176635,0.00000000
2.22411206,1.08275981,0.28953868,0.00000000,0.38497914,0.16172446,0.72568216,0.00000000
2.23011506,1.11895853,0.29789733,0.00000000,0.42170923,0.16252246,0.78568007,0.00000000
2.23611806,1.16182392,0.30761293,0.00000000,0.46122850,0.16419957,0.85151866,0.00000000
2.24212106,1.21099889,0.31855775,0.00000000,0.50323235,0.16673521,0.92276002,0.00000000
2.24812406,1.26587752,0.33054731,0.00000000,0.54732016,0.17007489,0.99876632,0.00000000
2.25412706,1.32561805,0.34334615,0.00000000,0.59299991,0.17413252,1.07870344,0.00000000
2.26013007,1.38916528,0.35667592,0.00000000,0.63969674,0.17879398,1.16155202,0.00000000
2.26613307,1.45528166,0.37022549,0.00000000,0.68676532,0.18392190,1.24612602,0.00000000
2.27213607,1.52258638,0.38366274,0.00000000,0.73350599,0.18936137,1.33109871,0.00000000
2.27813907,1.58960093,0.39664746,0.00000000,0.77918413,0.19494633,1.41503551,0.00000000
2.28414207,1.65479971,0.40884499,0.00000000,0.82305212,0.20050654,1.49643285,0.00000000
2.29014507,1.71666364,0.41993991,0.00000000,0.86437338,0.20587468,1.57376174,0.00000000
2.29614807,1.77373487,0.42964920,0.00000000,0.90244725,0.21089339,1.64551463,0.00000000
2.30215108,1.82467015,0.43773436,0.00000000,0.93663389,0.21542189,1.71025378,0.00000000
2.30815408,1.86829093,0.44401180,0.00000000,0.96637804,0.21934196,1.76665916,0.00000000
2.31415708,1.90362775,0.44836120,0.00000000,0.99123060,0.22256296,1.81357399,0.00000000
2.32016008,1.92995726,0.45073127,0.00000000,1.01086686,0.22502568,1.85004587,0.00000000
2.32616308,1.94683003,0.45114272,0.00000000,1.02510067,0.22670488,1.87536170,0.00000000
2.33216608,1.95408796,0.44968828,0.00000000,1.03389360,0.22761040,1.88907486,0.00000000
2.33816908,1.95187054,0.44652975,0.00000000,1.03735860,0.22778664,1.89102328,0.00000000
2.34417209,1.94060949,0.44189211,0.00000000,1.03575800,0.22731067,1.88133762,0.00000000
2.35017509,1.92101222,0.43605509,0.00000000,1.02949567,0.22628888,1.86043927,0.00000000
2.35617809,1.89403465,0.42934247,0.00000000,1.01910370,0.22485228,1.82902794,0.00000000
2.36218109,1.86084474,0.42210960,0.00000000,1.00522412,0.22315084,1.78805979,0.00000000
2.36818409,1.82277838,0.41472970,0.00000000,0.98858652,0.22134691,1.73871675,0.00000000
