energy_ev,total_up,Bi_p_up,Bi_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
5.68184092,2.73822545,0.39256298,0.07292666,4.06383148,0.11932840,0.15313291,0.64916631
5.68784392,2.76502421,0.40274730,0.07393271,4.09069895,0.12127790,0.15344865,0.65374932
5.69384692,2.78433227,0.41217395,0.07468730,4.10378342,0.12295412,0.15315035,0.65680772
5.69984992,2.79633442,0.42078771,0.07518223,4.10334763,0.12435068,0.15226802,0.65841223
5.70585293,2.80138296,0.42855853,0.07541475,4.08998903,0.12546619,0.15084506,0.65866587
5.71185593,2.79996984,0.43547835,0.07538733,4.06460249,0.12630341,0.14893640,0.65769669
5.71785893,2.79269434,0.44155705,0.07510726,4.02833314,0.12686815,0.14660612,0.65564956
5.72386193,2.78022813,0.44681797,0.07458615,3.98252188,0.12716825,0.14392495,0.65267775
5.72986493,2.76327947,0.45129305,0.07383923,3.92864594,0.12721257,0.14096744,0.64893452
5.73586793,2.74255830,0.45501801,0.07288472,3.86825770,0.12701009,0.13780917,0.64456525
5.74187094,2.71874396,0.45802776,0.07174309,3.80292423,0.12656919,0.13452399,0.63970049
5.74787394,2.69245696,0.46035234,0.07043633,3.73417054,0.12589710,0.13118146,0.63445018
5.75387694,2.66423610,0.46201356,0.06898731,3.66342875,0.12499960,0.12784462,0.62889938
5.75987994,2.63452164,0.46302260,0.06741914,3.59199524,0.12388097,0.12456812,0.62310560
5.76588294,2.60364532,0.46337865,0.06575467,3.52099728,0.12254417,0.12139680,0.61709784
5.77188594,2.57182703,0.46306871,0.06401609,3.45137013,0.12099117,0.11836480,0.61087727
5.77788894,2.53917825,0.46206846,0.06222459,3.38384495,0.11922353,0.11549521,0.60441954
5.78389195,2.50571145,0.46034429,0.06040021,3.31894741,0.11724309,0.11280015,0.59767837
5.78989495,2.47135474,0.45785625,0.05856166,3.25700610,0.11505268,0.11028146,0.59059038
5.79589795,2.43597065,0.45456185,0.05672636,3.19816984,0.11265688,0.10793171,0.58308071
5.80190095,2.39937780,0.45042037,0.05491045,3.14243201,0.11006274,0.10573561,0.57506916
5.80790395,2.36137415,0.44539763,0.05312883,3.08966022,0.10728038,0.10367168,0.56647654
5.81390695,2.32176055,0.43947078,0.05139529,3.03962929,0.10432346,0.10171409,0.55723084
5.81990995,2.28036321,0.43263295,0.04972254,2.99205538,0.10120947,0.09983457,0.54727297
5.82591296,2.23705405,0.42489749,0.04812229,2.94662935,0.09795979,0.09800430,0.53656180
5.83191596,2.19176790,0.41630159,0.04660526,2.90304760,0.09459957,0.09619565,0.52507815
5.83791896,2.14451584,0.40690903,0.04518112,2.86103863,0.09115742,0.09438376,0.51282782
5.84392196,2.09539406,0.39681204,0.04385841,2.82038435,0.08766483,0.09254784,0.49984319
5.84992496,2.04458812,0.38613202,0.04264444,2.78093521,0.08415554,0.09067214,0.48618372
5.85592796,1.99237241,0.37501926,0.04154509,2.74261870,0.08066465,0.08874662,0.47193505
5.86193097,1.93910519,0.36365142,0.04056462,2.70544137,0.07722778,0.08676723,0.45720699
5.86793397,1.88521946,0.35223118,0.03970551,2.66948458,0.07388010,0.08473586,0.44213034
5.87393697,1.83121042,0.34098279,0.03896826,2.63489491,0.07065539,0.08265999,0.42685289
5.87993997,1.77762010,0.33014793,0.03835126,2.60187005,0.06758515,0.08055206,0.41153464
5.88594297,1.72502002,0.31998090,0.03785069,2.57064159,0.06469784,0.07842857,0.39634252
5.89194597,1.67399288,0.31074343,0.03746052,2.54145582,0.06201814,0.07630909,0.38144496
5.89794897,1.62511390,0.30269917,0.03717254,2.51455417,0.05956647,0.07421514,0.36700628
5.90395198,1.57893294,0.29610818,0.03697653,2.49015434,0.05735859,0.07216897,0.35318142
5.90995498,1.53595796,0.29122144,0.03686045,2.46843354,0.05540541,0.07019250,0.34011110
