energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,V_p_up,V_p_down,V_d_up,V_d_down
1.40770385,1.78659883,-3.74403831,0.02071334,-0.01877909,0.04345457,-0.05911597,0.17282835,-0.61671912,0.36491113,-1.67112586,0.11852439,-0.17069402,0.00000000,-0.00000000,0.26754520,-0.30388107,1.19890643,-1.85246344
1.41370685,1.89500639,-3.81971065,0.02023382,-0.01969283,0.04469729,-0.05904277,0.18626525,-0.62124057,0.37933543,-1.69490426,0.12362780,-0.17360447,0.00000000,-0.00000000,0.28492119,-0.30555865,1.28340451,-1.90232623
1.41970985,2.01019829,-3.89287581,0.01982740,-0.02068507,0.04609703,-0.05892952,0.20058991,-0.62586601,0.39539738,-1.71777438,0.12923150,-0.17669120,0.00000000,-0.00000000,0.30362918,-0.30805323,1.37219602,-1.94996983
1.42571286,2.13121582,-3.96177745,0.01951721,-0.02174085,0.04767253,-0.05876537,0.21563478,-0.63029892,0.41306149,-1.73897886,0.13533381,-0.17988167,0.00000000,-0.00000000,0.32351157,-0.31133780,1.46436037,-1.99445677
1.43171586,2.25694246,-4.02482149,0.01932637,-0.02284355,0.04944022,-0.05854211,0.23121760,-0.63426622,0.43226024,-1.75780746,0.14192592,-0.18310517,0.00000000,-0.00000000,0.34438496,-0.31538225,1.55886609,-2.03496800
1.43771886,2.38611057,-4.08063003,0.01927721,-0.02397528,0.05141341,-0.05825452,0.24714386,-0.63752666,0.45289111,-1.77361931,0.14899073,-0.18629479,0.00000000,-0.00000000,0.36604180,-0.32015493,1.65458218,-2.07083217
1.44372186,2.51731460,-4.12808589,0.01939062,-0.02511736,0.05360162,-0.05790063,0.26320979,-0.63987781,0.47481491,-1.78586214,0.15650201,-0.18938926,0.00000000,-0.00000000,0.38825303,-0.32562394,1.75029393,-2.10154885
1.44972486,2.64903069,-4.16636575,0.01968531,-0.02625084,0.05600987,-0.05748186,0.27920594,-0.64116149,0.49785548,-1.79408758,0.16442387,-0.19233446,0.00000000,-0.00000000,0.41077187,-0.33175795,1.84472333,-2.12680445
1.45572786,2.77964271,-4.19496054,0.02017714,-0.02735696,0.05863830,-0.05700303,0.29492134,-0.64126727,0.52180093,-1.79796214,0.17271069,-0.19508461,0.00000000,-0.00000000,0.43333845,-0.33852667,1.93655345,-2.14648003
1.46173087,2.90747377,-4.21368217,0.02087851,-0.02841771,0.06148177,-0.05647216,0.31014788,-0.64013399,0.54640629,-1.79727346,0.18130740,-0.19760311,0.00000000,-0.00000000,0.45568540,-0.34590071,2.02445638,-2.16065066
1.46773387,3.03082258,-4.22265631,0.02179780,-0.02941630,0.06452974,-0.05590029,0.32468506,-0.63774917,0.57139759,-1.79193178,0.19015010,-0.19986286,0.00000000,-0.00000000,0.47754394,-0.35385098,2.10712386,-2.16957606
1.47373687,3.14800333,-4.22230181,0.02293891,-0.03033764,0.06776618,-0.05530099,0.33834469,-0.63414641,0.59647726,-1.78196664,0.19916706,-0.20184621,0.00000000,-0.00000000,0.49865045,-0.36234743,2.18329970,-2.17368309
1.47973987,3.25738782,-4.21329774,0.02430095,-0.03116877,0.07116982,-0.05468992,0.35095555,-0.62940092,0.62133058,-1.76751930,0.20827993,-0.20354440,0.00000000,-0.00000000,0.51875317,-0.37135747,2.25181270,-2.17354073
1.48574287,3.35744814,-4.19653982,0.02587795,-0.03189919,0.07471442,-0.05408421,0.36236770,-0.62362335,0.64563300,-1.74883126,0.21740524,-0.20495667,0.00000000,-0.00000000,0.53761869,-0.38084395,2.31160920,-2.16982876
1.49174587,3.44679851,-4.17308849,0.02765882,-0.03252120,0.07836926,-0.05350186,0.37245642,-0.61695230,0.66905802,-1.72622973,0.22645600,-0.20608895,0.00000000,-0.00000000,0.55503801,-0.39076293,2.36178361,-2.16330151
1.49774887,3.52423447,-4.14411120,0.02962741,-0.03303010,0.08209987,-0.05296104,0.38112548,-0.60954594,0.69128543,-1.70011064,0.23534343,-0.20695230,0.00000000,-0.00000000,0.57083194,-0.40106145,2.40160605,-2.15474859
1.50375188,3.58876794,-4.11082191,0.03176271,-0.03342424,0.08586877,-0.05247944,0.38830979,-0.60157303,0.71200953,-1.67092036,0.24397872,-0.20756125,0.00000000,-0.00000000,0.58485541,-0.41167548,2.43054573,-2.14495438
1.50975488,3.63965678,-4.07442085,0.03403921,-0.03370510,0.08963650,-0.05207368,0.39397714,-0.59320403,0.73094699,-1.63913676,0.25227481,-0.20793200,0.00000000,-0.00000000,0.59700071,-0.42252821,2.44828911,-2.13465828
1.51575788,3.67642761,-4.03603738,0.03642747,-0.03387718,0.09336265,-0.05175874,0.39812913,-0.58460258,0.74784431,-1.60525074,0.26014807,-0.20808067,0.00000000,-0.00000000,0.60719945,-0.43352896,2.45475207,-2.12451788
1.52176088,3.69889098,-3.99667908,0.03889477,-0.03394777,0.09700712,-0.05154756,0.40080117,-0.57591783,0.76248436,-1.56974878,0.26751991,-0.20802177,0.00000000,-0.00000000,0.61542304,-0.44457297,2.45008532,-2.11507661
1.52776388,3.70714825,-3.95718917,0.04140592,-0.03392669,0.10053131,-0.05145067,0.40206155,-0.56727817,0.77469201,-1.53309752,0.27431834,-0.20776688,0.00000000,-0.00000000,0.62168193,-0.45554196,2.43467284,-2.10673780
