energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up
-3.58079040,3.26489563,3.39330673,1.39030452,0.19013229,0.30811993,0.96179017,0.00000000
-3.57478739,3.14498482,3.26199798,1.33928006,0.18244361,0.29967210,0.92282987,0.00000000
-3.56878439,3.01507370,3.12084408,1.28387454,0.17422870,0.28980536,0.88177333,0.00000000
-3.56278139,2.87616450,2.97099830,1.22453895,0.16556072,0.27863393,0.83883784,0.00000000
-3.55677839,2.72947834,2.81380877,1.16181836,0.15652094,0.26629960,0.79429567,0.00000000
-3.55077539,2.57641954,2.65078308,1.09633554,0.14719701,0.25296714,0.74846748,0.00000000
-3.54477239,2.41853377,2.48354699,1.02877211,0.13768104,0.23881896,0.70171365,0.00000000
-3.53876938,2.25746168,2.31379928,0.95984792,0.12806738,0.22404946,0.65442399,0.00000000
-3.53276638,2.09489026,2.14326449,0.89029967,0.11845039,0.20885904,0.60700626,0.00000000
-3.52676338,1.93250400,1.97364590,0.82085971,0.10892212,0.19344828,0.55987417,0.00000000
-3.52076038,1.77193798,1.80658057,0.75223578,0.09957011,0.17801241,0.51343525,0.00000000
-3.51475738,1.61473473,1.64359847,0.68509264,0.09047544,0.16273621,0.46807938,0.00000000
-3.50875438,1.46230663,1.48608705,0.62003619,0.08171098,0.14778973,0.42416833,0.00000000
-3.50275138,1.31590507,1.33526276,0.55760060,0.07334002,0.13332471,0.38202676,0.00000000
-3.49674837,1.17659716,1.19215007,0.49823878,0.06541531,0.11947193,0.34193513,0.00000000
-3.49074537,1.04525053,1.05756845,0.44231635,0.05797843,0.10633953,0.30412456,0.00000000
-3.48474237,0.92252629,0.93212733,0.39010908,0.05105967,0.09401221,0.26877390,0.00000000
-3.47873937,0.80887952,0.81622854,0.34180359,0.04467821,0.08255129,0.23600889,0.00000000
-3.47273637,0.70456697,0.71007559,0.29750100,0.03884268,0.07199560,0.20590331,0.00000000
-3.46673337,0.60966060,0.61368867,0.25722307,0.03355203,0.06236294,0.17848197,0.00000000
-3.46073037,0.52406619,0.52692434,0.22092032,0.02879666,0.05365213,0.15372521,0.00000000
-3.45472736,0.44754551,0.44949870,0.18848170,0.02455964,0.04584548,0.13157458,0.00000000
-3.44872436,0.37974094,0.38101262,0.15974506,0.02081816,0.03891140,0.11193953,0.00000000
-3.44272136,0.32020143,0.32097814,0.13450809,0.01754496,0.03280723,0.09470455,0.00000000
-3.43671836,0.26840845,0.26884467,0.11253926,0.01470976,0.02748202,0.07973668,0.00000000
-3.43071536,0.22380135,0.22402443,0.09358820,0.01228068,0.02287917,0.06689299,0.00000000
-3.42471236,0.18580111,0.18591612,0.07739544,0.01022552,0.01893900,0.05602790,0.00000000
-3.41870935,0.15383217,0.15392650,0.06370113,0.00851300,0.01560093,0.04700006,0.00000000
-3.41270635,0.12734179,0.12748952,0.05225267,0.00711377,0.01280550,0.03967882,0.00000000
-3.40670335,0.10581686,0.10608269,0.04281114,0.00600139,0.01049604,0.03395010,0.00000000
-3.40070035,0.08879816,0.08924094,0.03515655,0.00515305,0.00862002,0.02972165,0.00000000
-3.39469735,0.07589207,0.07656777,0.02909200,0.00455026,0.00713019,0.02692772,0.00000000
-3.38869435,0.06677993,0.06774409,0.02444675,0.00417930,0.00598535,0.02553316,0.00000000
-3.38269135,0.06122522,0.06253473,0.02107837,0.00403160,0.00515100,0.02553685,0.00000000
-3.37668834,0.05907887,0.06079307,0.01887414,0.00410399,0.00459968,0.02697463,0.00000000
-3.37068534,0.06028275,0.06246375,0.01775170,0.00439877,0.00431121,0.02992161,0.00000000
-3.36468234,0.06487160,0.06758368,0.01765913,0.00492376,0.00427273,0.03449381,0.00000000
-3.35867934,0.07297343,0.07628151,0.01857461,0.00569212,0.00447868,0.04084920,0.00000000
-3.35267634,0.08480837,0.08877537,0.02050552,0.00672208,0.00493061,0.04918785,0.00000000
-3.34667334,0.10068595,0.10536901,0.02348729,0.00803656,0.00563695,0.05975123,0.00000000
-3.34067034,0.12100068,0.12644607,0.02758176,0.00966260,0.00661265,0.07282045,0.00000000
-3.33466733,0.14622558,0.15246245,0.03287516,0.01163062,0.00787873,0.08871321,0.00000000
-3.32866433,0.17690368,0.18393638,0.03947564,0.01397355,0.00946179,0.10777940,0.00000000
-3.32266133,0.21363696,0.22143633,0.04751036,0.01672577,0.01139334,0.13039515,0.00000000
-3.31665833,0.25707272,0.26556625,0.05712193,0.01992182,0.01370907,0.15695510,0.00000000
-3.31065533,0.30788706,0.31694840,0.06846432,0.02359502,0.01644792,0.18786302,0.00000000
-3.30465233,0.36676547,0.37620357,0.08169812,0.02777591,0.01965114,0.22352049,0.00000000
-3.29864932,0.43438058,0.44392901,0.09698512,0.03249053,0.02336105,0.26431399,0.00000000
-3.29264632,0.51136719,0.52067430,0.11448230,0.03775869,0.02761987,0.31060025,0.00000000
-3.28664332,0.59829510,0.60691574,0.13433521,0.04359213,0.03246822,0.36269050,0.00000000
-3.28064032,0.69564019,0.70302990,0.15667098,0.04999279,0.03794377,0.42083366,0.00000000
-3.27463732,0.80375475,0.80926722,0.18159095,0.05695112,0.04407961,0.48519922,0.00000000
-3.26863432,0.92283783,0.92572666,0.20916335,0.06444466,0.05090284,0.55586038,0.00000000
-3.26263132,1.05290706,1.05233258,0.23941610,0.07243681,0.05843310,0.63277810,0.00000000
-3.25662831,1.19377306,1.18881496,0.27233020,0.08087601,0.06668123,0.71578692,0.00000000
-3.25062531,1.34501802,1.33469432,0.30783397,0.08969531,0.07564824,0.80458333,0.00000000
-3.24462231,1.50597977,1.48927242,0.34579857,0.09881251,0.08532445,0.89871754,0.00000000
