energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
3.03451726,1.53126893,0.08304180,0.13598235,0.71398350,0.56748974,0.25824560,0.17038226,0.50661817,0.00000000
3.04052026,1.55210886,0.08788453,0.13716756,0.71535230,0.57424343,0.25865490,0.17343433,0.50536193,0.00000000
3.04652326,1.57600671,0.09265725,0.13898967,0.71791624,0.58223329,0.26030991,0.17691054,0.50515838,0.00000000
3.05252626,1.60283512,0.09732362,0.14142803,0.72152052,0.59143204,0.26316854,0.18077620,0.50600663,0.00000000
3.05852926,1.63241761,0.10184653,0.14445723,0.72597716,0.60178786,0.26716861,0.18499222,0.50788004,0.00000000
3.06453227,1.66453152,0.10618854,0.14804644,0.73107016,0.61322707,0.27222883,0.18951516,0.51072784,0.00000000
3.07053527,1.69891238,0.11031237,0.15215896,0.73656182,0.62565736,0.27825040,0.19429733,0.51447761,0.00000000
3.07653827,1.73525954,0.11418135,0.15675211,0.74220006,0.63897129,0.28511913,0.19928723,0.51903856,0.00000000
3.08254127,1.77324299,0.11776005,0.16177743,0.74772641,0.65305016,0.29270815,0.20443009,0.52430544,0.00000000
3.08854427,1.81251110,0.12101486,0.16718113,0.75288425,0.66776796,0.30088102,0.20966858,0.53016296,0.00000000
3.09454727,1.85269924,0.12391455,0.17290495,0.75742719,0.68299540,0.30949522,0.21494376,0.53649046,0.00000000
3.10055028,1.89343886,0.12643095,0.17888722,0.76112704,0.69860382,0.31840579,0.22019615,0.54316686,0.00000000
3.10655328,1.93436684,0.12853949,0.18506419,0.76378116,0.71446892,0.32746915,0.22536682,0.55007540,0.00000000
3.11255628,1.97513472,0.13021983,0.19137145,0.76521891,0.73047416,0.33654690,0.23039871,0.55710829,0.00000000
3.11855928,2.01541752,0.13145632,0.19774548,0.76530686,0.74651376,0.34550947,0.23523775,0.56417075,0.00000000
3.12456228,2.05492159,0.13223851,0.20412516,0.76395274,0.76249506,0.35423949,0.23983411,0.57118458,0.00000000
3.13056528,2.09339128,0.13256155,0.21045315,0.76110772,0.77834023,0.36263479,0.24414321,0.57809081,0.00000000
3.13656828,2.13061397,0.13242646,0.21667713,0.75676722,0.79398716,0.37061096,0.24812666,0.58485147,0.00000000
3.14257129,2.16642307,0.13184038,0.22275064,0.75097002,0.80938950,0.37810332,0.25175291,0.59145027,0.00000000
3.14857429,2.20069896,0.13081671,0.22863370,0.74379586,0.82451580,0.38506818,0.25499770,0.59789230,0.00000000
3.15457729,2.23336737,0.12937508,0.23429297,0.73536157,0.83934762,0.39148355,0.25784423,0.60420249,0.00000000
3.16058029,2.26439551,0.12754130,0.23970146,0.72581602,0.85387684,0.39734901,0.26028294,0.61042313,0.00000000
3.16658329,2.29378577,0.12534710,0.24483791,0.71533391,0.86810218,0.40268497,0.26231114,0.61661038,0.00000000
3.17258629,2.32156746,0.12282983,0.24968576,0.70410889,0.88202493,0.40753119,0.26393223,0.62283004,0.00000000
3.17858929,2.34778664,0.12003191,0.25423178,0.69234612,0.89564441,0.41194466,0.26515473,0.62915270,0.00000000
3.18459230,2.37249491,0.11700028,0.25846455,0.68025467,0.90895301,0.41599698,0.26599115,0.63564850,0.00000000
3.19059530,2.39573737,0.11378554,0.26237276,0.66803998,0.92193142,0.41977119,0.26645662,0.64238189,0.00000000
3.19659830,2.41754068,0.11044109,0.26594356,0.65589667,0.93454414,0.42335826,0.26656759,0.64940639,0.00000000
3.20260130,2.43790179,0.10702205,0.26916106,0.64400200,0.94673559,0.42685331,0.26634047,0.65675994,0.00000000
3.20860430,2.45677798,0.10358404,0.27200505,0.63251010,0.95842718,0.43035169,0.26579031,0.66446070,0.00000000
3.21460730,2.47407891,0.10018189,0.27445007,0.62154725,0.96951546,0.43394498,0.26492976,0.67250385,0.00000000
3.22061031,2.48966122,0.09686827,0.27646501,0.61120821,0.97987161,0.43771715,0.26376819,0.68085925,0.00000000
3.22661331,2.50332600,0.09369226,0.27801314,0.60155387,0.98934237,0.44174088,0.26231103,0.68947029,0.00000000
3.23261631,2.51481939,0.09069789,0.27905273,0.59261000,0.99775240,0.44607412,0.26055951,0.69825373,0.00000000
3.23861931,2.52383646,0.08792288,0.27953814,0.58436731,1.00490810,0.45075716,0.25851066,0.70710072,0.00000000
3.24462231,2.53002813,0.08539734,0.27942145,0.57678271,1.01060270,0.45581003,0.25615765,0.71587880,0.00000000
3.25062531,2.53301094,0.08314273,0.27865446,0.56978159,1.01462234,0.46123059,0.25349034,0.72443479,0.00000000
3.25662831,2.53237916,0.08117112,0.27719095,0.56326113,1.01675310,0.46699308,0.25049621,0.73259843,0.00000000
3.26263132,2.52771870,0.07948463,0.27498916,0.55709440,1.01678831,0.47304748,0.24716136,0.74018655,0.00000000
3.26863432,2.51862222,0.07807531,0.27201426,0.55113518,1.01453616,0.47931952,0.24347173,0.74700772,0.00000000
3.27463732,2.50470463,0.07692531,0.26824068,0.54522328,1.00982692,0.48571140,0.23941428,0.75286697,0.00000000
3.28064032,2.48561842,0.07600751,0.26365422,0.53919009,1.00251972,0.49210338,0.23497826,0.75757072,0.00000000
3.28664332,2.46106809,0.07528641,0.25825375,0.53286446,0.99250838,0.49835615,0.23015637,0.76093149,0.00000000
3.29264632,2.43082319,0.07471953,0.25205244,0.52607833,0.97972617,0.50431399,0.22494579,0.76277260,0.00000000
3.29864932,2.39472944,0.07425893,0.24507846,0.51867236,0.96414928,0.50980869,0.21934903,0.76293247,0.00000000
3.30465233,2.35271771,0.07385308,0.23737508,0.51050111,0.94579896,0.51466428,0.21337461,0.76126879,0.00000000
