energy_ev,total_up,Ge_p_up,Ge_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-0.09304652,0.91790684,0.15295439,0.00000000,0.00660074,0.12269223,0.27920022,0.60215486
-0.08704352,0.93560108,0.15055542,0.00000000,0.00649190,0.12381928,0.27367665,0.62190922
-0.08104052,0.95902539,0.14895424,0.00000000,0.00642210,0.12559934,0.26966391,0.64599724
-0.07503752,0.98775657,0.14810775,0.00000000,0.00638910,0.12799703,0.26705631,0.67412120
-0.06903452,1.02126187,0.14795269,0.00000000,0.00638988,0.13096260,0.26572419,0.70590581
-0.06303152,1.05891367,0.14840832,0.00000000,0.00642080,0.13443354,0.26551885,0.74090735
-0.05702851,1.10000657,0.14937946,0.00000000,0.00647771,0.13833654,0.26627794,0.77862432
-0.05102551,1.14377609,0.15075984,0.00000000,0.00655609,0.14258960,0.26783078,0.81850957
-0.04502251,1.18941876,0.15243560,0.00000000,0.00665121,0.14710439,0.27000383,0.85998345
-0.03901951,1.23611270,0.15428883,0.00000000,0.00675821,0.15178866,0.27262577,0.90244765
-0.03301651,1.28303839,0.15620100,0.00000000,0.00687230,0.15654872,0.27553230,0.94529940
-0.02701351,1.32939889,0.15805628,0.00000000,0.00698886,0.16129194,0.27857049,0.98794560
-0.02101051,1.37443902,0.15974457,0.00000000,0.00710352,0.16592913,0.28160247,1.02981652
-0.01500750,1.41746310,0.16116422,0.00000000,0.00721234,0.17037683,0.28450853,1.07037866
-0.00900450,1.45785055,0.16222439,0.00000000,0.00731185,0.17455945,0.28718959,1.10914643
-0.00300150,1.49506918,0.16284701,0.00000000,0.00739914,0.17841116,0.28956879,1.14569238
0.00300150,1.52868574,0.16296829,0.00000000,0.00747194,0.18187758,0.29159251,1.17965554
0.00900450,1.55837345,0.16253983,0.00000000,0.00752863,0.18491707,0.29323060,1.21074775
0.01500750,1.58391639,0.16152931,0.00000000,0.00756829,0.18750185,0.29447591,1.23875775
0.02101051,1.60521067,0.15992073,0.00000000,0.00759071,0.18961859,0.29534324,1.26355300
0.02701351,1.62226240,0.15771428,0.00000000,0.00759637,0.19126872,0.29586763,1.28507903
0.03301651,1.63518260,0.15492588,0.00000000,0.00758639,0.19246835,0.29610223,1.30335662
0.03901951,1.64417932,0.15158633,0.00000000,0.00756250,0.19324771,0.29611567,1.31847670
0.04502251,1.64954724,0.14774021,0.00000000,0.00752698,0.19365030,0.29598921,1.33059344
0.05102551,1.65165525,0.14344454,0.00000000,0.00748258,0.19373160,0.29581363,1.33991565
0.05702851,1.65093248,0.13876720,0.00000000,0.00743241,0.19355748,0.29568604,1.34669695
0.06303152,1.64785329,0.13378523,0.00000000,0.00737987,0.19320230,0.29570675,1.35122513
0.06903452,1.64292183,0.12858301,0.00000000,0.00732855,0.19274679,0.29597621,1.35381111
0.07503752,1.63665675,0.12325030,0.00000000,0.00728209,0.19227573,0.29659228,1.35477797
0.08104052,1.62957655,0.11788035,0.00000000,0.00724415,0.19187555,0.29764771,1.35445058
0.08704352,1.62218615,0.11256793,0.00000000,0.00721824,0.19163190,0.29922808,1.35314603
