energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-1.53976988,2.95153042,0.73919036,0.49325196,0.12495099,0.52408280,0.80909172,0.91097713,0.89256442,0.00000000
-1.53376688,2.98876089,0.75515763,0.49770202,0.13038242,0.52655705,0.82348976,0.92235813,0.90135391,0.00000000
-1.52776388,3.01033173,0.76780214,0.49951293,0.13536317,0.52603318,0.83346457,0.92885050,0.90494581,0.00000000
-1.52176088,3.01602816,0.77696173,0.49868260,0.13984277,0.52251194,0.83882656,0.93040848,0.90323732,0.00000000
-1.51575788,3.00599484,0.78255684,0.49526961,0.14377947,0.51606944,0.83948979,0.92709151,0.89625361,0.00000000
-1.50975488,2.98072733,0.78459147,0.48939116,0.14714114,0.50685429,0.83547397,0.91906071,0.88414704,0.00000000
-1.50375188,2.94105238,0.78315153,0.48121904,0.14990580,0.49508252,0.82690301,0.90657219,0.86719229,0.00000000
-1.49774887,2.88809817,0.77840044,0.47097405,0.15206192,0.48103021,0.81400010,0.88996756,0.84577727,0.00000000
-1.49174587,2.82325587,0.77057249,0.45891895,0.15360839,0.46502445,0.79707967,0.86966219,0.82039070,0.00000000
-1.48574287,2.74813443,0.75996417,0.44535043,0.15455425,0.44743279,0.77653656,0.84613172,0.79160653,0.00000000
-1.47973987,2.66451046,0.74692395,0.43059027,0.15491809,0.42865180,0.75283289,0.81989752,0.76006617,0.00000000
-1.47373687,2.57427536,0.73184086,0.41497614,0.15472731,0.40909510,0.72648329,0.79151159,0.72645907,0.00000000
-1.46773387,2.47938157,0.71513236,0.39885229,0.15401712,0.38918124,0.69803892,0.76154161,0.69150259,0.00000000
-1.46173087,2.38178992,0.69723198,0.38256048,0.15282942,0.36932199,0.66807106,0.73055657,0.65592177,0.00000000
-1.45572786,2.28341959,0.67857706,0.36643140,0.15121149,0.34991128,0.63715476,0.69911353,0.62042982,0.00000000
-1.44972486,2.18610230,0.65959691,0.35077678,0.14921467,0.33131519,0.60585322,0.66774574,0.58570995,0.00000000
-1.44372186,2.09154161,0.64070193,0.33588242,0.14689292,0.31386320,0.57470329,0.63695244,0.55239902,0.00000000
-1.43771886,2.00127823,0.62227362,0.32200212,0.14430141,0.29784091,0.54420252,0.60719050,0.52107355,0.00000000
-1.43171586,1.91666196,0.60465596,0.30935290,0.14149507,0.28348431,0.51479818,0.57886792,0.49223832,0.00000000
-1.42571286,1.83883031,0.58814816,0.29811117,0.13852724,0.27097577,0.48687834,0.55233915,0.46631775,0.00000000
-1.41970985,1.76869398,0.57299903,0.28841022,0.13544835,0.26044163,0.46076527,0.52790214,0.44365024,0.00000000
-1.41370685,1.70692906,0.55940279,0.28033880,0.13230475,0.25195149,0.43671114,0.50579709,0.42448526,0.00000000
-1.40770385,1.65397555,0.54749674,0.27394091,0.12913769,0.24551901,0.41489606,0.48620644,0.40898331,0.00000000
-1.40170085,1.61004196,0.53736044,0.26921664,0.12598244,0.24110424,0.39542823,0.46925631,0.39721837,0.00000000
-1.39569785,1.57511537,0.52901665,0.26612409,0.12286763,0.23861717,0.37834625,0.45501886,0.38918259,0.00000000
-1.38969485,1.54897657,0.52243384,0.26458232,0.11981491,0.23792264,0.36362324,0.44351558,0.38479317,0.00000000
-1.38369185,1.53121961,0.51753026,0.26447517,0.11683872,0.23884617,0.35117261,0.43472131,0.38390068,0.00000000
-1.37768884,1.52127510,0.51417947,0.26565592,0.11394644,0.24118064,0.34085511,0.42856877,0.38629884,0.00000000
-1.37168584,1.51843677,0.51221716,0.26795264,0.11113875,0.24469373,0.33248707,0.42495358,0.39173516,0.00000000
-1.36568284,1.52189020,0.51144909,0.27117412,0.10841032,0.24913574,0.32584935,0.42373957,0.39992210,0.00000000
-1.35967984,1.53074326,0.51165988,0.27511617,0.10575059,0.25424765,0.32069676,0.42476424,0.41054840,0.00000000
-1.35367684,1.54405712,0.51262239,0.27956816,0.10314492,0.25976925,0.31676768,0.42784424,0.42329016,0.00000000
-1.34767384,1.56087699,0.51410734,0.28431958,0.10057578,0.26544705,0.31379357,0.43278087,0.43782122,0.00000000
-1.34167084,1.58026157,0.51589289,0.28916633,0.09802400,0.27104166,0.31150795,0.43936525,0.45382264,0.00000000
-1.33566783,1.60131034,0.51777369,0.29391671,0.09547019,0.27633463,0.30965481,0.44738315,0.47099086,0.00000000
-1.32966483,1.62318757,0.51956907,0.29839661,0.09289596,0.28113431,0.30799606,0.45661945,0.48904429,0.00000000
-1.32366183,1.64514247,0.52113009,0.30245402,0.09028508,0.28528073,0.30631779,0.46686182,0.50772812,0.00000000
-1.31765883,1.66652455,0.52234501,0.30596245,0.08762456,0.28864918,0.30443531,0.47790380,0.52681727,0.00000000
-1.31165583,1.68679386,0.52314299,0.30882325,0.08490535,0.29115259,0.30219677,0.48954709,0.54611736,0.00000000
-1.30565283,1.70552585,0.52349585,0.31096677,0.08212288,0.29274248,0.29948534,0.50160300,0.56546386,0.00000000
