energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-4.96748374,3.27780545,0.42049314,2.72564849,0.01353630,0.08230714,0.00099367,0.38530720,0.22204167,0.10279493
-4.96148074,3.32892206,0.43091740,2.76268151,0.01399445,0.08250135,0.00104350,0.39520701,0.22973465,0.10509267
-4.95547774,3.36700077,0.43964039,2.78858024,0.01436541,0.08248668,0.00108918,0.40364946,0.23672354,0.10700485
-4.94947474,3.39162415,0.44658537,2.80300528,0.01464187,0.08226771,0.00113006,0.41057657,0.24294617,0.10852432
-4.94347174,3.40263700,0.45170797,2.80584616,0.01481849,0.08185122,0.00116553,0.41595734,0.24835140,0.10965154
-4.93746873,3.40015704,0.45499757,2.79723103,0.01489213,0.08124607,0.00119510,0.41978861,0.25290015,0.11039454
-4.93146573,3.38457622,0.45647766,2.77752804,0.01486193,0.08046297,0.00121835,0.42209499,0.25656603,0.11076866
-4.92546273,3.35655255,0.45620515,2.74733806,0.01472944,0.07951425,0.00123498,0.42292804,0.25933572,0.11079605
-4.91945973,3.31699265,0.45426868,2.70747895,0.01449853,0.07841363,0.00124481,0.42236475,0.26120901,0.11050496
-4.91345673,3.26702560,0.45078601,2.65896206,0.01417527,0.07717602,0.00124778,0.42050520,0.26219851,0.10992881
-4.90745373,3.20796930,0.44590049,2.60296168,0.01376780,0.07581725,0.00124395,0.41746971,0.26232910,0.10910513
-4.90145073,3.14129074,0.43977705,2.54077911,0.01328601,0.07435391,0.00123348,0.41339549,0.26163712,0.10807441
-4.89544772,3.06856202,0.43259754,2.47380265,0.01274127,0.07280321,0.00121665,0.40843302,0.26016939,0.10687886
-4.88944472,2.99141396,0.42455592,2.40346538,0.01214606,0.07118282,0.00119385,0.40274217,0.25798198,0.10556119
-4.88344172,2.91148945,0.41585338,2.33120268,0.01151357,0.06951085,0.00116555,0.39648843,0.25513894,0.10416348
-4.87743872,2.83039839,0.40669361,2.25841115,0.01085737,0.06780578,0.00113229,0.38983920,0.25171093,0.10272613
-4.87143572,2.74967624,0.39727843,2.18641076,0.01019098,0.06608650,0.00109471,0.38296045,0.24777376,0.10128695
-4.86543272,2.67074757,0.38780394,2.11641159,0.00952756,0.06437235,0.00105348,0.37601375,0.24340705,0.09988055
-4.85942971,2.59489615,0.37845740,2.04948658,0.00887956,0.06268316,0.00100933,0.36915378,0.23869274,0.09853781
-4.85342671,2.52324230,0.36941481,1.98655090,0.00825846,0.06103938,0.00096300,0.36252644,0.23371386,0.09728573
-4.84742371,2.45672805,0.36083929,1.92834865,0.00767457,0.05946217,0.00091529,0.35626752,0.22855319,0.09614740
-4.84142071,2.39611027,0.35288037,1.87544683,0.00713685,0.05797347,0.00086699,0.35050197,0.22329214,0.09514226
-4.83541771,2.34196146,0.34567397,1.82823649,0.00665286,0.05659608,0.00081891,0.34534365,0.21800968,0.09428656
-4.82941471,2.29467735,0.33934315,1.78694034,0.00622865,0.05535372,0.00077183,0.34089569,0.21278143,0.09359393
-4.82341171,2.25449065,0.33399947,1.75162602,0.00586886,0.05427106,0.00072657,0.33725111,0.20767885,0.09307610
