energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-1.26363182,6.27557790,0.00940631,0.13258795,0.31722455,4.00745498,0.05865100,0.54486345,0.75704469,1.47030618
-1.25762881,6.22401003,0.00968069,0.13058177,0.31785225,3.98028534,0.05725120,0.54861329,0.74359121,1.44977317
-1.25162581,6.19334255,0.01000666,0.12886919,0.31854955,3.96788834,0.05599786,0.55391818,0.73256246,1.43425038
-1.24562281,6.18448415,0.01038192,0.12746627,0.31935703,3.97083718,0.05491224,0.56070130,0.72406828,1.42408466
-1.23961981,6.19791873,0.01080346,0.12638427,0.32031374,3.98937378,0.05401047,0.56886090,0.71817404,1.41955255
-1.23361681,6.23369362,0.01126750,0.12562920,0.32145549,4.02340997,0.05330331,0.57827077,0.71489859,1.42084798
-1.22761381,6.29141400,0.01176945,0.12520160,0.32281299,4.07253411,0.05279597,0.58878112,0.71421283,1.42807043
-1.22161081,6.37024343,0.01230395,0.12509627,0.32441001,4.13602253,0.05248815,0.60021990,0.71603887,1.44121402
-1.21560780,6.46891066,0.01286486,0.12530217,0.32626143,4.21285530,0.05237416,0.61239441,0.72024978,1.46015819
-1.20960480,6.58572295,0.01344530,0.12580238,0.32837143,4.30173586,0.05244314,0.62509339,0.72667028,1.48466054
-1.20360180,6.71858647,0.01403773,0.12657412,0.33073189,4.40111440,0.05267944,0.63808944,0.73507820,1.51435261
-1.19759880,6.86503444,0.01463401,0.12758888,0.33332104,4.50921477,0.05306310,0.65114188,0.74520706,1.54873906
-1.19159580,7.02226356,0.01522554,0.12881276,0.33610258,4.62406496,0.05357040,0.66400013,0.75674981,1.58720109
-1.18559280,7.18717931,0.01580336,0.13020680,0.33902533,4.74353128,0.05417449,0.67640749,0.76936374,1.62900412
-1.17958979,7.35645045,0.01635837,0.13172756,0.34202342,4.86535617,0.05484619,0.68810542,0.78267671,1.67331034
-1.17358679,7.52657254,0.01688148,0.13332778,0.34501727,4.98719966,0.05555476,0.69883839,0.79629456,1.71919574
-1.16758379,7.69393991,0.01736384,0.13495726,0.34791515,5.10668427,0.05626872,0.70835901,0.80980969,1.76567150
-1.16158079,7.85492499,0.01779704,0.13656385,0.35061548,5.22144274,0.05695676,0.71643367,0.82281052,1.81170924
-1.15557779,8.00596326,0.01817338,0.13809453,0.35300970,5.32916811,0.05758864,0.72284828,0.83489170,1.85626904
-1.14957479,8.14364146,0.01848606,0.13949668,0.35498574,5.42766487,0.05813600,0.72741412,0.84566463,1.89832951
-1.14357179,8.26478626,0.01872938,0.14071942,0.35643179,5.51490009,0.05857321,0.72997350,0.85476802,1.93691839
-1.13756878,8.36655016,0.01889899,0.14171489,0.35724034,5.58905272,0.05887809,0.73040500,0.86187801,1.97114257
-1.13156578,8.44649135,0.01899200,0.14243969,0.35731223,5.64855961,0.05903251,0.72862811,0.86671747,2.00021604
-1.12556278,8.50264377,0.01900709,0.14285611,0.35656055,5.69215618,0.05902293,0.72460683,0.86906413,2.02348459
-1.11955978,8.53357448,0.01894459,0.14293338,0.35491423,5.71891012,0.05884071,0.71835219,0.86875708,2.04044590
-1.11355678,8.53842521,0.01880651,0.14264872,0.35232098,5.72824649,0.05848227,0.70992337,0.86570142,2.05076427
-1.10755378,8.51693615,0.01859642,0.14198817,0.34874967,5.71996271,0.05794908,0.69942719,0.85987090,2.05427923
-1.10155078,8.46945037,0.01831939,0.14094731,0.34419183,5.69423278,0.05724749,0.68701614,0.85130829,2.05100752
-1.09554777,8.39689850,0.01798181,0.13953157,0.33866224,5.65160005,0.05638832,0.67288464,0.84012362,2.04113871
-1.08954477,8.30076422,0.01759116,0.13775641,0.33219871,5.59295865,0.05538633,0.65726383,0.82649032,2.02502446
-1.08354177,8.18303199,0.01715575,0.13564719,0.32486082,5.51952447,0.05425963,0.64041502,0.81063947,2.00316223
-1.07753877,8.04611959,0.01668442,0.13323871,0.31672795,5.43279663,0.05302881,0.62262196,0.79285243,1.97617434
-1.07153577,7.89279855,0.01618626,0.13057458,0.30789649,5.33451139,0.05171621,0.60418236,0.77345226,1.94478350
-1.06553277,7.72610649,0.01567028,0.12770637,0.29847657,5.22659064,0.05034499,0.58539904,0.75279425,1.90978602
-1.05952976,7.54925552,0.01514511,0.12469248,0.28858831,5.11108730,0.04893837,0.56657100,0.73125600,1.87202411
-1.05352676,7.36554105,0.01461875,0.12159696,0.27835787,4.99013038,0.04751880,0.54798494,0.70922762,1.83235867
-1.04752376,7.17825518,0.01409836,0.11848817,0.26791353,4.86587218,0.04610728,0.52990759,0.68710212,1.79164352
