energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-3.17858929,5.85883833,0.02882233,0.71974442,0.34937150,3.46445195,0.07238988,0.99300436,1.10347187,0.89215650
-3.17258629,5.83929418,0.02918692,0.70851648,0.35286689,3.46380197,0.07154265,0.98853320,1.09783867,0.87879826
-3.16658329,5.82074163,0.02958696,0.69802844,0.35673700,3.46293512,0.07065485,0.98366056,1.09376965,0.86619752
-3.16058029,5.80552708,0.03002024,0.68874551,0.36099770,3.46325809,0.06974532,0.97856958,1.09181991,0.85484389
-3.15457729,5.79609358,0.03048359,0.68113735,0.36565996,3.46626047,0.06883435,0.97344941,1.09254494,0.84523143
-3.14857429,5.79491530,0.03097289,0.67566682,0.37072854,3.47347549,0.06794302,0.96848740,1.09648607,0.83784707
-3.14257129,5.80443094,0.03148314,0.67277849,0.37620070,3.48644001,0.06709257,0.96386177,1.10415562,0.83315872
-3.13656828,5.82697815,0.03200846,0.67288708,0.38206516,3.50665489,0.06630379,0.95973476,1.11602220,0.83160331
-3.13056528,5.86473099,0.03254218,0.67636623,0.38830130,3.53554715,0.06559647,0.95624670,1.13249658,0.83357522
-3.12456228,5.91964213,0.03307698,0.68353789,0.39487856,3.57443491,0.06498888,0.95351099,1.15391858,0.83941528
-3.11855928,5.99339174,0.03360503,0.69466278,0.40175614,3.62449603,0.06449734,0.95161034,1.18054556,0.84940087
-3.11255628,6.08734431,0.03411814,0.70993214,0.40888296,3.68674137,0.06413589,0.95059429,1.21254277,0.86373732
-3.10655328,6.20251465,0.03460794,0.72946117,0.41619801,3.76199287,0.06391604,0.95047808,1.24997618,0.88255099
-3.10055028,6.33954387,0.03506613,0.75328450,0.42363091,3.85086719,0.06384658,0.95124296,1.29280792,0.90588441
-3.09454727,6.49868568,0.03548467,0.78135377,0.43110297,3.95376454,0.06393357,0.95283781,1.34089474,0.93369356
-3.08854427,6.67980319,0.03585600,0.81353761,0.43852845,4.07086288,0.06418032,0.95518202,1.39398951,0.96584759
-3.08254127,6.88237573,0.03617325,0.84962405,0.44581625,4.20211700,0.06458750,0.95816950,1.45174597,1.00213094
-3.07653827,7.10551503,0.03643048,0.88932531,0.45287186,4.34726200,0.06515334,0.96167360,1.51372640,1.04224798
-3.07053527,7.34798978,0.03662281,0.93228492,0.45959955,4.50582071,0.06587387,0.96555268,1.57941221,1.08582997
-3.06453227,7.60825720,0.03674661,0.97808684,0.46590484,4.67711410,0.06674316,0.96965613,1.64821702,1.13244413
-3.05852926,7.88450019,0.03679964,1.02626645,0.47169695,4.86027433,0.06775365,0.97383050,1.71950166,1.18160461
-3.05252626,8.17466854,0.03678111,1.07632275,0.47689139,5.05425958,0.06889651,0.97792545,1.79259077,1.23278484
-3.04652326,8.47652239,0.03669174,1.12773161,0.48141241,5.25787007,0.07016190,0.98179935,1.86679010,1.28543093
-3.04052026,8.78767662,0.03653379,1.17995930,0.48519531,5.46976496,0.07153933,0.98532408,1.94140407,1.33897556
-3.03451726,9.10564464,0.03631101,1.23247591,0.48818838,5.68847963,0.07301793,0.98838903,2.01575263,1.39285186
-3.02851426,9.42788027,0.03602858,1.28476815,0.49035460,5.91244329,0.07458669,0.99090402,2.08918702,1.44650672
-3.02251126,9.75181697,0.03569297,1.33635092,0.49167270,6.13999679,0.07623472,0.99280104,2.16110360,1.49941308
-3.01650825,10.07490357,0.03531185,1.38677731,0.49213786,6.36941077,0.07795135,0.99403486,2.23095533,1.55108076
-3.01050525,10.39463624,0.03489385,1.43564664,0.49176172,6.59890440,0.07972630,0.99458239,2.29826048,1.60106539
-3.00450225,10.70858664,0.03444840,1.48261030,0.49057191,6.82666489,0.08154973,0.99444107,2.36260820,1.64897524
-2.99849925,11.01442638,0.03398545,1.52737514,0.48861101,7.05086828,0.08341224,0.99362627,2.42366104,1.69447573
-2.99249625,11.30994830,0.03351525,1.56970459,0.48593495,7.26970155,0.08530490,0.99216806,2.48115424,1.73729153
-2.98649325,11.59308515,0.03304812,1.60941730,0.48261109,7.48138650,0.08721913,0.99010735,2.53489214,1.77720644
-2.98049025,11.86192618,0.03259410,1.64638377,0.47871591,7.68420535,0.08914662,0.98749199,2.58474197,1.81406097
-2.97448724,12.11473253,0.03216278,1.68052113,0.47433251,7.87652805,0.09107924,0.98437270,2.63062557,1.84774813
-2.96848424,12.34995171,0.03176299,1.71178643,0.46954800,8.05684100,0.09300888,0.98079939,2.67250953,1.87820756
-2.96248124,12.56623189,0.03140258,1.74016895,0.46445096,8.22377674,0.09492728,0.97681785,2.71039435,1.90541859
-2.95647824,12.76243591,0.03108819,1.76568190,0.45912906,8.37614385,0.09682592,0.97246716,2.74430341,1.92939245
-2.95047524,12.93765530,0.03082510,1.78835414,0.45366686,8.51295618,0.09869580,0.96777781,2.77427216,1.95016432
-2.94447224,13.09122379,0.03061704,1.80822218,0.44814407,8.63346033,0.10052739,0.96277064,2.80033835,1.96778546
-2.93846923,13.22272999,0.03046608,1.82532303,0.44263412,8.73716017,0.10231039,0.95745670,2.82253370,1.98231597
-2.93246623,13.33202851,0.03037259,1.83968818,0.43720327,8.82383715,0.10403374,0.95183787,2.84087740,1.99381854
-2.92646323,13.41924850,0.03033520,1.85133906,0.43191010,8.89356516,0.10568548,0.94590828,2.85537191,2.00235331
-2.92046023,13.48479894,0.03035087,1.86028405,0.42680556,8.94671871,0.10725273,0.93965636,2.86600102,2.00797441
-2.91445723,13.52936951,0.03041491,1.86651734,0.42193329,8.98397353,0.10872172,0.93306741,2.87273044,2.01072791
-2.90845423,13.55392624,0.03052121,1.87001940,0.41733051,9.00629875,0.11007785,0.92612655,2.87551062,2.01065157
-2.90245123,13.55970120,0.03066238,1.87075923,0.41302902,9.01494023,0.11130584,0.91882182,2.87428186,2.00777615
-2.89644822,13.54817567,0.03083001,1.86869805,0.40905655,9.01139491,0.11238988,0.91114750,2.86898112,2.00212820
-2.89044522,13.52105668,0.03101496,1.86379425,0.40543816,8.99737650,0.11331396,0.90310713,2.85955037,1.99373423
-2.88444222,13.48024675,0.03120768,1.85600938,0.40219775,8.97477312,0.11406215,0.89471652,2.84594587,1.98262582
-2.87843922,13.42780745,0.03139855,1.84531473,0.39935950,8.94559797,0.11461903,0.88600634,2.82814795,1.96884547
-2.87243622,13.36591741,0.03157825,1.83169822,0.39694914,8.91193454,0.11497013,0.87702424,2.80617075,1.95245293
-2.86643322,13.29682574,0.03173809,1.81517120,0.39499510,8.87587792,0.11510246,0.86783656,2.78007129,1.93353131
-2.86043022,13.22280227,0.03187039,1.79577482,0.39352930,8.83947433,0.11500504,0.85852937,2.74995753,1.91219300
-2.85442721,13.14608594,0.03196878,1.77358556,0.39258771,8.80466094,0.11466943,0.84920889,2.71599483,1.88858468
-2.84842421,13.06883309,0.03202846,1.74871972,0.39221050,8.77320817,0.11409031,0.84000122,2.67841041,1.86289125
-2.84242121,12.99306718,0.03204642,1.72133648,0.39244179,8.74666667,0.11326598,0.83105128,2.63749559,1.83533833
-2.83641821,12.92063165,0.03202159,1.69163943,0.39332904,8.72632083,0.11219878,0.82252106,2.59360544,1.80619304
-2.83041521,12.85314731,0.03195492,1.65987630,0.39492203,8.71315087,0.11089547,0.81458701,2.54715586,1.77576292
-2.82441221,12.79197583,0.03184937,1.62633699,0.39727147,8.70780462,0.10936747,0.80743667,2.49861795,1.74439286
-2.81840920,12.73819013,0.03170983,1.59134976,0.40042730,8.71058037,0.10763100,0.80126463,2.44850996,1.71245998
-2.81240620,12.69255275,0.03154292,1.55527565,0.40443664,8.72142107,0.10570699,0.79626762,2.39738681,1.68036661
-2.80640320,12.65550257,0.03135678,1.51850148,0.40934155,8.73992032,0.10362094,0.79263915,2.34582771,1.64853149
-2.80040020,12.62715018,0.03116074,1.48143135,0.41517668,8.76533952,0.10140255,0.79056354,2.29442222,1.61737946
-2.79439720,12.60728168,0.03096496,1.44447723,0.42196677,8.79663558,0.09908516,0.79020964,2.24375528,1.58732993
-2.78839420,12.59537065,0.03077999,1.40804870,0.42972426,8.83249783,0.09670515,0.79172436,2.19439174,1.55878469
-2.78239120,12.59059758,0.03061642,1.37254245,0.43844700,8.87139263,0.09430110,0.79522630,2.14686101,1.53211533
