energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-5.16558279,3.67136232,0.39506246,2.67723444,0.01877492,0.04510018,0.00440981,0.67244209,0.38338824,0.41327280
-5.15957979,3.64781749,0.39136106,2.65001474,0.01873080,0.04436277,0.00459411,0.67013816,0.38057752,0.41581841
-5.15357679,3.61566265,0.38625699,2.61743360,0.01857503,0.04384795,0.00476079,0.66540556,0.37626641,0.41677559
-5.14757379,3.57564322,0.37991034,2.58003666,0.01831098,0.04357485,0.00490869,0.65840827,0.37059421,0.41617245
-5.14157079,3.52864931,0.37251188,2.53844329,0.01794403,0.04356186,0.00503736,0.64935469,0.36373215,0.41406761
-5.13556778,3.47570031,0.36428006,2.49333562,0.01748140,0.04382700,0.00514704,0.63849351,0.35587968,0.41054965
-5.12956478,3.41792575,0.35545752,2.44544547,0.01693199,0.04438830,0.00523873,0.62610868,0.34726021,0.40573582
-5.12356178,3.35654300,0.34630731,2.39553962,0.01630612,0.04526422,0.00531415,0.61251377,0.33811623,0.39976982
-5.11755878,3.29283249,0.33710886,2.34440399,0.01561524,0.04647397,0.00537577,0.59804569,0.32870426,0.39281893
-5.11155578,3.22811138,0.32815390,2.29282722,0.01487165,0.04803778,0.00542670,0.58305814,0.31928948,0.38507028
-5.10555278,3.16370639,0.31974220,2.24158430,0.01408816,0.04997708,0.00547067,0.56791488,0.31014047,0.37672657
-5.09954977,3.10092670,0.31217731,2.19142086,0.01327781,0.05231459,0.00551187,0.55298291,0.30152385,0.36800132
-5.09354677,3.04103754,0.30576226,2.14303846,0.01245351,0.05507422,0.00555491,0.53862574,0.29369935,0.35911370
-5.08754377,2.98523526,0.30079513,2.09708139,0.01162779,0.05828085,0.00560463,0.52519684,0.28691487,0.35028317
-5.08154077,2.93462430,0.29756454,2.05412525,0.01081251,0.06195989,0.00566600,0.51303347,0.28140212,0.34172418
-5.07553777,2.89019659,0.29634499,2.01466759,0.01001866,0.06613666,0.00574397,0.50245067,0.27737240,0.33364090
-5.06953477,2.85281346,0.29739192,1.97912050,0.00925615,0.07083555,0.00584331,0.49373579,0.27501284,0.32622234
-5.06353177,2.82319048,0.30093656,1.94780536,0.00853369,0.07607894,0.00596854,0.48714332,0.27448298,0.31963794
-5.05752876,2.80188501,0.30718050,1.92094961,0.00785869,0.08188597,0.00612371,0.48289023,0.27591165,0.31403370
-5.05152576,2.78928664,0.31629003,1.89868526,0.00723719,0.08827103,0.00631239,0.48115172,0.27939426,0.30952904
-5.04552276,2.78561029,0.32839035,1.88104915,0.00667388,0.09524220,0.00653749,0.48205741,0.28499040,0.30621443
-5.03951976,2.79089201,0.34355968,1.86798470,0.00617213,0.10279950,0.00680121,0.48568816,0.29272173,0.30414983
-5.03351676,2.80498720,0.36182361,1.85934484,0.00573405,0.11093318,0.00710502,0.49207326,0.30257039,0.30336392
-5.02751376,2.82757149,0.38314976,1.85489615,0.00536058,0.11962194,0.00744953,0.50118846,0.31447779,0.30385421
-5.02151076,2.85814390,0.40744315,1.85432396,0.00505162,0.12883142,0.00783454,0.51295452,0.32834386,0.30558779
-5.01550775,2.89603263,0.43454254,1.85723829,0.00480613,0.13851281,0.00825899,0.52723676,0.34402705,0.30850293
-5.00950475,2.94040342,0.46421804,1.86318075,0.00462231,0.14860184,0.00872099,0.54384537,0.36134493,0.31251114
-5.00350175,2.99027065,0.49617036,1.87163215,0.00449772,0.15901822,0.00921781,0.56253694,0.38007564,0.31749987
-4.99749875,3.04451130,0.53003192,1.88202107,0.00442939,0.16966554,0.00974597,0.58301701,0.39996027,0.32333561
-4.99149575,3.10188200,0.56537019,1.89373324,0.00441397,0.18043185,0.01030128,0.60494401,0.42070621,0.32986732
-4.98549275,3.16103914,0.60169319,1.90612189,0.00444786,0.19119085,0.01087886,0.62793448,0.44199156,0.33693013
-4.97948974,3.22056207,0.63845749,1.91851901,0.00452726,0.20180373,0.01147329,0.65156958,0.46347060,0.34434922
-4.97348674,3.27897940,0.67507842,1.93024748,0.00464830,0.21212177,0.01207867,0.67540304,0.48478022,0.35194376
-4.96748374,3.33479799,0.71094251,1.94063402,0.00480709,0.22198945,0.01268873,0.69897028,0.50554737,0.35953088
-4.96148074,3.38653430,0.74542178,1.94902287,0.00499974,0.23124824,0.01329692,0.72179857,0.52539725,0.36692965
-4.95547774,3.43274749,0.77788945,1.95478982,0.00522247,0.23974074,0.01389655,0.74341807,0.54396208,0.37396481
-4.94947474,3.47207355,0.80773673,1.95735653,0.00547152,0.24731516,0.01448092,0.76337347,0.56089025,0.38047046
-4.94347174,3.50325948,0.83438985,1.95620468,0.00574327,0.25382991,0.01504341,0.78123571,0.57585553,0.38629342
-4.93746873,3.52519657,0.85732693,1.95088954,0.00603415,0.25915819,0.01557762,0.79661365,0.58856603,0.39129634
-4.93146573,3.53695167,0.87609383,1.94105268,0.00634068,0.26319225,0.01607749,0.80916503,0.59877254,0.39536037
-4.92546273,3.53779525,0.89031850,1.92643325,0.00665944,0.26584732,0.01653738,0.81860653,0.60627604,0.39838748
-4.91945973,3.52722532,0.89972301,1.90687754,0.00698703,0.26706489,0.01695221,0.82472226,0.61093399,0.40030223
-4.91345673,3.50498605,0.90413295,1.88234627,0.00732010,0.26681522,0.01731751,0.82737066,0.61266514,0.40105308
-4.90745373,3.47108043,0.90348357,1.85291952,0.00765531,0.26509899,0.01762948,0.82648913,0.61145267,0.40061301
-4.90145073,3.42577618,0.89782254,1.81879884,0.00798931,0.26194799,0.01788506,0.82209643,0.60734549,0.39897966
-4.89544772,3.36960460,0.88730904,1.78030646,0.00831877,0.25742480,0.01808195,0.81429271,0.60045765,0.39617477
-4.88944472,3.30335218,0.87220926,1.73788158,0.00864039,0.25162144,0.01821864,0.80325683,0.59096583,0.39224309
-4.88344172,3.22804521,0.85288852,1.69207365,0.00895088,0.24465712,0.01829438,0.78924152,0.57910497,0.38725070
-4.87743872,3.14492760,0.82980020,1.64353289,0.00924705,0.23667504,0.01830920,0.77256605,0.56516217,0.38128275
-4.87143572,3.05543274,0.80347199,1.59299815,0.00952582,0.22783851,0.01826383,0.75360696,0.54946912,0.37444085
-4.86543272,2.96115004,0.77449002,1.54128250,0.00978429,0.21832640,0.01815974,0.73278715,0.53239328,0.36684000
