energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-3.36468234,3.99261386,0.01872414,0.95045791,0.11682200,1.23112558,1.59001022,0.77539344
-3.35867934,4.10570399,0.02019127,0.97177336,0.11968220,1.27664352,1.64979449,0.80136645
-3.35267634,4.23630825,0.02182415,0.99727893,0.12295423,1.32761398,1.71567943,0.83157908
-3.34667334,4.38465175,0.02362289,1.02715459,0.12666988,1.38392752,1.78734352,0.86614582
-3.34067034,4.55054795,0.02558455,1.06148292,0.13084906,1.44534539,1.86430079,0.90509297
-3.33466733,4.73336824,0.02770263,1.10023810,0.13549760,1.51149512,1.94590510,0.94834971
-3.32866433,4.93202583,0.02996660,1.14327803,0.14060541,1.58187103,2.03136114,0.99574197
-3.32266133,5.14497576,0.03236167,1.19034011,0.14614524,1.65584004,2.11974174,1.04698940
-3.31665833,5.37023173,0.03486854,1.24104106,0.15207200,1.73265271,2.21001133,1.10170593
-3.31065533,5.60539987,0.03746350,1.29488102,0.15832281,1.81145919,2.30105432,1.15940393
-3.30465233,5.84772840,0.04011858,1.35125193,0.16481772,1.89132950,2.39170745,1.21950207
-3.29864932,6.09417143,0.04280196,1.40945000,0.17146122,1.97127729,2.48079435,1.28133652
-3.29264632,6.34146429,0.04547848,1.46869177,0.17814435,2.05028591,2.56716072,1.34417531
-3.28664332,6.58620709,0.04811046,1.52813321,0.18474745,2.12733560,2.64970830,1.40723505
-3.28064032,6.82495286,0.05065847,1.58689113,0.19114342,2.20143053,2.72742588,1.46969957
-3.27463732,7.05429628,0.05308238,1.64406591,0.19720139,2.27162427,2.79941561,1.53073954
-3.26863432,7.27095916,0.05534241,1.69876471,0.20279059,2.33704258,2.86491345,1.58953235
-3.26263132,7.47186901,0.05740020,1.75012415,0.20778427,2.39690244,2.92330260,1.64528141
-3.25662831,7.65422742,0.05921993,1.79733157,0.21206368,2.45052661,2.97411952,1.69723409
-3.25062531,7.81556596,0.06076930,1.83964412,0.21552162,2.49735310,3.01705227,1.74469768
-3.24462231,7.95378781,0.06202054,1.87640491,0.21806580,2.53693961,3.05193183,1.78705282
-3.23861931,8.06719421,0.06295116,1.90705580,0.21962155,2.56896283,3.07871702,1.82376394
-3.23261631,8.15449604,0.06354461,1.93114655,0.22013401,2.59321332,3.09747447,1.85438672
-3.22661331,8.21481131,0.06379075,1.94834015,0.21956965,2.60958655,3.10835511,1.87857227
