energy_ev,total_up,Ag_p_up,Ag_d_up,B_p_up,B_d_up,Te_p_up,Te_d_up
-4.69134567,4.63796911,1.98165060,2.51733120,0.16368562,0.00000000,1.31819024,0.00000000
-4.68534267,4.58840409,1.97453452,2.47807235,0.16251866,0.00000000,1.30755020,0.00000000
-4.67933967,4.52965017,1.96488915,2.43439417,0.16105261,0.00000000,1.29424317,0.00000000
-4.67333667,4.46258081,1.95316545,2.38675934,0.15933824,0.00000000,1.27862049,0.00000000
-4.66733367,4.38823395,1.93983709,2.33572509,0.15743256,0.00000000,1.26105913,0.00000000
-4.66133067,4.30777326,1.92537841,2.28192339,0.15539675,0.00000000,1.24194764,0.00000000
-4.65532766,4.22244367,1.91024191,2.22603753,0.15329381,0.00000000,1.22167156,0.00000000
-4.64932466,4.13352356,1.89483649,2.16877666,0.15118623,0.00000000,1.20059894,0.00000000
-4.64332166,4.04227645,1.87950808,2.11084952,0.14913363,0.00000000,1.17906693,0.00000000
-4.63731866,3.94990491,1.86452354,2.05293907,0.14719053,0.00000000,1.15736989,0.00000000
-4.63131566,3.85750934,1.85005925,1.99567942,0.14540450,0.00000000,1.13574999,0.00000000
-4.62531266,3.76605384,1.83619486,1.93963629,0.14381456,0.00000000,1.11439053,0.00000000
-4.61930965,3.67634125,1.82291287,1.88529210,0.14245006,0.00000000,1.09341269,0.00000000
-4.61330665,3.58899826,1.81010408,1.83303633,0.14133000,0.00000000,1.07287554,0.00000000
-4.60730365,3.50447147,1.79757860,1.78316156,0.14046290,0.00000000,1.05277968,0.00000000
-4.60130065,3.42303422,1.78508199,1.73586517,0.13984706,0.00000000,1.03307395,0.00000000
-4.59529765,3.34480325,1.77231541,1.69125630,0.13947142,0.00000000,1.01366511,0.00000000
-4.58929465,3.26976412,1.75895891,1.64936743,0.13931667,0.00000000,0.99442971,0.00000000
-4.58329165,3.19780326,1.74469634,1.61016955,0.13935682,0.00000000,0.97522760,0.00000000
-4.57728864,3.12874449,1.72924066,1.57358984,0.13956097,0.00000000,0.95591621,0.00000000
-4.57128564,3.06238771,1.71235817,1.53953052,0.13989533,0.00000000,0.93636485,0.00000000
-4.56528264,2.99854707,1.69389054,1.50788775,0.14032526,0.00000000,0.91646827,0.00000000
-4.55927964,2.93708655,1.67377327,1.47856909,0.14081735,0.00000000,0.89615868,0.00000000
-4.55327664,2.87795073,1.65204992,1.45150884,0.14134144,0.00000000,0.87541570,0.00000000
-4.54727364,2.82118920,1.62888136,1.42668004,0.14187249,0.00000000,0.85427369,0.00000000
-4.54127064,2.76697336,1.60454963,1.40410278,0.14239226,0.00000000,0.83282628,0.00000000
-4.53526763,2.71560517,1.57945636,1.38384849,0.14289067,0.00000000,0.81122791,0.00000000
-4.52926463,2.66751754,1.55411590,1.36604004,0.14336693,0.00000000,0.78969242,0.00000000
-4.52326163,2.62326696,1.52914353,1.35084811,0.14383023,0.00000000,0.76848894,0.00000000
-4.51725863,2.58351907,1.50523933,1.33848417,0.14430016,0.00000000,0.74793547,0.00000000
-4.51125563,2.54902855,1.48316830,1.32919077,0.14480660,0.00000000,0.72839048,0.00000000
-4.50525263,2.52061459,1.46373770,1.32323005,0.14538928,0.00000000,0.71024321,0.00000000
-4.49924962,2.49913364,1.44777222,1.32087109,0.14609689,0.00000000,0.69390308,0.00000000
-4.49324662,2.48545091,1.43608797,1.32237725,0.14698573,0.00000000,0.67978885,0.00000000
-4.48724362,2.48041223,1.42946596,1.32799401,0.14811799,0.00000000,0.66831795,0.00000000
-4.48124062,2.48481735,1.42862602,1.33793817,0.14955958,0.00000000,0.65989648,0.00000000
-4.47523762,2.49939607,1.43420169,1.35238885,0.15137770,0.00000000,0.65491016,0.00000000
-4.46923462,2.52478759,1.44671690,1.37148067,0.15363806,0.00000000,0.65371646,0.00000000
-4.46323162,2.56152388,1.46656504,1.39529921,0.15640192,0.00000000,0.65663816,0.00000000
-4.45722861,2.61001716,1.49399107,1.42387879,0.15972301,0.00000000,0.66395825,0.00000000
-4.45122561,2.67055134,1.52907715,1.45720248,0.16364450,0.00000000,0.67591612,0.00000000
-4.44522261,2.74327736,1.57173241,1.49520378,0.16819604,0.00000000,0.69270510,0.00000000
-4.43921961,2.82821183,1.62168726,1.53776984,0.17339118,0.00000000,0.71447093,0.00000000
-4.43321661,2.92523850,1.67849270,1.58474571,0.17922507,0.00000000,0.74131111,0.00000000
-4.42721361,3.03411199,1.74152486,1.63593893,0.18567286,0.00000000,0.77327493,0.00000000
-4.42121061,3.15446321,1.80999489,1.69112443,0.19268863,0.00000000,0.81036383,0.00000000
-4.41520760,3.28580580,1.88296424,1.75004888,0.20020522,0.00000000,0.85253200,0.00000000
-4.40920460,3.42754324,1.95936507,1.81243460,0.20813473,0.00000000,0.89968701,0.00000000
-4.40320160,3.57897613,2.03802527,1.87798248,0.21637008,0.00000000,0.95169033,0.00000000
-4.39719860,3.73930931,2.11769753,1.94637399,0.22478723,0.00000000,1.00835772,0.00000000
-4.39119560,3.90765870,2.19709130,2.01727218,0.23324833,0.00000000,1.06945931,0.00000000
-4.38519260,4.08305753,2.27490681,2.09032170,0.24160548,0.00000000,1.13471954,0.00000000
-4.37918959,4.26446214,2.34986959,2.16514811,0.24970510,0.00000000,1.20381684,0.00000000
-4.37318659,4.45075719,2.42076430,2.24135654,0.25739262,0.00000000,1.27638335,0.00000000
-4.36718359,4.64076043,2.48646632,2.31852999,0.26451742,0.00000000,1.35200459,0.00000000
-4.36118059,4.83322727,2.54596983,2.39622759,0.27093772,0.00000000,1.43021938,0.00000000
-4.35517759,5.02685522,2.59841124,2.47398309,0.27652518,0.00000000,1.51052021,0.00000000
-4.34917459,5.22028855,2.64308677,2.55130366,0.28116912,0.00000000,1.59235416,0.00000000
-4.34317159,5.41212349,2.67946382,2.62766954,0.28478006,0.00000000,1.67512471,0.00000000
-4.33716858,5.60091422,2.70718553,2.70253449,0.28729249,0.00000000,1.75819455,0.00000000
-4.33116558,5.78518012,2.72606873,2.77532729,0.28866674,0.00000000,1.84088967,0.00000000
-4.32516258,5.96341456,2.73609567,2.84545445,0.28888985,0.00000000,1.92250487,0.00000000
-4.31915958,6.13409561,2.73740024,2.91230420,0.28797548,0.00000000,2.00231075,0.00000000
