energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Se_s_up,Se_p_up
-5.05752876,10.77437707,1.24790103,8.45124322,0.03845838,0.15160026,0.99337388,0.68160407,0.09140984,1.30063044
-5.05152576,10.63871930,1.21883350,8.35544936,0.03792756,0.14873686,0.98450189,0.67521137,0.08949610,1.27779929
-5.04552276,10.48664513,1.18876179,8.24637819,0.03733584,0.14574510,0.97402703,0.66769030,0.08743962,1.25329217
-5.03951976,10.32018154,1.15808451,8.12556004,0.03668699,0.14268900,0.96206183,0.65915735,0.08526732,1.22734547
-5.03351676,10.14153325,1.12720609,7.99467542,0.03598575,0.13963370,0.94873844,0.64973698,0.08300683,1.20021316
-5.02751376,9.95302943,1.09652835,7.85551102,0.03523787,0.13664349,0.93420705,0.63955914,0.08068611,1.17216290
-5.02151076,9.75707016,1.06644230,7.70991549,0.03445013,0.13378005,0.91863410,0.62875671,0.07833292,1.14347183
-5.01550775,9.55607395,1.03732032,7.55975619,0.03363027,0.13110068,0.90219985,0.61746315,0.07597448,1.11442227
-5.00950475,9.35242763,1.00950885,7.40687800,0.03278695,0.12865683,0.88509567,0.60581024,0.07363704,1.08529736
-5.00350175,9.14843962,0.98332174,7.25306525,0.03192968,0.12649276,0.86752080,0.59392599,0.07134555,1.05637659
-4.99749875,8.94629789,0.95903436,7.10000775,0.03106868,0.12464453,0.84967868,0.58193279,0.06912338,1.02793138
-4.99149575,8.74803353,0.93687878,6.94927185,0.03021477,0.12313921,0.83177304,0.56994591,0.06699206,1.00022082
-4.98549275,8.55549111,0.91703995,6.80227739,0.02937919,0.12199448,0.81400384,0.55807208,0.06497104,0.97348761
-4.97948974,8.37030645,0.89965307,6.66028107,0.02857344,0.12121846,0.79656307,0.54640862,0.06307756,0.94795440
-4.97348674,8.19389243,0.88480233,6.52436681,0.02780913,0.12080995,0.77963082,0.53504270,0.06132654,0.92382063
-4.96748374,8.02743323,0.87252093,6.39544309,0.02709777,0.12075888,0.76337160,0.52405103,0.05973045,0.90125995
-4.96148074,7.87188684,0.86279246,6.27424733,0.02645062,0.12104710,0.74793119,0.51349988,0.05829932,0.88041837
-4.95547774,7.72799542,0.85555362,6.16135664,0.02587854,0.12164938,0.73343408,0.50344535,0.05704073,0.86141315
-4.94947474,7.59630278,0.85069808,6.05720424,0.02539180,0.12253464,0.71998168,0.49393397,0.05595985,0.84433254
-4.94347174,7.47717761,0.84808153,5.96210044,0.02500000,0.12366730,0.70765136,0.48500349,0.05505951,0.82923621
-4.93746873,7.37084107,0.84752747,5.87625671,0.02471193,0.12500871,0.69649630,0.47668389,0.05434032,0.81615654
-4.93146573,7.27739678,0.84883368,5.79981125,0.02453546,0.12651868,0.68654616,0.46899842,0.05380078,0.80510039
-4.92546273,7.19686131,0.85177907,5.73285435,0.02447746,0.12815683,0.67780851,0.46196475,0.05343739,0.79605151
-4.91945973,7.12919310,0.85613052,5.67545180,0.02454373,0.12988401,0.67027091,0.45559602,0.05324483,0.78897315
-4.91345673,7.07431793,0.86164953,5.62766477,0.02473890,0.13166341,0.66390342,0.44990179,0.05321612,0.78381097
-4.90745373,7.03214916,0.86809840,5.58956468,0.02506640,0.13346161,0.65866151,0.44488880,0.05334270,0.78049581
-4.90145073,7.00260157,0.87524560,5.56124209,0.02552834,0.13524928,0.65448910,0.44056147,0.05361462,0.77894637
-4.89544772,6.98559775,0.88287033,5.54280889,0.02612550,0.13700165,0.65132159,0.43692213,0.05402065,0.77907160
-4.88944472,6.98106689,0.89076595,5.53439378,0.02685721,0.13869877,0.64908881,0.43397100,0.05454836,0.78077261
-4.88344172,6.98893623,0.89874240,5.53613110,0.02772133,0.14032542,0.64771761,0.43170580,0.05518424,0.78394422
-4.87743872,7.00911582,0.90662749,5.54814415,0.02871419,0.14187082,0.64713421,0.43012118,0.05591378,0.78847597
-4.87143572,7.04147817,0.91426729,5.57052398,0.02983054,0.14332815,0.64726607,0.42920791,0.05672151,0.79425276
-4.86543272,7.08583444,0.92152564,5.60330535,0.03106353,0.14469383,0.64804343,0.42895194,0.05759116,0.80115512
-4.85942971,7.14190909,0.92828303,5.64644174,0.03240477,0.14596679,0.64940036,0.42933343,0.05850566,0.80905924
-4.85342671,7.20931538,0.93443501,5.69978116,0.03384431,0.14714761,0.65127563,0.43032578,0.05944730,0.81783692
-4.84742371,7.28753371,0.93989047,5.76304480,0.03537081,0.14823768,0.65361310,0.43189485,0.06039783,0.82735552
-4.84142071,7.37589472,0.94456985,5.83581012,0.03697159,0.14923840,0.65636208,0.43399836,0.06133866,0.83747806
-4.83541771,7.47356885,0.94840356,5.91749979,0.03863289,0.15015056,0.65947747,0.43658558,0.06225100,0.84806363
-4.82941471,7.57956346,0.95133071,6.00737750,0.04034003,0.15097371,0.66291978,0.43959739,0.06311614,0.85896811
-4.82341171,7.69272808,0.95329823,6.10455126,0.04207771,0.15170586,0.66665525,0.44296675,0.06391570,0.87004525
-4.81740870,7.81176804,0.95426052,6.20798411,0.04383026,0.15234324,0.67065578,0.44661949,0.06463193,0.88114823
-4.81140570,7.93526573,0.95417939,6.31651198,0.04558196,0.15288027,0.67489900,0.45047556,0.06524805,0.89213142
-4.80540270,8.06170886,0.95302446,6.42886772,0.04731734,0.15330978,0.67936824,0.45445061,0.06574859,0.90285258
-4.79939970,8.18952395,0.95077380,6.54371037,0.04902145,0.15362320,0.68405244,0.45845781,0.06611973,0.91317505
-4.79339670,8.31711379,0.94741463,6.65965793,0.05068011,0.15381109,0.68894593,0.46240997,0.06634962,0.92297017
-4.78739370,8.44289674,0.94294407,6.77532229,0.05228014,0.15386356,0.69404811,0.46622173,0.06642870,0.93211944
-4.78139070,8.56534622,0.93736972,6.88934468,0.05380955,0.15377086,0.69936288,0.46981185,0.06634999,0.94051657
-4.77538769,8.68302857,0.93070998,7.00043007,0.05525755,0.15352395,0.70489785,0.47310535,0.06610925,0.94806925
-4.76938469,8.79463785,0.92299404,7.10737922,0.05661470,0.15311503,0.71066329,0.47603563,0.06570517,0.95470038
-4.76338169,8.89902620,0.91426150,7.20911733,0.05787279,0.15253804,0.71667088,0.47854634,0.06513946,0.96034905
-4.75737869,8.99522909,0.90456158,7.30471829,0.05902481,0.15178907,0.72293226,0.48059286,0.06441680,0.96497087
-4.75137569,9.08248468,0.89395201,7.39342425,0.06006483,0.15086672,0.72945738,0.48214363,0.06354485,0.96853797
-4.74537269,9.16024735,0.88249769,7.47466002,0.06098781,0.14977232,0.73625284,0.48318093,0.06253403,0.97103857
-4.73936968,9.22819512,0.87026914,7.54804236,0.06178943,0.14851009,0.74332029,0.48370134,0.06139737,0.97247623
-4.73336668,9.28623173,0.85734093,7.61338430,0.06246594,0.14708712,0.75065486,0.48371583,0.06015024,0.97286886
