energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-4.72736368,0.43526230,0.06390084,0.12477535,0.00057580,0.00778837,0.07413275,0.18776468,0.18538104,0.00000000
-4.72136068,0.44554349,0.05987334,0.13114266,0.00062603,0.00728341,0.07124647,0.19642110,0.18070369,0.00000000
-4.71535768,0.45787557,0.05655736,0.13801171,0.00067576,0.00690691,0.06898322,0.20558459,0.17737859,0.00000000
-4.70935468,0.47212079,0.05399904,0.14532184,0.00072421,0.00666273,0.06735129,0.21514454,0.17543152,0.00000000
-4.70335168,0.48812738,0.05224508,0.15301160,0.00077056,0.00655515,0.06635269,0.22498457,0.17487502,0.00000000
-4.69734867,0.50574613,0.05134614,0.16102357,0.00081401,0.00658929,0.06598568,0.23498972,0.17571442,0.00000000
-4.69134567,0.52484730,0.05136041,0.16930917,0.00085374,0.00677160,0.06624721,0.24505402,0.17795395,0.00000000
-4.68534267,0.54533730,0.05235706,0.17783328,0.00088900,0.00711025,0.06713533,0.25508823,0.18160257,0.00000000
-4.67933967,0.56717401,0.05441948,0.18657835,0.00091910,0.00761540,0.06865124,0.26502705,0.18667927,0.00000000
-4.67333667,0.59037999,0.05764810,0.19554780,0.00094342,0.00829943,0.07080098,0.27483580,0.19321728,0.00000000
-4.66733367,0.61505261,0.06216260,0.20476831,0.00096148,0.00917702,0.07359663,0.28451580,0.20126711,0.00000000
-4.66133067,0.64137032,0.06810339,0.21429103,0.00097291,0.01026514,0.07705694,0.29410840,0.21089805,0.00000000
-4.65532766,0.66959461,0.07563212,0.22419120,0.00097747,0.01158279,0.08120730,0.30369711,0.22219798,0.00000000
