energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-0.09904952,2.48938270,-2.12913977,0.00125179,-0.00376359,0.02449739,-0.06013980,0.38816885,-0.44420658,1.92258334,-1.05558362,0.24035999,-0.28613025,0.29292611,-0.57999853,0.18107272,-0.35114392,0.00000000,-0.00000000
-0.09304652,2.36792404,-2.08615182,0.00118683,-0.00395617,0.02270848,-0.05742413,0.36603650,-0.44097712,1.82005861,-1.02704491,0.23398201,-0.28174624,0.28351779,-0.57106216,0.17228532,-0.34630524,0.00000000,-0.00000000
-0.08704352,2.24971107,-2.05522508,0.00113278,-0.00417430,0.02111148,-0.05512281,0.34540959,-0.44021190,1.71894222,-1.00506222,0.22771394,-0.27865491,0.27499552,-0.56538417,0.16421738,-0.34312043,0.00000000,-0.00000000
-0.08104052,2.13603994,-2.03642673,0.00109023,-0.00441716,0.01971258,-0.05324333,0.32652146,-0.44194209,1.62061856,-0.98988095,0.22158394,-0.27675508,0.26727967,-0.56283733,0.15690397,-0.34160328,0.00000000,-0.00000000
-0.07503752,2.02816473,-2.02964792,0.00105988,-0.00468378,0.01851698,-0.05178548,0.30960536,-0.44616212,1.52643831,-0.98164362,0.21561938,-0.27592499,0.26028618,-0.56325223,0.15037464,-0.34174329,0.00000000,-0.00000000
-0.06903452,1.92727292,-2.03461424,0.00104255,-0.00497313,0.01752915,-0.05074218,0.29489140,-0.45283094,1.43768896,-0.98039289,0.20984682,-0.27602657,0.25392929,-0.56642193,0.14465407,-0.34350615,0.00000000,-0.00000000
-0.06303152,1.83446455,-2.05089712,0.00103919,-0.00528420,0.01675311,-0.05010025,0.28260368,-0.46187366,1.35556874,-0.98607538,0.20429207,-0.27690977,0.24812460,-0.57210679,0.13976290,-0.34683443,0.00000000,-0.00000000
-0.05702851,1.75073543,-2.07792581,0.00105082,-0.00561604,0.01619262,-0.04984120,0.27295746,-0.47318336,1.28116444,-0.99854584,0.19898033,-0.27841683,0.24279213,-0.58003942,0.13571865,-0.35164840,0.00000000,-0.00000000
-0.05102551,1.67696397,-2.11499937,0.00107857,-0.00596783,0.01585138,-0.04994201,0.26615656,-0.48662306,1.21543344,-1.01757145,0.19393640,-0.28038637,0.23785928,-0.58992963,0.13253652,-0.35784690,0.00000000,-0.00000000
-0.04502251,1.61390159,-2.16129845,0.00112363,-0.00633888,0.01573312,-0.05037585,0.26239055,-0.50202776,1.15918983,-1.04283606,0.18918486,-0.28265716,0.23326357,-0.60146925,0.13023010,-0.36530843,0.00000000,-0.00000000
-0.03901951,1.56216582,-2.21589658,0.00118722,-0.00672864,0.01584164,-0.05111262,0.26183198,-0.51920642,1.11309435,-1.07394421,0.18475014,-0.28507163,0.22895480,-0.61433690,0.12881192,-0.37389236,0.00000000,-0.00000000
-0.03301651,1.52223563,-2.27777102,0.00127056,-0.00713667,0.01618075,-0.05211955,0.26463330,-0.53794392,1.07764779,-1.11042504,0.18065649,-0.28747881,0.22489668,-0.62820250,0.12829360,-0.38344029,0.00000000,-0.00000000
-0.02701351,1.49444823,-2.34581325,0.00137483,-0.00756256,0.01675413,-0.05336159,0.27092354,-0.55800301,1.05318736,-1.15173617,0.17692772,-0.28973699,0.22106766,-0.64273157,0.12868577,-0.39377759,0.00000000,-0.00000000
-0.02101051,1.47899660,-2.41883920,0.00150111,-0.00800588,0.01756508,-0.05480177,0.28080459,-0.57912619,1.03988543,-1.19726769,0.17358673,-0.29171570,0.21746099,-0.65758928,0.12999748,-0.40471517,0.00000000,-0.00000000
-0.01500750,1.47592747,-2.49559952,0.00165032,-0.00846604,0.01861626,-0.05640153,0.29434722,-0.60103772,1.03775026,-1.24634652,0.17065481,-0.29329740,0.21408392,-0.67244427,0.13223536,-0.41605158,0.00000000,-0.00000000
-0.00900450,1.48513923,-2.57479022,0.00182317,-0.00894216,0.01990924,-0.05812103,0.31158661,-0.62344566,1.04662821,-1.29824143,0.16815074,-0.29437853,0.21095610,-0.68697214,0.13540225,-0.42757520,0.00000000,-0.00000000
-0.00300150,1.50637978,-2.65506398,0.00202010,-0.00943295,0.02144412,-0.05991935,0.33251779,-0.64604416,1.06620726,-1.35216886,0.16608969,-0.29487029,0.20810724,-0.70085880,0.13949564,-0.43906692,0.00000000,-0.00000000
