energy_ev,total_up,P_s_up,P_p_up,S_s_up,S_p_up,W_p_up,W_d_up
1.53376688,1.49864114,0.00201625,0.20077885,0.04488336,0.36507653,0.22634762,1.15065207
1.53976988,1.50830280,0.00214379,0.20519674,0.04626995,0.35456171,0.22668595,1.16221834
1.54577289,1.51578228,0.00226504,0.20906499,0.04750664,0.34414428,0.22645600,1.17209383
1.55177589,1.52042705,0.00237782,0.21228226,0.04855966,0.33379885,0.22558731,1.17970882
1.55777889,1.52162427,0.00248000,0.21476353,0.04940010,0.32348556,0.22401965,1.18451993
1.56378189,1.51882721,0.00256962,0.21644329,0.05000463,0.31315501,0.22170580,1.18603211
1.56978489,1.51157923,0.00264487,0.21727818,0.05035619,0.30275332,0.21861396,1.18381892
1.57578789,1.49953447,0.00270423,0.21724878,0.05044436,0.29222706,0.21472940,1.17754040
1.58179090,1.48247431,0.00274645,0.21636059,0.05026558,0.28152786,0.21005566,1.16695770
1.58779390,1.46031870,0.00277064,0.21464413,0.04982310,0.27061648,0.20461491,1.15194390
1.59379690,1.43313211,0.00277625,0.21215404,0.04912675,0.25946606,0.19844765,1.13249039
1.59979990,1.40112378,0.00276315,0.20896742,0.04819249,0.24806465,0.19161173,1.10870889
1.60580290,1.36464218,0.00273155,0.20518123,0.04704175,0.23641675,0.18418076,1.08082868
1.61180590,1.32416430,0.00268207,0.20090898,0.04570066,0.22454395,0.17624194,1.04918964
1.61780890,1.28027993,0.00261569,0.19627685,0.04419910,0.21248470,0.16789350,1.01423110
1.62381191,1.23367202,0.00253368,0.19141925,0.04256968,0.20029331,0.15924174,0.97647738
1.62981491,1.18509388,0.00243762,0.18647422,0.04084672,0.18803819,0.15039805,0.93652055
1.63581791,1.13534425,0.00232931,0.18157857,0.03906507,0.17579970,0.14147570,0.89500120
1.64182091,1.08524150,0.00221071,0.17686314,0.03725912,0.16366746,0.13258686,0.85258825
1.64782391,1.03559790,0.00208392,0.17244837,0.03546180,0.15173756,0.12383972,0.80995847
1.65382691,0.98719511,0.00195106,0.16844016,0.03370362,0.14010970,0.11533597,0.76777681
1.65982991,0.94076189,0.00181426,0.16492641,0.03201194,0.12888436,0.10716864,0.72667805
1.66583292,0.89695478,0.00167559,0.16197415,0.03041031,0.11816023,0.09942038,0.68725065
1.67183592,0.85634245,0.00153699,0.15962760,0.02891798,0.10803192,0.09216219,0.65002317
1.67783892,0.81939412,0.00140026,0.15790691,0.02754963,0.09858802,0.08545268,0.61545384
1.68384192,0.78647232,0.00126701,0.15680800,0.02631517,0.08990958,0.07933775,0.58392321
1.68984492,0.75782999,0.00113864,0.15630312,0.02521982,0.08206899,0.07385071,0.55573016
1.69584792,0.73361179,0.00101629,0.15634234,0.02426427,0.07512924,0.06901278,0.53109101
1.70185093,0.71385910,0.00090090,0.15685585,0.02344499,0.06914347,0.06483393,0.51014158
1.70785393,0.69851843,0.00079317,0.15775689,0.02275470,0.06415493,0.06131393,0.49294168
1.71385693,0.68745242,0.00069354,0.15894523,0.02218289,0.06019701,0.05844355,0.47948169
1.71985993,0.68045275,0.00060229,0.16031109,0.02171644,0.05729350,0.05620594,0.46969072
1.72586293,0.67725433,0.00051947,0.16173928,0.02134024,0.05545894,0.05457790,0.46344567
1.73186593,0.67754989,0.00044497,0.16311345,0.02103793,0.05469893,0.05353120,0.46058079
1.73786893,0.68100428,0.00037855,0.16432020,0.02079249,0.05501046,0.05303379,0.46089721
1.74387194,0.68726799,0.00031983,0.16525300,0.02058690,0.05638214,0.05305082,0.46417193
1.74987494,0.69598917,0.00026837,0.16581569,0.02040472,0.05879440,0.05354551,0.47016602
1.75587794,0.70682389,0.00022365,0.16592546,0.02023061,0.06221957,0.05447994,0.47863167
1.76188094,0.71944428,0.00018510,0.16551526,0.02005072,0.06662188,0.05581548,0.48931795
1.76788394,0.73354442,0.00015214,0.16453546,0.01985306,0.07195743,0.05751322,0.50197520
1.77388694,0.74884401,0.00012419,0.16295492,0.01962769,0.07817421,0.05953414,0.51635809
1.77988994,0.76508982,0.00010068,0.16076116,0.01936692,0.08521200,0.06183922,0.53222736
1.78589295,0.78205525,0.00008107,0.15796000,0.01906530,0.09300251,0.06438946,0.54935050
1.79189595,0.79953811,0.00006482,0.15457444,0.01871959,0.10146947,0.06714581,0.56750141
1.79789895,0.81735716,0.00005148,0.15064302,0.01832867,0.11052892,0.07006909,0.58645948
1.80390195,0.83534759,0.00004060,0.14621771,0.01789331,0.12008967,0.07311996,0.60600808
