energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-5.33366683,8.08325314,0.02246821,1.36883399,4.27596307,2.56083425,0.19878740,2.68115250,0.76493834,0.54800314
-5.32766383,8.02153521,0.02264794,1.33324342,4.19118369,2.52900195,0.19394378,2.68618828,0.76180316,0.56138171
-5.32166083,7.95621704,0.02281856,1.29699109,4.11259363,2.49402410,0.18846773,2.69145807,0.76067001,0.57447341
-5.31565783,7.88717864,0.02297971,1.26024820,4.04094947,2.45596542,0.18242716,2.69665212,0.76137309,0.58705810
-5.30965483,7.81433792,0.02313053,1.22320110,3.97689623,2.41497131,0.17589422,2.70142671,0.76370929,0.59891385
-5.30365183,7.73767793,0.02326976,1.18604933,3.92096538,2.37127001,0.16894375,2.70542349,0.76745076,0.60982408
-5.29764882,7.65727369,0.02339587,1.14900337,3.87357460,2.32517280,0.16165187,2.70829010,0.77235831,0.61958486
-5.29164582,7.57331658,0.02350724,1.11228191,3.83502856,2.27707196,0.15409458,2.70970089,0.77819516,0.62801195
-5.28564282,7.48613443,0.02360228,1.07610864,3.80552093,2.22743622,0.14634656,2.70937686,0.78474004,0.63494716
-5.27963982,7.39620606,0.02367961,1.04070870,3.78513718,2.17680376,0.13848006,2.70710352,0.79179923,0.64026385
-5.27363682,7.30416891,0.02373814,1.00630469,3.77385847,2.12577269,0.13056396,2.70274605,0.79921691,0.64387135
-5.26763382,7.21081928,0.02377729,0.97311261,3.77156684,2.07498920,0.12266296,2.69626107,0.80688335,0.64571802
-5.26163082,7.11710508,0.02379701,0.94133761,3.77805194,2.02513365,0.11483699,2.68770442,0.81474068,0.64579287
-5.25562781,7.02411141,0.02379790,0.91116989,3.79301970,1.97690504,0.10714070,2.67723513,0.82278601,0.64412587
-5.24962481,6.93303984,0.02378127,0.88278086,3.81610325,1.93100431,0.09962311,2.66511523,0.83107193,0.64078679
-5.24362181,6.84518267,0.02374916,0.85631976,3.84687633,1.88811711,0.09232740,2.65170613,0.83970447,0.63588292
-5.23761881,6.76189363,0.02370437,0.83191087,3.88486928,1.84889665,0.08529083,2.63746156,0.84883878,0.62955568
-5.23161581,6.68455667,0.02365041,0.80965140,3.92958730,1.81394732,0.07854471,2.62291810,0.85867277,0.62197647
-5.22561281,6.61455460,0.02359151,0.78961033,3.98053082,1.78380965,0.07211450,2.60868353,0.86943924,0.61334193
-5.21960980,6.55323893,0.02353254,0.77182798,4.03721705,1.75894730,0.06601997,2.59542384,0.88139677,0.60386893
-5.21360680,6.50190232,0.02347890,0.75631660,4.09920185,1.73973655,0.06027544,2.58384939,0.89481987,0.59378947
-5.20760380,6.46175453,0.02343650,0.74306172,4.16610065,1.72645863,0.05489008,2.57470061,0.90998884,0.58334567
-5.20160080,6.43390223,0.02341156,0.73202432,4.23760714,1.71929509,0.04986820,2.56873355,0.92717954,0.57278508
-5.19559780,6.41933288,0.02341051,0.72314356,4.31350802,1.71832644,0.04520968,2.56670549,0.94665356,0.56235637
-5.18959480,6.41890220,0.02343984,0.71634000,4.39369266,1.72353376,0.04091036,2.56936049,0.96864880,0.55230536
-5.18359180,6.43332464,0.02350590,0.71151910,4.47815598,1.73480316,0.03696247,2.57741495,0.99337079,0.54287157
-5.17758879,6.46316571,0.02361471,0.70857478,4.56699386,1.75193264,0.03335511,2.59154287,1.02098481,0.53428511
-5.17158579,6.50883537,0.02377178,0.70739275,4.66039006,1.77464090,0.03007469,2.61236079,1.05160871,0.52676381
-5.16558279,6.57058128,0.02398185,0.70785369,4.75859482,1.80257749,0.02710544,2.64041217,1.08530670,0.52051070
