energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-4.56528264,7.00755562,0.16810200,4.51513404,0.03250639,0.56381548,1.76174375,1.36569365,0.04893655,0.58417573
-4.55927964,6.88378591,0.16433418,4.40501056,0.03013139,0.56366994,1.76103671,1.37428378,0.04686176,0.57038107
-4.55327664,6.77711670,0.16163774,4.30320499,0.02777495,0.56386249,1.76503232,1.38987585,0.04486136,0.55914813
-4.54727364,6.68816394,0.15991393,4.21055050,0.02546269,0.56417439,1.77299317,1.41247826,0.04296196,0.55049558
-4.54127064,6.61709016,0.15905158,4.12759656,0.02321859,0.56438031,1.78410678,1.44198603,0.04118947,0.54437692
-4.53526763,6.56366647,0.15893200,4.05463453,0.02106444,0.56426138,1.79752637,1.47819819,0.03956903,0.54068583
-4.52926463,6.52735329,0.15943404,3.99173594,0.01901949,0.56361845,1.81241353,1.52083904,0.03812503,0.53926378
-4.52326163,6.50739441,0.16043902,3.93880063,0.01710010,0.56228485,1.82798072,1.56958174,0.03688129,0.53990990
-4.51725863,6.50291833,0.16183534,3.89561144,0.01531959,0.56013796,1.84353141,1.62407290,0.03586122,0.54239225
-4.51125563,6.51304052,0.16352265,3.86189150,0.01368817,0.55710899,1.85849592,1.68395657,0.03508801,0.54646016
-4.50525263,6.53695965,0.16541530,3.83736044,0.01221298,0.55319015,1.87246107,1.74889611,0.03458478,0.55185686
-4.49924962,6.57404161,0.16744505,3.82178527,0.01089820,0.54843912,1.88519197,1.81859254,0.03437467,0.55833170
-4.49324662,6.62388542,0.16956281,3.81502259,0.00974530,0.54298007,1.89664485,1.89279807,0.03448080,0.56565138
-4.48724362,6.68636627,0.17173941,3.81704879,0.00875321,0.53700143,1.90696996,1.97132393,0.03492604,0.57360953
-4.48124062,6.76165227,0.17396535,3.82797596,0.00791867,0.53075013,1.91650437,2.05404183,0.03573269,0.58203402
-4.47523762,6.85019297,0.17624946,3.84805188,0.00723651,0.52452267,1.92575469,2.14087880,0.03692185,0.59079186
-4.46923462,6.95267948,0.17861666,3.87764352,0.00669993,0.51865324,1.93537056,2.23180578,0.03851273,0.59979102
-4.46323162,7.06997780,0.18110477,3.91720455,0.00630080,0.51349945,1.94610988,2.32682041,0.04052165,0.60897955
-4.45722861,7.20303859,0.18376067,3.96722841,0.00602991,0.50942629,1.95879751,2.42592524,0.04296100,0.61834166
-4.45122561,7.35278842,0.18663581,4.02818942,0.00587720,0.50678897,1.97427926,2.52910267,0.04583804,0.62789135
-4.44522261,7.52000862,0.18978146,4.10047532,0.00583196,0.50591544,1.99337344,2.63628832,0.04915366,0.63766378
-4.43921961,7.70520915,0.19324381,4.18431540,0.00588300,0.50708948,2.01682225,2.74734467,0.05290116,0.64770513
-4.43321661,7.90850513,0.19705923,4.27970867,0.00601880,0.51053500,2.04524536,2.86203688,0.05706516,0.65806146
-4.42721361,8.12950422,0.20124993,4.38635694,0.00622763,0.51640242,2.07909805,2.98001262,0.06162063,0.66876743
-4.42121061,8.36721246,0.20582022,4.50360732,0.00649767,0.52475768,2.11863596,3.10078751,0.06653219,0.67983554
-4.41520760,8.61996537,0.21075361,4.63040861,0.00681712,0.53557458,2.16388818,3.22373750,0.07175373,0.69124672
-4.40920460,8.88538998,0.21601097,4.76528510,0.00717429,0.54873068,2.21464027,3.34809916,0.07722846,0.70294284
-4.40320160,9.16040190,0.22152974,4.90633071,0.00755781,0.56400716,2.27042796,3.47297825,0.08288925,0.71482171
-4.39719860,9.44123939,0.22722437,5.05122498,0.00795665,0.58109263,2.33054208,3.59736656,0.08865955,0.72673501
