energy_ev,total_up,Ge_p_up,Ge_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
2.05002501,1.34910430,0.35211076,0.00000000,0.10133189,0.10462804,0.32041732,1.19186004
2.05602801,1.42105635,0.37192375,0.00000000,0.10530612,0.10909028,0.34575004,1.25532450
2.06203102,1.49073825,0.39089755,0.00000000,0.10885426,0.11339464,0.37234742,1.31643953
2.06803402,1.55739451,0.40877805,0.00000000,0.11192889,0.11750120,0.40011750,1.37445786
2.07403702,1.62034490,0.42533019,0.00000000,0.11449212,0.12137544,0.42895875,1.42870469
2.08004002,1.67899382,0.44034274,0.00000000,0.11651646,0.12498779,0.45875634,1.47858949
2.08604302,1.73283673,0.45363243,0.00000000,0.11798544,0.12831307,0.48937840,1.52361490
2.09204602,1.78146336,0.46504714,0.00000000,0.11889378,0.13132984,0.52067244,1.56338254
2.09804902,1.82455782,0.47446804,0.00000000,0.11924727,0.13401973,0.55246229,1.59759539
2.10405203,1.86189550,0.48181073,0.00000000,0.11906231,0.13636682,0.58454561,1.62605676
2.11005503,1.89333710,0.48702517,0.00000000,0.11836504,0.13835702,0.61669242,1.64866588
2.11605803,1.91882025,0.49009464,0.00000000,0.11719026,0.13997768,0.64864473,1.66541059
2.12206103,1.93834927,0.49103372,0.00000000,0.11558006,0.14121728,0.68011748,1.67635738
2.12806403,1.95198363,0.48988549,0.00000000,0.11358221,0.14206529,0.71080088,1.68163961
2.13406703,1.95982593,0.48671809,0.00000000,0.11124853,0.14251227,0.74036425,1.68144442
2.14007004,1.96201010,0.48162093,0.00000000,0.10863313,0.14255006,0.76846124,1.67599928
2.14607304,1.95869042,0.47470076,0.00000000,0.10579065,0.14217218,0.79473639,1.66555874
2.15207604,1.95003214,0.46607768,0.00000000,0.10277467,0.14137425,0.81883276,1.65039228
2.15807904,1.93620393,0.45588150,0.00000000,0.09963613,0.14015458,0.84040045,1.63077372
2.16408204,1.91737276,0.44424839,0.00000000,0.09642211,0.13851469,0.85910557,1.60697280
2.17008504,1.89370115,0.43131812,0.00000000,0.09317465,0.13645982,0.87463940,1.57924916
2.17608804,1.86534691,0.41723178,0.00000000,0.08993001,0.13399936,0.88672725,1.54784888
2.18209105,1.83246508,0.40213012,0.00000000,0.08671811,0.13114715,0.89513673,1.51300358
2.18809405,1.79521180,0.38615240,0.00000000,0.08356224,0.12792164,0.89968499,1.47493183
2.19409705,1.75374964,0.36943573,0.00000000,0.08047915,0.12434581,0.90024460,1.43384241
2.20010005,1.70825376,0.35211470,0.00000000,0.07747923,0.12044702,0.89674793,1.38993915
2.20610305,1.65891842,0.33432137,0.00000000,0.07456707,0.11625660,0.88918967,1.34342657
2.21210605,1.60596318,0.31618520,0.00000000,0.07174211,0.11180931,0.87762758,1.29451586
2.21810905,1.54963821,0.29783316,0.00000000,0.06899946,0.10714265,0.86218132,1.24343054
2.22411206,1.49022839,0.27938955,0.00000000,0.06633082,0.10229613,0.84302955,1.19041136
2.23011506,1.42805556,0.26097577,0.00000000,0.06372548,0.09731045,0.82040534,1.13571993
2.23611806,1.36347902,0.24270978,0.00000000,0.06117128,0.09222663,0.79459023,1.07964075
2.24212106,1.29689391,0.22470537,0.00000000,0.05865555,0.08708526,0.76590713,1.02248153
2.24812406,1.22872756,0.20707113,0.00000000,0.05616607,0.08192572,0.73471242,0.96457171
2.25412706,1.15943414,0.18990936,0.00000000,0.05369174,0.07678550,0.70138742,0.90625913
2.26013007,1.08948766,0.17331477,0.00000000,0.05122333,0.07169972,0.66632979,0.84790539
2.26613307,1.01937377,0.15737319,0.00000000,0.04875395,0.06670061,0.62994490,0.78987976
2.27213607,0.94958089,0.14216044,0.00000000,0.04627941,0.06181725,0.59263763,0.73255241
2.27813907,0.88059090,0.12774122,0.00000000,0.04379842,0.05707540,0.55480463,0.67628715
2.28414207,0.81287006,0.11416837,0.00000000,0.04131263,0.05249736,0.51682746,0.62143414
2.29014507,0.74686049,0.10148236,0.00000000,0.03882652,0.04810207,0.47906657,0.56832309
2.29614807,0.68297258,0.08971122,0.00000000,0.03634718,0.04390517,0.44185622,0.51725725
2.30215108,0.62157876,0.07887081,0.00000000,0.03388396,0.03991919,0.40550053,0.46850852
2.30815408,0.56300881,0.06896550,0.00000000,0.03144806,0.03615381,0.37027055,0.42231399
