energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Li_s_up,Se_s_up,Se_p_up
5.19559780,3.55704539,0.02076664,0.23310758,2.02351223,2.57803559,0.33501155,0.14373542,0.30207279
5.20160080,3.50240279,0.02151097,0.22741080,1.97823513,2.54178294,0.32583912,0.14260777,0.29644035
5.20760380,3.45263228,0.02248494,0.22220022,1.93528891,2.50661578,0.31767795,0.14156353,0.29119368
5.21360680,3.40826285,0.02370747,0.21756797,1.89509659,2.47266936,0.31063981,0.14065285,0.28638519
5.21960980,3.36981453,0.02519536,0.21359824,1.85807440,2.44010803,0.30482754,0.13992702,0.28207009
5.22561281,3.33777193,0.02696239,0.21036454,1.82461712,2.40911434,0.30033109,0.13943622,0.27830347
5.23161581,3.31255604,0.02901829,0.20792720,1.79508228,2.37987670,0.29722347,0.13922714,0.27513712
5.23761881,3.29449571,0.03136782,0.20633102,1.76977365,2.35257608,0.29555682,0.13934056,0.27261634
5.24362181,3.28380012,0.03400977,0.20560329,1.74892527,2.32737272,0.29535877,0.13980905,0.27077681
5.24962481,3.28053410,0.03693622,0.20575215,1.73268663,2.30439343,0.29662930,0.14065478,0.26964179
5.25562781,3.28459762,0.04013176,0.20676548,1.72111022,2.28372047,0.29933836,0.14188784,0.26921969
5.26163082,3.29571108,0.04357300,0.20861036,1.71414230,2.26538261,0.30342433,0.14350482,0.26950224
5.26763382,3.31340768,0.04722839,0.21123310,1.71161775,2.24934910,0.30879354,0.14548808,0.27046339
5.27363682,3.33703389,0.05105813,0.21456005,1.71325975,2.23552698,0.31532096,0.14780559,0.27205893
5.27963982,3.36575878,0.05501461,0.21849905,1.71868478,2.22376224,0.32285214,0.15041139,0.27422702
5.28564282,3.39859252,0.05904304,0.22294164,1.72741307,2.21384488,0.33120641,0.15324680,0.27688959
5.29164582,3.43441376,0.06308246,0.22776597,1.73888460,2.20551785,0.34018125,0.15624225,0.27995462
5.29764882,3.47200544,0.06706711,0.23284028,1.75248002,2.19848964,0.34955786,0.15931971,0.28331920
5.30365183,3.51009769,0.07092804,0.23802703,1.76754590,2.19245002,0.35910767,0.16239564,0.28687335
5.30965483,3.54741621,0.07459503,0.24318727,1.78342322,2.18708816,0.36859952,0.16538432,0.29050435
5.31565783,3.58273415,0.07799860,0.24818541,1.79947772,2.18211228,0.37780739,0.16820136,0.29410151
5.32166083,3.61492510,0.08107224,0.25289393,1.81513071,2.17726981,0.38651822,0.17076736,0.29756108
5.32766383,3.64301439,0.08375456,0.25719798,1.82988856,2.17236685,0.39453951,0.17301141,0.30079111
