energy_ev,total_up,Au_p_up,Au_d_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-3.43071536,1.35758977,0.14075547,0.31114653,0.35308173,0.83145469,0.02347452,0.03887014,0.22823728,0.00000000
-3.42471236,1.41375735,0.14714589,0.31660518,0.37013050,0.87760646,0.02281699,0.04111970,0.24088879,0.00000000
-3.41870935,1.47023457,0.15385150,0.32240592,0.38772959,0.92345317,0.02228606,0.04336261,0.25303212,0.00000000
-3.41270635,1.52622482,0.16078309,0.32835981,0.40570703,0.96852828,0.02187188,0.04556699,0.26449782,0.00000000
-3.40670335,1.58093322,0.16784704,0.33426934,0.42388349,1.01238409,0.02156141,0.04770070,0.27512816,0.00000000
-3.40070035,1.63359576,0.17495009,0.33993723,0.44207801,1.05460514,0.02133921,0.04973262,0.28478213,0.00000000
-3.39469735,1.68350702,0.18200421,0.34517541,0.46011342,1.09481983,0.02118831,0.05163380,0.29333991,0.00000000
-3.38869435,1.73004494,0.18893128,0.34981336,0.47782122,1.13270982,0.02109106,0.05337864,0.30070658,0.00000000
-3.38269135,1.77269135,0.19566745,0.35370576,0.49504562,1.16801658,0.02102999,0.05494590,0.30681490,0.00000000
-3.37668834,1.81104730,0.20216674,0.35673873,0.51164662,1.20054480,0.02098852,0.05631963,0.31162701,0.00000000
-3.37068534,1.84484251,0.20840378,0.35883462,0.52750196,1.23016268,0.02095170,0.05748977,0.31513500,0.00000000
-3.36468234,1.87393839,0.21437544,0.35995491,0.54250803,1.25679902,0.02090667,0.05845257,0.31736027,0.00000000
-3.35867934,1.89832488,0.22010118,0.36010128,0.55657960,1.28043753,0.02084313,0.05921072,0.31835182,0.00000000
-3.35267634,1.91811124,0.22562212,0.35931461,0.56964863,1.30110876,0.02075355,0.05977318,0.31818338,0.00000000
-3.34667334,1.93351151,0.23099870,0.35767213,0.58166233,1.31888020,0.02063327,0.06015468,0.31694984,0.00000000
-3.34067034,1.94482563,0.23630721,0.35528287,0.59258052,1.33384530,0.02048043,0.06037504,0.31476287,0.00000000
-3.33466733,1.95241730,0.24163504,0.35228154,0.60237280,1.34611215,0.02029575,0.06045819,0.31174615,0.00000000
-3.32866433,1.95668998,0.24707524,0.34882134,0.61101550,1.35579239,0.02008221,0.06043102,0.30803042,0.00000000
-3.32266133,1.95806234,0.25272029,0.34506605,0.61848889,1.36299129,0.01984462,0.06032209,0.30374849,0.00000000
-3.31665833,1.95694464,0.25865578,0.34118169,0.62477474,1.36779940,0.01958910,0.06016034,0.29903069,0.00000000
-3.31065533,1.95371724,0.26495407,0.33732840,0.62985445,1.37028629,0.01932252,0.05997376,0.29400065,0.00000000
-3.30465233,1.94871250,0.27166852,0.33365281,0.63370790,1.37049678,0.01905198,0.05978820,0.28877194,0.00000000
-3.29864932,1.94220086,0.27882855,0.33028141,0.63631314,1.36844973,0.01878422,0.05962626,0.28344540,0.00000000
-3.29264632,1.93438205,0.28643585,0.32731520,0.63764690,1.36413951,0.01852520,0.05950649,0.27810746,0.00000000
-3.28664332,1.92538146,0.29446216,0.32482587,0.63768589,1.35753986,0.01827963,0.05944282,0.27282940,0.00000000
-3.28064032,1.91525217,0.30284858,0.32285381,0.63640890,1.34861000,0.01805071,0.05944428,0.26766751,0.00000000
-3.27463732,1.90398202,0.31150672,0.32140786,0.63379948,1.33730249,0.01783990,0.05951509,0.26266414,0.00000000
-3.26863432,1.89150562,0.32032165,0.32046696,0.62984907,1.32357239,0.01764682,0.05965502,0.25784958,0.00000000
-3.26263132,1.87772013,0.32915648,0.31998343,0.62456041,1.30738712,0.01746936,0.05986006,0.25324444,0.00000000
-3.25662831,1.86250422,0.33785839,0.31988782,0.61795098,1.28873644,0.01730374,0.06012341,0.24886256,0.00000000
-3.25062531,1.84573874,0.34626588,0.32009480,0.61005631,1.26764201,0.01714479,0.06043664,0.24471415,0.00000000
-3.24462231,1.82732803,0.35421680,0.32051007,0.60093283,1.24416595,0.01698632,0.06079096,0.24080897,0.00000000
-3.23861931,1.80722057,0.36155668,0.32103753,0.59066020,1.21841783,0.01682143,0.06117865,0.23715938,0.00000000
-3.23261631,1.78542764,0.36814703,0.32158653,0.57934285,1.19055981,0.01664300,0.06159440,0.23378300,0.00000000
-3.22661331,1.76203889,0.37387298,0.32207871,0.56711060,1.16080947,0.01644409,0.06203659,0.23070492,0.00000000
-3.22061031,1.73723387,0.37864992,0.32245394,0.55411830,1.12944029,0.01621837,0.06250839,0.22795920,0.00000000
-3.21460730,1.71128866,0.38242871,0.32267521,0.54054439,1.09677952,0.01596050,0.06301859,0.22558965,0.00000000
-3.20860430,1.68457718,0.38519910,0.32273203,0.52658843,1.06320362,0.01566647,0.06358218,0.22364977,0.00000000
-3.20260130,1.65756689,0.38699122,0.32264219,0.51246762,1.02913140,0.01533384,0.06422050,0.22220187,0.00000000
-3.19659830,1.63080915,0.38787497,0.32245187,0.49841244,0.99501512,0.01496195,0.06496106,0.22131534,0.00000000
-3.19059530,1.60492442,0.38795736,0.32223398,0.48466161,0.96133005,0.01455194,0.06583700,0.22106424,0.00000000
-3.18459230,1.58058318,0.38737788,0.32208490,0.47145654,0.92856278,0.01410683,0.06688612,0.22152418,0.00000000
-3.17858929,1.55848348,0.38630223,0.32211987,0.45903544,0.89719907,0.01363139,0.06814961,0.22276886,0.00000000
-3.17258629,1.53932619,0.38491462,0.32246711,0.44762760,0.86771155,0.01313199,0.06967050,0.22486617,0.00000000
-3.16658329,1.52378932,0.38340923,0.32326121,0.43744774,0.84054809,0.01261640,0.07149195,0.22787428,0.00000000
-3.16058029,1.51250267,0.38198111,0.32463603,0.42869104,0.81612120,0.01209350,0.07365526,0.23183787,0.00000000
-3.15457729,1.50602417,0.38081715,0.32671748,0.42152886,0.79479906,0.01157297,0.07619806,0.23678461,0.00000000
-3.14857429,1.50481902,0.38008757,0.32961665,0.41610540,0.77689855,0.01106501,0.07915236,0.24272222,0.00000000
-3.14257129,1.50924285,0.37993831,0.33342358,0.41253544,0.76268049,0.01057996,0.08254286,0.24963618,0.00000000
-3.13656828,1.51952952,0.38048478,0.33820196,0.41090323,0.75234742,0.01012801,0.08638550,0.25748831,0.00000000
-3.13056528,1.53578418,0.38180729,0.34398511,0.41126249,0.74604365,0.00971888,0.09068626,0.26621623,0.00000000
-3.12456228,1.55798186,0.38394831,0.35077322,0.41363745,0.74385776,0.00936156,0.09544039,0.27573390,0.00000000
-3.11855928,1.58597146,0.38691170,0.35853224,0.41802490,0.74582698,0.00906405,0.10063210,0.28593304,0.00000000
-3.11255628,1.61948482,0.39066394,0.36719419,0.42439681,0.75194326,0.00883314,0.10623459,0.29668563,0.00000000
-3.10655328,1.65815018,0.39513717,0.37665894,0.43270350,0.76216043,0.00867428,0.11221069,0.30784718,0.00000000
-3.10055028,1.70150921,0.40023394,0.38679739,0.44287705,0.77640191,0.00859137,0.11851381,0.31926085,0.00000000
-3.09454727,1.74903657,0.40583327,0.39745582,0.45483458,0.79456836,0.00858671,0.12508936,0.33076208,0.00000000
-3.08854427,1.80016089,0.41179781,0.40846111,0.46848124,0.81654481,0.00866093,0.13187651,0.34218366,0.00000000
-3.08254127,1.85428590,0.41798156,0.41962678,0.48371261,0.84220649,0.00881292,0.13881020,0.35336099,0.00000000
-3.07653827,1.91081072,0.42423781,0.43075933,0.50041651,0.87142319,0.00903987,0.14582332,0.36413734,0.00000000
-3.07053527,1.96914826,0.43042690,0.44166477,0.51847382,0.90406155,0.00933724,0.15284898,0.37436878,0.00000000
-3.06453227,2.02874062,0.43642334,0.45215496,0.53775863,0.93998531,0.00969888,0.15982269,0.38392876,0.00000000
-3.05852926,2.08907117,0.44212200,0.46205359,0.55813742,0.97905330,0.01011711,0.16668449,0.39271194,0.00000000
-3.05252626,2.14967248,0.44744299,0.47120145,0.57946771,1.02111530,0.01058282,0.17338071,0.40063730,0.00000000
-3.04652326,2.21013014,0.45233502,0.47946088,0.60159606,1.06600613,0.01108568,0.17986545,0.40765021,0.00000000
-3.04052026,2.27008229,0.45677716,0.48671921,0.62435594,1.11353825,0.01161430,0.18610159,0.41372345,0.00000000
-3.03451726,2.32921528,0.46077877,0.49289112,0.64756549,1.16349338,0.01215651,0.19206139,0.41885717,0.00000000
-3.02851426,2.38725577,0.46437776,0.49791977,0.67102562,1.21561387,0.01269960,0.19772646,0.42307763,0.00000000
-3.02251126,2.44396006,0.46763715,0.50177673,0.69451862,1.26959433,0.01323065,0.20308724,0.42643492,0.00000000
-3.01650825,2.49910137,0.47064016,0.50446086,0.71780764,1.32507423,0.01373681,0.20814202,0.42899960,0.00000000
-3.01050525,2.55245597,0.47348416,0.50599603,0.74063710,1.38163220,0.01420571,0.21289544,0.43085854,0.00000000
-3.00450225,2.60378919,0.47627359,0.50642797,0.76273435,1.43878253,0.01462575,0.21735659,0.43210990,0.00000000
