energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up
4.88944472,6.12080154,0.77656915,5.79950734,0.30220959,0.10331272,0.10410645,0.55936240
4.89544772,6.10485242,0.77354012,5.78377322,0.30040476,0.10298929,0.10221434,0.55834994
4.90145073,6.05590702,0.76722972,5.73711563,0.29708021,0.10205903,0.09973171,0.55418291
4.90745373,5.97488014,0.75746779,5.66067970,0.29226859,0.10053634,0.09669907,0.54692741
4.91345673,5.86324935,0.74418468,5.55610625,0.28602682,0.09844592,0.09316691,0.53670433
4.91945973,5.72300496,0.72740794,5.42547709,0.27843458,0.09582213,0.08919412,0.52368550
4.92546273,5.55658632,0.70725638,5.27124855,0.26959229,0.09270805,0.08484614,0.50808850
4.93146573,5.36680684,0.68393180,5.09617609,0.25961862,0.08915431,0.08019307,0.49017032
4.93746873,5.15677085,0.65770877,4.90323310,0.24864764,0.08521773,0.07530762,0.47021999
4.94347174,4.92978541,0.62892284,4.69552700,0.23682570,0.08095981,0.07026313,0.44855057
4.94947474,4.68927054,0.59795777,4.47621582,0.22430803,0.07644512,0.06513170,0.42549082
4.95547774,4.43867089,0.56523195,4.24842848,0.21125524,0.07173970,0.05998242,0.40137670
4.96148074,4.18137218,0.53118488,4.01519130,0.19782983,0.06690943,0.05487983,0.37654314
4.96748374,3.92062493,0.49626374,3.77936328,0.18419268,0.06201854,0.04988267,0.35131634
4.97348674,3.65947789,0.46091088,3.54358187,0.17049978,0.05712820,0.04504287,0.32600670
4.97948974,3.40072280,0.42555232,3.31022058,0.15689918,0.05229530,0.04040482,0.30090279
4.98549275,3.14685174,0.39058761,3.08135899,0.14352832,0.04757142,0.03600499,0.27626631
4.99149575,2.90002744,0.35638152,2.85876529,0.13051168,0.04300207,0.03187178,0.25232829
4.99749875,2.66206678,0.32325738,2.64389087,0.11795904,0.03862610,0.02802568,0.22928648
5.00350175,2.43443645,0.29149241,2.43787577,0.10596408,0.03447539,0.02447958,0.20730395
5.00950475,2.21826008,0.26131491,2.24156380,0.09460363,0.03057475,0.02123940,0.18650886
5.01550775,2.01433501,0.23290323,2.05552539,0.08393735,0.02694209,0.01830473,0.16699525
5.02151076,1.82315716,0.20638651,1.88008638,0.07400796,0.02358865,0.01566967,0.14882476
5.02751376,1.64495187,0.18184670,1.71536068,0.06484184,0.02051954,0.01332368,0.13202909
5.03351676,1.47970888,0.15932198,1.56128492,0.05645012,0.01773433,0.01125251,0.11661309
5.03951976,1.32721942,0.13881101,1.41765326,0.04882999,0.01522769,0.00943906,0.10255814
5.04552276,1.18711362,0.12027795,1.28415082,0.04196634,0.01299019,0.00786422,0.08982587
5.05152576,1.05889679,0.10365775,1.16038438,0.03583354,0.01100905,0.00650763,0.07836187
5.05752876,0.94198315,0.08886181,1.04590960,0.03039727,0.00926888,0.00534841,0.06809936
5.06353177,0.83572626,0.07578334,0.94025384,0.02561644,0.00775244,0.00436570,0.05896263
5.06953477,0.73944527,0.06430263,0.84293469,0.02144502,0.00644133,0.00353921,0.05087019
5.07553777,0.65244689,0.05429186,0.75347382,0.01783373,0.00531654,0.00284954,0.04373757
5.08154077,0.57404291,0.04561932,0.67140680,0.01473165,0.00435904,0.00227852,0.03747973
5.08754377,0.50356345,0.03815315,0.59628905,0.01208762,0.00355020,0.00180942,0.03201301
5.09354677,0.44036640,0.03176437,0.52769874,0.00985139,0.00287216,0.00142700,0.02725673
5.09954977,0.38384342,0.02632931,0.46523717,0.00797461,0.00230807,0.00111765,0.02313430
5.10555278,0.33342321,0.02173148,0.40852739,0.00641159,0.00184233,0.00086931,0.01957412
