energy_ev,total_up,As_p_up,As_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
4.63131566,2.55371429,0.49505492,0.00000000,2.84104634,0.82893365,0.04870768,0.23064106
4.63731866,2.47225718,0.47680441,0.00000000,2.76031027,0.79870211,0.04744918,0.22100912
4.64332166,2.38282038,0.45731603,0.00000000,2.67029572,0.76636174,0.04606985,0.21083222
4.64932466,2.28640320,0.43679920,0.00000000,2.57212833,0.73222799,0.04457913,0.20022032
4.65532766,2.18413706,0.41548439,0.00000000,2.46709031,0.69665304,0.04298807,0.18928977
4.66133067,2.07725942,0.39361831,0.00000000,2.35659217,0.66001732,0.04130919,0.17816078
4.66733367,1.96708602,0.37145889,0.00000000,2.24214228,0.62272083,0.03955624,0.16695498
4.67333667,1.85498235,0.34927019,0.00000000,2.12531527,0.58517435,0.03774404,0.15579294
4.67933967,1.74233497,0.32731734,0.00000000,2.00771991,0.54779088,0.03588836,0.14479193
4.68534267,1.63052366,0.30586163,0.00000000,1.89096726,0.51097744,0.03400567,0.13406387
4.69134567,1.52089497,0.28515580,0.00000000,1.77663973,0.47512750,0.03211308,0.12371339
4.69734867,1.41473774,0.26543972,0.00000000,1.66626170,0.44061413,0.03022815,0.11383634
4.70335168,1.31326118,0.24693630,0.00000000,1.56127205,0.40778398,0.02836876,0.10451842
4.70935468,1.21757571,0.22984798,0.00000000,1.46299913,0.37695220,0.02655296,0.09583419
4.71535768,1.12867691,0.21435355,0.00000000,1.37263833,0.34839831,0.02479888,0.08784635
4.72136068,1.04743254,0.20060556,0.00000000,1.29123263,0.32236301,0.02312456,0.08060537
