energy_ev,total_up,P_s_up,P_p_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-0.03901951,4.07551411,0.00893637,1.19379037,2.79933717,0.00000000,3.50806917,1.08018124
-0.03301651,4.03821096,0.00859479,1.18046326,2.81863011,0.00000000,3.47686731,1.03846549
-0.02701351,4.00874511,0.00834048,1.16266874,2.84699914,0.00000000,3.43554885,1.00071893
-0.02101051,3.98719723,0.00819006,1.14041644,2.88398933,0.00000000,3.38415607,0.96744543
-0.01500750,3.97356343,0.00816039,1.11386202,2.92900781,0.00000000,3.32307509,0.93908782
-0.00900450,3.96778353,0.00826840,1.08329903,2.98136265,0.00000000,3.25302300,0.91602845
-0.00300150,3.96976784,0.00853100,1.04914594,3.04030243,0.00000000,3.17502379,0.89859056
0.00300150,3.97942057,0.00896487,1.01192905,3.10505401,0.00000000,3.09037394,0.88703982
0.00900450,3.99665761,0.00958626,0.97226196,3.17485622,0.00000000,3.00059870,0.88158558
0.01500750,4.02141761,0.01041067,0.93082251,3.24898770,0.00000000,2.90740086,0.88238126
0.02101051,4.05366520,0.01145245,0.88832830,3.32678746,0.00000000,2.81260370,0.88952362
0.02701351,4.09338642,0.01272434,0.84551154,3.40766742,0.00000000,2.71809045,0.90305072
0.03301651,4.14057642,0.01423693,0.80309457,3.49111660,0.00000000,2.62574227,0.92293861
0.03901951,4.19522051,0.01599800,0.76176653,3.57669734,0.00000000,2.53737701,0.94909693
0.04502251,4.25726975,0.01801187,0.72216241,3.66403431,0.00000000,2.45469097,0.98136366
0.05102551,4.32661295,0.02027875,0.68484483,3.75279767,0.00000000,2.37920534,1.01949966
0.05702851,4.40304708,0.02279397,0.65028917,3.84268178,0.00000000,2.31221925,1.06318329
0.06303152,4.48624808,0.02554742,0.61887236,3.93338151,0.00000000,2.25477068,1.11200604
0.06903452,4.57574444,0.02852297,0.59086559,4.02456775,0.00000000,2.20760633,1.16546951
0.07503752,4.67089536,0.03169812,0.56643081,4.11586437,0.00000000,2.17116130,1.22298463
0.08104052,4.77087554,0.03504371,0.54562098,4.20682800,0.00000000,2.14554890,1.28387340
0.08704352,4.87466777,0.03852398,0.52838386,4.29693242,0.00000000,2.13056070,1.34737382
0.09304652,4.98106466,0.04209679,0.51456899,4.38555875,0.00000000,2.12567672,1.41264819
0.09904952,5.08867985,0.04571415,0.50393735,4.47199207,0.00000000,2.13008524,1.47879492
0.10505253,5.19596901,0.04932303,0.49617342,4.55542518,0.00000000,2.14271148,1.54486378
0.11105553,5.30125991,0.05286643,0.49089896,4.63496936,0.00000000,2.16225428,1.60987444
0.11705853,5.40279088,0.05628469,0.48768810,4.70967174,0.00000000,2.18722952,1.67283759
0.12306153,5.49875612,0.05951702,0.48608317,4.77853860,0.00000000,2.21601906,1.73277830
0.12906453,5.58735612,0.06250323,0.48561077,4.84056344,0.00000000,2.24692365,1.78876058
0.13506753,5.66685117,0.06518546,0.48579756,4.89475845,0.00000000,2.27821817,1.83991230
0.14107054,5.73561558,0.06751004,0.48618526,4.94018791,0.00000000,2.30820764,1.88544946
0.14707354,5.79219039,0.06942921,0.48634463,4.97600184,0.00000000,2.33528207,1.92469885
0.15307654,5.83533215,0.07090273,0.48588770,5.00146825,0.00000000,2.35796859,1.95711794
0.15907954,5.86405571,0.07189929,0.48447827,5.01600239,0.00000000,2.37497912,1.98231126
0.16508254,5.87766904,0.07239763,0.48184024,5.01919162,0.00000000,2.38525197,2.00004240
0.17108554,5.87579861,0.07238728,0.47776357,5.01081477,0.00000000,2.38798608,2.01024117
0.17708854,5.85840428,0.07186902,0.47210790,4.99085487,0.00000000,2.38266665,2.01300536
0.18309155,5.82578294,0.07085482,0.46480370,4.95950496,0.00000000,2.36908130,2.00859727
0.18909455,5.77856100,0.06936752,0.45585104,4.91716650,0.00000000,2.34732622,1.99743483
0.19509755,5.71767602,0.06743997,0.44531609,4.86444060,0.00000000,2.31780195,1.98007800
0.20110055,5.64434829,0.06511402,0.43332571,4.80211247,0.00000000,2.28119911,1.95721072
0.20710355,5.56004374,0.06243901,0.42006013,4.73112982,0.00000000,2.23847430,1.92961947
0.21310655,5.46642958,0.05947023,0.40574436,4.65257610,0.00000000,2.19081715,1.89816900
0.21910955,5.36532451,0.05626710,0.39063843,4.56763973,0.00000000,2.13960957,1.86377651
0.22511256,5.25864532,0.05289132,0.37502699,4.47758054,0.00000000,2.08637846,1.82738491
0.23111556,5.14835175,0.04940506,0.35920859,4.38369454,0.00000000,2.03274356,1.78993634
0.23711856,5.03639138,0.04586921,0.34348497,4.28727835,0.00000000,1.98036206,1.75234661
0.24312156,4.92464615,0.04234170,0.32815085,4.18959442,0.00000000,1.93087172,1.71548138
0.24912456,4.81488194,0.03887619,0.31348428,4.09183788,0.00000000,1.88583447,1.68013455
0.25512756,4.70870248,0.03552082,0.29973807,3.99510612,0.00000000,1.84668203,1.64700944
0.26113057,4.60750842,0.03231733,0.28713231,3.90037164,0.00000000,1.81466552,1.61670283
0.26713357,4.51246254,0.02930046,0.27584823,3.80845891,0.00000000,1.79081051,1.58969230
0.27313657,4.42446159,0.02649756,0.26602354,3.72002559,0.00000000,1.77587894,1.56632668
0.27913957,4.34411526,0.02392853,0.25774923,3.63554860,0.00000000,1.77033932,1.54681984
0.28514257,4.27173271,0.02160599,0.25106791,3.55531519,0.00000000,1.77434605,1.53124764
0.29114557,4.20731699,0.01953561,0.24597371,3.47941941,0.00000000,1.78772880,1.51954812
0.29714857,4.15056754,0.01771665,0.24241353,3.40776393,0.00000000,1.80999237,1.51152483
0.30315158,4.10089096,0.01614269,0.24028980,3.34006742,0.00000000,1.84032732,1.50685330
0.30915458,4.05742024,0.01480233,0.23946442,3.27587745,0.00000000,1.87763109,1.50509065
0.31515758,4.01904213,0.01368005,0.23976384,3.21458872,0.00000000,1.92053941,1.50568827
0.32116058,3.98443265,0.01275708,0.24098519,3.15546643,0.00000000,1.96746682,1.50800755
0.32716358,3.95209994,0.01201225,0.24290304,3.09767426,0.00000000,2.01665551,1.51133844
0.33316658,3.92043381,0.01142282,0.24527693,3.04030640,0.00000000,2.06623060,1.51492064
0.33916958,3.88776060,0.01096522,0.24785908,2.98242258,0.00000000,2.11426032,1.51796710
0.34517259,3.85240203,0.01061584,0.25040231,2.92308527,0.00000000,2.15881883,1.51968911
0.35117559,3.81273586,0.01035158,0.25266781,2.86139759,0.00000000,2.19804948,1.51932256
0.35717859,3.76725658,0.01015048,0.25443248,2.79654055,0.00000000,2.23022615,1.51615434
0.36318159,3.71463340,0.00999214,0.25549567,2.72780822,0.00000000,2.25381032,1.50954804
0.36918459,3.65376338,0.00985811,0.25568505,2.65463913,0.00000000,2.26750160,1.49896791
0.37518759,3.58381725,0.00973214,0.25486140,2.57664266,0.00000000,2.27027962,1.48399998
