energy_ev,total_up,Ag_p_up,Ag_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-1.29364682,0.61376986,0.33923596,0.03611129,0.14243842,0.35782861,0.00707255,0.05051761,0.02076216,0.15105017
-1.28764382,0.67211816,0.37935416,0.03858290,0.14868644,0.40064582,0.00808089,0.05139772,0.02377009,0.15594779
-1.28164082,0.73702603,0.42288530,0.04147902,0.15660653,0.44723677,0.00916810,0.05275068,0.02706291,0.16243396
-1.27563782,0.80821056,0.46958814,0.04479321,0.16615608,0.49739144,0.01032822,0.05456804,0.03063848,0.17046959
-1.26963482,0.88527078,0.51912993,0.04851166,0.17727425,0.55084562,0.01155294,0.05683104,0.03448970,0.17998249
-1.26363182,0.96769003,0.57108763,0.05261307,0.18988223,0.60728333,0.01283152,0.05951134,0.03860419,0.19086764
-1.25762881,1.05484233,0.62495230,0.05706870,0.20388420,0.66634115,0.01415088,0.06257206,0.04296410,0.20298859
-1.25162581,1.14600225,0.68013696,0.06184264,0.21916866,0.72761429,0.01549566,0.06596910,0.04754603,0.21617980
-1.24562281,1.24035823,0.73598756,0.06689227,0.23561015,0.79066408,0.01684851,0.06965249,0.05232115,0.23024990
-1.23961981,1.33702852,0.79179705,0.07216894,0.25307122,0.85502649,0.01819040,0.07356797,0.05725535,0.24498576
-1.23361681,1.43507916,0.84682207,0.07761874,0.27140441,0.92022117,0.01950101,0.07765852,0.06230967,0.26015722
-1.22761381,1.53354328,0.90030160,0.08318341,0.29045425,0.98576048,0.02075929,0.08186595,0.06744076,0.27552235
-1.22161081,1.63144065,0.95147705,0.08880136,0.31005898,1.05115801,0.02194396,0.08613229,0.07260150,0.29083297
-1.21560780,1.72779671,0.99961278,0.09440873,0.33005206,1.11593595,0.02303415,0.09040115,0.07774174,0.30584035
-1.20960480,1.82166023,1.04401628,0.09994045,0.35026332,1.17963105,0.02401001,0.09461881,0.08280904,0.32030079
-1.20360180,1.91211889,1.08405721,0.10533133,0.37051965,1.24179874,0.02485333,0.09873509,0.08774960,0.33398095
-1.19759880,1.99831217,1.11918428,0.11051706,0.39064541,1.30201530,0.02554813,0.10270404,0.09250908,0.34666274
-1.19159580,2.07944126,1.14893933,0.11543521,0.41046250,1.35987812,0.02608118,0.10648425,0.09703359,0.35814759
-1.18559280,2.15477581,1.17296804,0.12002608,0.42979026,1.41500417,0.02644242,0.11003906,0.10127054,0.36826001
-1.17958979,2.22365771,1.19102677,0.12423353,0.44844529,1.46702712,0.02662527,0.11333640,0.10516956,0.37685038
