energy_ev,total_up,Nb_p_up,Nb_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-4.97348674,1.32460617,0.67521894,0.60959099,0.70849752,0.00926067,0.00020020,0.06426918
-4.96748374,1.40809795,0.71153663,0.65064390,0.75291756,0.00989264,0.00021410,0.06490602
-4.96148074,1.48964006,0.74688109,0.69058090,0.79585521,0.01051425,0.00022836,0.06612002
-4.95547774,1.56782046,0.78051780,0.72874983,0.83660138,0.01111559,0.00024275,0.06781664
-4.94947474,1.64126747,0.81174435,0.76451587,0.87447231,0.01168691,0.00025706,0.06990355
-4.94347174,1.70868428,0.83990704,0.79727916,0.90882561,0.01221889,0.00027108,0.07229150
-4.93746873,1.76888297,0.86441662,0.82649254,0.93907615,0.01270290,0.00028464,0.07489497
-4.93146573,1.82081691,0.88476273,0.85167834,0.96471082,0.01313130,0.00029760,0.07763271
-4.92546273,1.86361012,0.90052652,0.87244391,0.98530193,0.01349764,0.00030984,0.08042819
-4.91945973,1.89658244,0.91139090,0.88849471,1.00051848,0.01379690,0.00032133,0.08321005
-4.91345673,1.91926941,0.91714808,0.89964475,1.01013487,0.01402566,0.00033204,0.08591261
-4.90745373,1.93143585,0.91770408,0.90582352,1.01403679,0.01418219,0.00034202,0.08847632
-4.90145073,1.93308261,0.91308007,0.90707919,1.01222379,0.01426656,0.00035138,0.09084837
-4.89544772,1.92444583,0.90341030,0.90357771,1.00480863,0.01428061,0.00036025,0.09298326
-4.88944472,1.90598890,0.88893696,0.89559785,0.99201328,0.01422790,0.00036885,0.09484346
-4.88344172,1.87838705,0.87000185,0.88352223,0.97416169,0.01411357,0.00037740,0.09640005
-4.87743872,1.84250533,0.84703542,0.86782470,0.95166968,0.01394419,0.00038618,0.09763326
-4.87143572,1.79937067,0.82054351,0.84905443,0.92503227,0.01372749,0.00039546,0.09853299
-4.86543272,1.75013905,0.79109217,0.82781751,0.89480893,0.01347210,0.00040553,0.09909915
-4.85942971,1.69605918,0.75929136,0.80475669,0.86160739,0.01318726,0.00041667,0.09934176
-4.85342671,1.63843397,0.72577783,0.78053003,0.82606644,0.01288246,0.00042915,0.09928094
-4.84742371,1.57858122,0.69119803,0.75578949,0.78883850,0.01256712,0.00044317,0.09894646
-4.84142071,1.51779514,0.65619142,0.73116015,0.75057249,0.01225026,0.00045890,0.09837717
-4.83541771,1.45730996,0.62137483,0.70722096,0.71189761,0.01194024,0.00047646,0.09762002
-4.82941471,1.39826693,0.58732818,0.68448774,0.67340841,0.01164443,0.00049586,0.09672890
-4.82341171,1.34168577,0.55458212,0.66339898,0.63565181,0.01136901,0.00051706,0.09576319
-4.81740870,1.28844159,0.52360772,0.64430508,0.59911620,0.01111884,0.00053993,0.09478614
-4.81140570,1.23924759,0.49480848,0.62746105,0.56422301,0.01089727,0.00056425,0.09386311
-4.80540270,1.19464427,0.46851472,0.61302321,0.53132080,0.01070619,0.00058973,0.09305984
-4.79939970,1.15499486,0.44498043,0.60104952,0.50068194,0.01054596,0.00061601,0.09244061
-4.79339670,1.12048721,0.42438243,0.59150359,0.47250186,0.01041553,0.00064266,0.09206660
-4.78739370,1.09114134,0.40682179,0.58426199,0.44690068,0.01031256,0.00066923,0.09199442
-4.78139070,1.06682247,0.39232732,0.57912441,0.42392698,0.01023361,0.00069521,0.09227483
-4.77538769,1.04725836,0.38086078,0.57582616,0.40356354,0.01017434,0.00072014,0.09295180
-4.76938469,1.03206056,0.37232379,0.57405250,0.38573463,0.01012976,0.00074352,0.09406185
-4.76338169,1.02074811,0.36656588,0.57345400,0.37031452,0.01009449,0.00076493,0.09563373
-4.75737869,1.01277319,0.36339363,0.57366244,0.35713692,0.01006306,0.00078401,0.09768848
-4.75137569,1.00754738,0.36258045,0.57430667,0.34600489,0.01003010,0.00080047,0.10023973
-4.74537269,1.00446779,0.36387681,0.57502765,0.33670089,0.00999068,0.00081415,0.10329431
-4.73936968,1.00294210,0.36702053,0.57549248,0.32899678,0.00994042,0.00082500,0.10685304
-4.73336668,1.00241185,0.37174696,0.57540668,0.32266323,0.00987577,0.00083313,0.11091168
-4.72736368,1.00237319,0.37779876,0.57452465,0.31747855,0.00979412,0.00083880,0.11546195
