energy_ev,total_up,Al_p_up,Al_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
0.86143072,9.78644442,1.16003357,0.00000000,3.42615298,1.63542689,0.11487459,7.77300194
0.86743372,9.50523477,1.15115607,0.00000000,3.37662572,1.60117555,0.11450755,7.52292335
0.87343672,9.21646138,1.14257042,0.00000000,3.32601481,1.56632733,0.11390311,7.26241922
0.87943972,8.92348869,1.13418346,0.00000000,3.27466983,1.53117299,0.11307088,6.99512329
0.88544272,8.62936927,1.12586484,0.00000000,3.22282622,1.49595078,0.11202133,6.72451076
0.89144572,8.33679729,1.11745490,0.00000000,3.17060872,1.46084707,0.11076575,6.45382100
0.89744872,8.04807759,1.10877329,0.00000000,3.11803916,1.42599892,0.10931612,6.18599258
0.90345173,7.76511029,1.09962797,0.00000000,3.06504836,1.39149824,0.10768511,5.92361241
0.90945473,7.48939029,1.08982419,0.00000000,3.01149124,1.35739712,0.10588604,5.66887970
0.91545773,7.22202015,1.07917312,0.00000000,2.95716446,1.32371410,0.10393282,5.42358515
0.92146073,6.96373423,1.06749961,0.00000000,2.90182551,1.29044076,0.10183986,5.18910460
0.92746373,6.71493178,1.05464897,0.00000000,2.84521229,1.25754834,0.09962206,4.96640586
0.93346673,6.47571637,1.04049235,0.00000000,2.78706198,1.22499394,0.09729458,4.75606718
0.93946973,6.24593890,1.02493056,0.00000000,2.72712854,1.19272609,0.09487272,4.55830501
0.94547274,6.02524188,1.00789639,0.00000000,2.66519762,1.16068933,0.09237169,4.37300914
0.95147574,5.81310281,0.98935515,0.00000000,2.60109864,1.12882780,0.08980629,4.19978275
0.95747874,5.60887495,0.96930386,0.00000000,2.53471337,1.09708775,0.08719072,4.03798560
0.96348174,5.41182434,0.94776898,0.00000000,2.46598096,1.06541897,0.08453819,3.88677825
0.96948474,5.22116240,0.92480309,0.00000000,2.39489956,1.03377546,0.08186067,3.74516617
0.97548774,5.03607395,0.90048085,0.00000000,2.32152474,1.00211537,0.07916865,3.61204236
0.98149075,4.85574091,0.87489446,0.00000000,2.24596531,0.97040060,0.07647090,3.48622791
0.98749375,4.67936222,0.84814906,0.00000000,2.16837719,0.93859624,0.07377437,3.36650980
0.99349675,4.50617075,0.82035834,0.00000000,2.08895594,0.90667017,0.07108413,3.25167585
0.99949975,4.33544793,0.79164066,0.00000000,2.00792884,0.87459296,0.06840344,3.14054667
1.00550275,4.16653698,0.76211588,0.00000000,1.92554707,0.84233830,0.06573391,3.03200452
1.01150575,3.99885503,0.73190311,0.00000000,1.84207854,0.80988399,0.06307576,2.92501903
1.01750875,3.83190480,0.70111925,0.00000000,1.75780195,0.77721352,0.06042812,2.81866987
1.02351176,3.66528554,0.66987853,0.00000000,1.67300211,0.74431811,0.05778948,2.71216596
1.02951476,3.49870332,0.63829276,0.00000000,1.58796683,0.71119912,0.05515810,2.60486125
1.03551776,3.33198000,0.60647223,0.00000000,1.50298512,0.67787065,0.05253243,2.49626651
1.04152076,3.16506048,0.57452704,0.00000000,1.41834652,0.64436195,0.04991162,2.38605705
1.04752376,2.99801735,0.54256855,0.00000000,1.33434134,0.61071961,0.04729581,2.27407591
1.05352676,2.83105251,0.51071085,0.00000000,1.25126131,0.57700912,0.04468651,2.16033239
1.05952976,2.66449504,0.47907192,0.00000000,1.16940033,0.54331573,0.04208678,2.04499576
1.06553277,2.49879512,0.44777446,0.00000000,1.08905495,0.50974441,0.03950138,1.92838436
1.07153577,2.33451377,0.41694608,0.00000000,1.01052430,0.47641886,0.03693672,1.81095029
1.07753877,2.17230870,0.38671894,0.00000000,0.93410930,0.44347961,0.03440082,1.69326021
1.08354177,2.01291679,0.35722885,0.00000000,0.86011113,0.41108122,0.03190304,1.57597311
1.08954477,1.85713376,0.32861373,0.00000000,0.78882886,0.37938883,0.02945383,1.45981572
1.09554777,1.70579213,0.30101179,0.00000000,0.72055655,0.34857409,0.02706435,1.34555683
1.10155078,1.55973850,0.27455932,0.00000000,0.65557995,0.31881096,0.02474608,1.23398136
1.10755378,1.41981124,0.24938850,0.00000000,0.59417305,0.29027130,0.02251038,1.12586552
1.11355678,1.28681973,0.22562510,0.00000000,0.53659490,0.26312080,0.02036810,1.02195379
1.11955978,1.16152602,0.20338664,0.00000000,0.48308673,0.23751527,0.01832918,0.92293885
1.12556278,1.04462976,0.18278068,0.00000000,0.43386989,0.21359757,0.01640233,0.82944495
1.13156578,0.93675687,0.16390367,0.00000000,0.38914445,0.19149519,0.01459472,0.74201534
1.13756878,0.83845215,0.14684033,0.00000000,0.34908881,0.17131870,0.01291185,0.66110377
1.14357179,0.75017573,0.13166337,0.00000000,0.31385997,0.15316097,0.01135738,0.58707024
1.14957479,0.67230308,0.11843378,0.00000000,0.28359459,0.13709704,0.00993313,0.52018063
