energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-2.13406703,1.29683143,0.34637340,0.25729956,0.02202298,0.16260928,0.24918570,0.34047376,0.36221765,0.00000000
-2.12806403,1.35364863,0.36207084,0.26937263,0.02436364,0.16660588,0.26480115,0.35789699,0.37846605,0.00000000
-2.12206103,1.41569772,0.37942660,0.28223252,0.02685861,0.17082159,0.28238834,0.37735182,0.39754683,0.00000000
-2.11605803,1.48236808,0.39826835,0.29574435,0.02949560,0.17519341,0.30178825,0.39864547,0.41922047,0.00000000
-2.11005503,1.55292753,0.41838278,0.30975175,0.03225722,0.17965398,0.32279489,0.42154471,0.44319470,0.00000000
-2.10405203,1.62653093,0.43951910,0.32407924,0.03512079,0.18413335,0.34515659,0.44577870,0.46912905,0.00000000
-2.09804902,1.70223246,0.46139401,0.33853529,0.03805837,0.18856085,0.36857870,0.47104299,0.49664066,0.00000000
-2.09204602,1.77900191,0.48369789,0.35291615,0.04103704,0.19286710,0.39272801,0.49700469,0.52531170,0.00000000
-2.08604302,1.85574490,0.50610227,0.36701029,0.04401932,0.19698586,0.41723866,0.52330884,0.55469805,0.00000000
-2.08004002,1.93132680,0.52826833,0.38060348,0.04696393,0.20085594,0.44171978,0.54958584,0.58433920,0.00000000
-2.07403702,2.00459986,0.54985625,0.39348433,0.04982677,0.20442299,0.46576450,0.57545983,0.61376907,0.00000000
-2.06803402,2.07443293,0.57053518,0.40545015,0.05256206,0.20764117,0.48896026,0.60055779,0.64252750,0.00000000
-2.06203102,2.13974271,0.58999347,0.41631299,0.05512372,0.21047466,0.51090000,0.62451907,0.67017189,0.00000000
-2.05602801,2.19952556,0.60794878,0.42590550,0.05746686,0.21289899,0.53119394,0.64700489,0.69628877,0.00000000
-2.05002501,2.25288842,0.62415778,0.43408660,0.05954933,0.21490203,0.54948151,0.66770769,0.72050458,0.00000000
-2.04402201,2.29907759,0.63842486,0.44074643,0.06133334,0.21648480,0.56544279,0.68635961,0.74249541,0.00000000
-2.03801901,2.33750401,0.65060967,0.44581053,0.06278694,0.21766184,0.57880922,0.70274005,0.76199506,0.00000000
-2.03201601,2.36776367,0.66063299,0.44924299,0.06388541,0.21846120,0.58937285,0.71668166,0.77880126,0.00000000
-2.02601301,2.38965216,0.66848061,0.45104833,0.06461249,0.21892410,0.59699378,0.72807472,0.79277950,0.00000000
-2.02001001,2.40317240,0.67420512,0.45127199,0.06496124,0.21910399,0.60160553,0.73686953,0.80386442,0.00000000
-2.01400700,2.40853502,0.67792527,0.44999941,0.06493473,0.21906527,0.60321775,0.74307678,0.81205867,0.00000000
-2.00800400,2.40615118,0.67982303,0.44735357,0.06454626,0.21888154,0.60191641,0.74676585,0.81742919,0.00000000
-2.00200100,2.39661786,0.68013823,0.44349121,0.06381927,0.21863339,0.59786118,0.74806103,0.82010115,0.00000000
-1.99599800,2.38069622,0.67916100,0.43859769,0.06278686,0.21840587,0.59128015,0.74713600,0.82024992,0.00000000
-1.98999500,2.35928391,0.67722227,0.43288074,0.06149096,0.21828562,0.58246208,0.74420661,0.81809122,0.00000000
-1.98399200,2.33338222,0.67468258,0.42656341,0.05998110,0.21835780,0.57174639,0.73952239,0.81387030,0.00000000
-1.97798899,2.30405965,0.67191961,0.41987642,0.05831298,0.21870291,0.55951142,0.73335715,0.80785025,0.00000000
-1.97198599,2.27241328,0.66931493,0.41305012,0.05654668,0.21939359,0.54616132,0.72599896,0.80030041,0.00000000
-1.96598299,2.23952959,0.66724027,0.40630665,0.05474482,0.22049158,0.53211207,0.71774004,0.79148507,0.00000000
-1.95997999,2.20644615,0.66604404,0.39985231,0.05297051,0.22204484,0.51777735,0.70886673,0.78165325,0.00000000
-1.95397699,2.17411588,0.66603828,0.39387059,0.05128531,0.22408514,0.50355464,0.69965017,0.77102971,0.00000000
-1.94797399,2.14337512,0.66748682,0.38851615,0.04974723,0.22662606,0.48981215,0.69033773,0.75980785,0.00000000
