energy_ev,total_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-1.28764382,1.51370895,0.02009696,0.29997324,0.18244043,0.13865758,0.00673422,0.53968532,1.06398704,0.55552235
-1.28164082,1.49676514,0.01968802,0.30795436,0.17450489,0.13580611,0.00691013,0.51100627,1.06463478,0.55865768
-1.27563782,1.49283393,0.01934983,0.31984576,0.16825481,0.13391490,0.00714400,0.48669306,1.07373232,0.56658176
-1.26963482,1.50234719,0.01909070,0.33544324,0.16370835,0.13306362,0.00743852,0.46688184,1.09137429,0.57972994
-1.26363182,1.52560186,0.01891714,0.35450453,0.16085903,0.13332025,0.00779617,0.45163347,1.11759207,0.59851830
-1.25762881,1.56275930,0.01883379,0.37675032,0.15967760,0.13474048,0.00821918,0.44093852,1.15235314,0.62333856
-1.25162581,1.61384822,0.01884345,0.40186587,0.16011451,0.13736754,0.00870943,0.43472422,1.19556232,0.65455331
-1.24562281,1.67877067,0.01894719,0.42950349,0.16210265,0.14123246,0.00926841,0.43286310,1.24706497,0.69249161
-1.23961981,1.75731077,0.01914457,0.45928576,0.16556036,0.14635458,0.00989710,0.43518278,1.30665181,0.73744479
-1.23361681,1.84914516,0.01943385,0.49080953,0.17039457,0.15274229,0.01059598,0.44147633,1.37406499,0.78966221
-1.22761381,1.95385477,0.01981232,0.52365074,0.17650398,0.16039395,0.01136496,0.45151283,1.44900497,0.84934714
-1.22161081,2.07093685,0.02027665,0.55736987,0.18378213,0.16929883,0.01220329,0.46504750,1.53113771,0.91665216
-1.21560780,2.19981660,0.02082323,0.59151797,0.19212029,0.17943803,0.01310957,0.48183109,1.62010156,0.99167445
-1.20960480,2.33985765,0.02144854,0.62564317,0.20141003,0.19078529,0.01408170,0.50161793,1.71551326,1.07445048
-1.20360180,2.49037072,0.02214946,0.65929744,0.21154554,0.20330759,0.01511681,0.52417246,1.81697269,1.16495034
-1.19759880,2.65061997,0.02292360,0.69204351,0.22242538,0.21696556,0.01621124,0.54927397,1.92406585,1.26307155
-1.19159580,2.81982665,0.02376950,0.72346161,0.23395385,0.23171354,0.01736050,0.57671931,2.03636584,1.36863264
-1.18559280,2.99717007,0.02468678,0.75315609,0.24604183,0.24749939,0.01855925,0.60632356,2.15343172,1.48136662
-1.17958979,3.18178579,0.02567624,0.78076147,0.25860715,0.26426398,0.01980123,0.63791865,2.27480537,1.60091462
-1.17358679,3.37276153,0.02673980,0.80594793,0.27157437,0.28194044,0.02107930,0.67135022,2.40000652,1.72682013
-1.16758379,3.56913114,0.02788039,0.82842607,0.28487420,0.30045316,0.02238539,0.70647268,2.52852639,1.85852419
-1.16158079,3.76986740,0.02910172,0.84795074,0.29844241,0.31971667,0.02371054,0.74314305,2.65982049,1.99536201
-1.15557779,3.97387446,0.03040798,0.86432397,0.31221847,0.33963447,0.02504490,0.78121386,2.79330109,2.13656144
-1.14957479,4.17998074,0.03180347,0.87739688,0.32614385,0.36009791,0.02637784,0.82052547,2.92833019,2.28124378
-1.14357179,4.38693320,0.03329213,0.88707047,0.34016019,0.38098517,0.02769799,0.86089846,3.06421351,2.42842714
-1.13756878,4.59339383,0.03487705,0.89329553,0.35420732,0.40216053,0.02899337,0.90212647,3.20019621,2.57703272
-1.13156578,4.79793918,0.03656001,0.89607135,0.36822142,0.42347403,0.03025154,0.94396992,3.33546060,2.72589400
-1.12556278,4.99906334,0.03834090,0.89544364,0.38213316,0.44476154,0.03145975,0.98615121,3.46912661,2.87376903
-1.11955978,5.19518503,0.04021733,0.89150151,0.39586617,0.46584534,0.03260516,1.02835159,3.60025471,3.01935540
-1.11355678,5.38465879,0.04218412,0.88437361,0.40933576,0.48653535,0.03367502,1.07021017,3.72785176,3.16130782
-1.10755378,5.56579044,0.04423301,0.87422374,0.42244806,0.50663094,0.03465693,1.11132519,3.85087944,3.29825781
-1.10155078,5.73685658,0.04635236,0.86124576,0.43509965,0.52592333,0.03553905,1.15125763,3.96826500,3.42883492
-1.09554777,5.89612773,0.04852698,0.84565825,0.44717766,0.54419871,0.03631036,1.18953732,4.07891421,3.55168912
-1.08954477,6.04189462,0.05073814,0.82769878,0.45856047,0.56124177,0.03696084,1.22567124,4.18172586,3.66551356
-1.08354177,6.17249700,0.05296362,0.80761821,0.46911902,0.57683990,0.03748175,1.25915389,4.27560757,3.76906716
-1.07753877,6.28635431,0.05517800,0.78567493,0.47871863,0.59078763,0.03786575,1.28947940,4.35949253,3.86119662
-1.07153577,6.38199734,0.05735297,0.76212942,0.48722148,0.60289144,0.03810714,1.31615497,4.43235669,3.94085719
-1.06553277,6.45810019,0.05945791,0.73723911,0.49448955,0.61297468,0.03820191,1.33871515,4.49323630,4.00713188
-1.05952976,6.51351175,0.06146045,0.71125382,0.50038807,0.62088249,0.03814791,1.35673632,4.54124542,4.05924881
-1.05352676,6.54728578,0.06332728,0.68441173,0.50478923,0.62648654,0.03794485,1.36985103,4.57559338,4.09659633
-1.04752376,6.55870901,0.06502494,0.65693621,0.50757634,0.62968939,0.03759437,1.37776139,4.59560188,4.11873594
-1.04152076,6.54732628,0.06652077,0.62903333,0.50864787,0.63042841,0.03710000,1.38025107,4.60072170,4.12541257
-1.03551776,6.51296207,0.06778380,0.60089027,0.50792170,0.62867891,0.03646711,1.37719534,4.59054873,4.11656239
-1.02951476,6.45573766,0.06878574,0.57267453,0.50533896,0.62445651,0.03570281,1.36856877,4.56483910,4.09231786
-1.02351176,6.37608300,0.06950188,0.54453400,0.50086771,0.61781853,0.03481587,1.35445002,4.52352303,4.05300980
-1.01750875,6.27474288,0.06991198,0.51659763,0.49450594,0.60886425,0.03381651,1.33502368,4.46671684,3.99916661
-1.01150575,6.15277641,0.07000101,0.48897679,0.48628398,0.59773406,0.03271629,1.31057879,4.39473274,3.93151005
-1.00550275,6.01154948,0.06975980,0.46176715,0.47626607,0.58460735,0.03152788,1.28150404,4.30808548,3.85094777
-0.99949975,5.85271976,0.06918549,0.43505077,0.46455095,0.56969927,0.03026486,1.24827988,4.20749539,3.75856209
-0.99349675,5.67821393,0.06828188,0.40889850,0.45127150,0.55325632,0.02894146,1.21146743,4.09388707,3.65559511
-0.98749375,5.49019730,0.06705946,0.38337228,0.43659324,0.53555083,0.02757237,1.17169484,3.96838306,3.54342995
-0.98149075,5.29103612,0.06553534,0.35852739,0.42071182,0.51687462,0.02617246,1.12964137,3.83229222,3.42356835
-0.97548774,5.08325316,0.06373287,0.33441440,0.40384944,0.49753190,0.02475657,1.08601969,3.68709236,3.29760465
