energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-5.11155578,10.50992757,0.00714899,1.58964058,1.03072373,0.57988452,6.25084124,5.52695080,0.02706892,2.22884050
-5.10555278,10.57763674,0.00817417,1.52131439,1.07042771,0.61915547,6.24807154,5.49833179,0.02820582,2.33144133
-5.09954977,10.65275026,0.00930607,1.45017879,1.11070222,0.66287325,6.25297262,5.46715474,0.02946494,2.44131436
-5.09354677,10.74076040,0.01054607,1.37750863,1.15168826,0.71143820,6.26897420,5.43635930,0.03086496,2.55930316
-5.08754377,10.84681785,0.01189375,1.30455339,1.19351191,0.76518392,6.29918363,5.40877839,0.03242254,2.68613650
-5.08154077,10.97554809,0.01334675,1.23250512,1.23627421,0.82435770,6.34628381,5.38704935,0.03415130,2.82238861
-5.07553777,11.13088488,0.01490061,1.16246933,1.28004170,0.88910203,6.41244584,5.37353351,0.03606084,2.96844239
-5.06953477,11.31592703,0.01654869,1.09544005,1.32483812,0.95943838,6.49925947,5.37024708,0.03815590,3.12445728
-5.06353177,11.53282341,0.01828216,1.03227952,1.37063756,1.03525367,6.60768368,5.37880557,0.04043558,3.29034316
-5.05752876,11.78269039,0.02009003,0.97370325,1.41735942,1.11629044,6.73801869,5.40038305,0.04289281,3.46574148
-5.05152576,12.06556392,0.02195930,0.92027042,1.46486544,1.20214127,6.88989970,5.43568727,0.04551397,3.65001451
-5.04552276,12.38038758,0.02387511,0.87237984,1.51295884,1.29224786,7.06231188,5.48495061,0.04827883,3.84224354
-5.03951976,12.72503608,0.02582106,0.83027112,1.56138579,1.38590525,7.25362515,5.54793636,0.05116061,4.04123603
-5.03351676,13.09637248,0.02777947,0.79403060,1.60983905,1.48227119,7.46164642,5.62395920,0.05412649,4.24554186
-5.02751376,13.49033619,0.02973179,0.76360157,1.65796364,1.58038050,7.68368665,5.71191829,0.05713819,4.45347812
-5.02151076,13.90205764,0.03165898,0.73879785,1.70536438,1.67916429,7.91663937,5.81034115,0.06015294,4.66316169
-5.01550775,14.32599489,0.03354200,0.71932016,1.75161499,1.77747330,8.15706722,5.91743592,0.06312455,4.87254840
-5.00950475,14.75608664,0.03536220,0.70477427,1.79626829,1.87410474,8.40129308,6.03115014,0.06600479,5.07947759
-5.00350175,15.18591608,0.03710180,0.69469023,1.83886724,1.96783165,8.64549240,6.14923338,0.06874473,5.28172027
-4.99749875,15.60887983,0.03874429,0.68854185,1.87895628,2.05743380,8.88578379,6.26930207,0.07129629,5.47702951
-4.99149575,16.01835643,0.04027481,0.68576572,1.91609258,2.14172890,9.11831521,6.38890414,0.07361372,5.66319109
-4.98549275,16.40786950,0.04168048,0.68577921,1.94985695,2.21960313,9.33934378,6.50558223,0.07565503,5.83807303
-4.97948974,16.77124088,0.04295071,0.68799695,1.97986382,2.29003970,9.54530774,6.61693363,0.07738333,5.99967233
-4.97348674,17.10273026,0.04407737,0.69184540,2.00577026,2.35214455,9.73288963,6.72066615,0.07876798,6.14615775
-4.96748374,17.39715818,0.04505497,0.69677533,2.02728364,2.40516816,9.89907024,6.81464874,0.07978547,6.27590745
-4.96148074,17.65001036,0.04588069,0.70227202,2.04416800,2.44852288,10.04117338,6.89695636,0.08042013,6.38754086
-4.95547774,17.85752192,0.04655444,0.70786318,2.05624882,2.48179517,10.15690192,6.96590850,0.08066448,6.47994404
-4.94947474,18.01674090,0.04707879,0.71312477,2.06341640,2.50475249,10.24436549,7.02010112,0.08051928,6.55228841
-4.94347174,18.12557082,0.04745883,0.71768465,2.06562782,2.51734473,10.30210066,7.05843156,0.07999335,6.60404276
-4.93746873,18.18279295,0.04770207,0.72122457,2.06290748,2.51970046,10.32908417,7.08011653,0.07910305,6.63497862
-4.93146573,18.18806874,0.04781818,0.72348044,2.05534645,2.51211819,10.32473974,7.08470286,0.07787150,6.64516926
-4.92546273,18.14192364,0.04781875,0.72424144,2.04310053,2.49505325,10.28893895,7.07207108,0.07632770,6.63498268
-4.91945973,18.04571343,0.04771709,0.72334804,2.02638734,2.46910091,10.22199625,7.04243169,0.07450533,6.60506896
-4.91345673,17.90157434,0.04752781,0.72068931,2.00548216,2.43497653,10.12465821,6.99631443,0.07244160,6.55634233
-4.90745373,17.71235828,0.04726659,0.71619969,1.98071290,2.39349342,9.99808684,6.93455043,0.07017595,6.48995841
-4.90145073,17.48155479,0.04694979,0.70985551,1.95245389,2.34553933,9.84383683,6.85824773,0.06774879,6.40728697
-4.89544772,17.21320119,0.04659410,0.70167137,1.92111874,2.29205224,9.66382640,6.76876062,0.06520035,6.30988063
-4.88944472,16.91178265,0.04621613,0.69169655,1.88715213,2.23399631,9.46030175,6.66765321,0.06256951,6.19943997
-4.88344172,16.58212428,0.04583206,0.68001145,1.85102069,2.17233855,9.23579525,6.55665842,0.05989291,6.07777562
-4.87743872,16.22927732,0.04545721,0.66672425,1.81320293,2.10802687,8.99307749,6.43763305,0.05720416,5.94676788
-4.87143572,15.85840209,0.04510564,0.65196765,1.77417857,2.04197002,8.73510410,6.31251038,0.05453322,5.80832478
-4.86543272,15.47465042,0.04478978,0.63589579,1.73441728,1.97501976,8.46495817,6.18325156,0.05190600,5.66433950
-4.85942971,15.08305052,0.04452007,0.61868122,1.69436733,1.90795581,8.18578960,6.05179720,0.04934419,5.51664819
-4.85342671,14.68839766,0.04430461,0.60051191,1.65444439,1.84147355,7.90075302,5.92002075,0.04686516,5.36698954
