energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-4.78739370,4.01707735,0.31650631,0.00000000,0.03167569,0.62548622,0.04628479,2.20229107,2.99068797,0.92764624
-4.78139070,3.99596748,0.31809732,0.00000000,0.03150639,0.62898448,0.04703197,2.18209644,2.97865969,0.91542980
-4.77538769,3.96866315,0.31913095,0.00000000,0.03121033,0.63155775,0.04779308,2.15844488,2.96083337,0.90197127
-4.76938469,3.93584257,0.31959754,0.00000000,0.03078521,0.63326594,0.04856811,2.13179451,2.93784729,0.88756118
-4.76338169,3.89841033,0.31950818,0.00000000,0.03023213,0.63420507,0.04935986,2.10272800,2.91050929,0.87252794
-4.75737869,3.85747178,0.31889502,0.00000000,0.02955550,0.63450425,0.05017358,2.07193647,2.87977490,0.85722844
-4.75137569,3.81429749,0.31781062,0.00000000,0.02876282,0.63432094,0.05101654,2.04019809,2.84671808,0.84203709
-4.74537269,3.77027908,0.31632631,0.00000000,0.02786446,0.63383481,0.05189737,2.00835209,2.81249549,0.82733399
-4.73936968,3.72687824,0.31452965,0.00000000,0.02687319,0.63324025,0.05282528,1.97726919,2.77830593,0.81349239
-4.73336668,3.68557103,0.31252104,0.00000000,0.02580378,0.63273810,0.05380923,1.94781983,2.74534650,0.80086611
-4.72736368,3.64778997,0.31040962,0.00000000,0.02467247,0.63252673,0.05485702,1.92084140,2.71476768,0.78977733
-4.72136068,3.61486663,0.30830875,0.00000000,0.02349643,0.63279312,0.05597447,1.89710614,2.68762936,0.78050527
-4.71535768,3.58797741,0.30633111,0.00000000,0.02229318,0.63370422,0.05716459,1.87729117,2.66485987,0.77327624
-4.70935468,3.56809510,0.30458388,0.00000000,0.02108009,0.63539921,0.05842695,1.86195197,2.64722013,0.76825554
-4.70335168,3.55594864,0.30316399,0.00000000,0.01987386,0.63798282,0.05975713,1.85150077,2.63527470,0.76554162
-4.69734867,3.55199307,0.30215390,0.00000000,0.01869008,0.64152033,0.06114649,1.84619063,2.62937112,0.76516266
-4.69134567,3.55639121,0.30161795,0.00000000,0.01754285,0.64603436,0.06258208,1.84610632,2.62962873,0.76707592
-4.68534267,3.56900795,0.30159960,0.00000000,0.01644449,0.65150368,0.06404685,1.85116214,2.63593744,0.77116983
-4.67933967,3.58941752,0.30211953,0.00000000,0.01540535,0.65786412,0.06552004,1.86110699,2.64796662,0.77726877
-4.67333667,3.61692341,0.30317489,0.00000000,0.01443370,0.66501160,0.06697785,1.87553638,2.66518373,0.78514050
-4.66733367,3.65058997,0.30473957,0.00000000,0.01353571,0.67280709,0.06839428,1.89391071,2.68688160,0.79450568
