energy_ev,total_up,P_s_up,P_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-3.44272136,1.73362416,0.01059142,0.23091639,0.01889124,0.90530149,0.42803727,0.37204315
-3.43671836,1.71735435,0.01055381,0.23167888,0.01808660,0.89536481,0.42979891,0.36809131
-3.43071536,1.69679403,0.01045761,0.23208652,0.01724926,0.88287723,0.43116182,0.36330137
-3.42471236,1.67206065,0.01030398,0.23206958,0.01638717,0.86796695,0.43200438,0.35768706
-3.41870935,1.64339427,0.01009531,0.23156928,0.01550969,0.85083220,0.43222247,0.35128771
-3.41270635,1.61114609,0.00983517,0.23053810,0.01462730,0.83173433,0.43173169,0.34416505
-3.40670335,1.57576464,0.00952815,0.22894006,0.01375131,0.81098934,0.43046952,0.33639960
-3.40070035,1.53778050,0.00917978,0.22675080,0.01289350,0.78895847,0.42839742,0.32808687
-3.39469735,1.49779022,0.00879637,0.22395778,0.01206580,0.76603817,0.42550271,0.31933357
-3.38869435,1.45644017,0.00838482,0.22056032,0.01127991,0.74264983,0.42180039,0.31025398
-3.38269135,1.41441088,0.00795247,0.21656968,0.01054703,0.71922977,0.41733447,0.30096664
-3.37668834,1.37240223,0.00750692,0.21200914,0.00987749,0.69621954,0.41217896,0.29159145
-3.37068534,1.33111955,0.00705580,0.20691394,0.00928056,0.67405686,0.40643813,0.28224718
-3.36468234,1.29126084,0.00660667,0.20133110,0.00876416,0.65316714,0.40024601,0.27304946
-3.35867934,1.25350481,0.00616678,0.19531904,0.00833472,0.63395565,0.39376493,0.26410911
-3.35267634,1.21849976,0.00574296,0.18894699,0.00799702,0.61680032,0.38718300,0.25553076
-3.34667334,1.18685276,0.00534148,0.18229406,0.00775409,0.60204495,0.38071037,0.24741175
-3.34067034,1.15911916,0.00496793,0.17544792,0.00760720,0.58999290,0.37457437,0.23984109
-3.33466733,1.13579207,0.00462711,0.16850323,0.00755579,0.58090106,0.36901349,0.23289847
-3.32866433,1.11729185,0.00432300,0.16155955,0.00759752,0.57497414,0.36427023,0.22665322
-3.32266133,1.10395545,0.00405867,0.15471911,0.00772834,0.57235926,0.36058324,0.22116319
-3.31665833,1.09602609,0.00383628,0.14808413,0.00794255,0.57314090,0.35817872,0.21647356
-3.31065533,1.09364323,0.00365707,0.14175406,0.00823299,0.57733643,0.35726156,0.21261557
-3.30465233,1.09683366,0.00352137,0.13582275,0.00859113,0.58489242,0.35800660,0.20960523
-3.29864932,1.10550398,0.00342862,0.13037559,0.00900731,0.59568191,0.36055023,0.20744215
-3.29264632,1.11943524,0.00337743,0.12548685,0.00947096,0.60950304,0.36498297,0.20610856
-3.28664332,1.13828040,0.00336562,0.12121742,0.00997083,0.62607925,0.37134325,0.20556859
-3.28064032,1.16156505,0.00339032,0.11761280,0.01049529,0.64506143,0.37961279,0.20576808
-3.27463732,1.18869207,0.00344803,0.11470183,0.01103263,0.66603209,0.38971407,0.20663481
-3.26863432,1.21895048,0.00353472,0.11249592,0.01157139,0.68851185,0.40150981,0.20807947
-3.26263132,1.25152866,0.00364593,0.11098903,0.01210067,0.71196826,0.41480503,0.20999722
-3.25662831,1.28553197,0.00377686,0.11015838,0.01261047,0.73582675,0.42935136,0.21226997
-3.25062531,1.32000436,0.00392254,0.10996588,0.01309204,0.75948382,0.44485386,0.21476936
-3.24462231,1.35395353,0.00407785,0.11036020,0.01353816,0.78232186,0.46097995,0.21736034
-3.23861931,1.38637889,0.00423776,0.11127952,0.01394344,0.80372535,0.47737034,0.21990515
-3.23261631,1.41630134,0.00439734,0.11265469,0.01430452,0.82309788,0.49365146,0.22226783
-3.22661331,1.44279376,0.00455196,0.11441279,0.01462030,0.83987942,0.50944891,0.22431874
-3.22061031,1.46501104,0.00469735,0.11648083,0.01489202,0.85356306,0.52440145,0.22593917
-3.21460730,1.48221831,0.00482972,0.11878953,0.01512330,0.86371071,0.53817481,0.22702578
-3.20860430,1.49381631,0.00494587,0.12127682,0.01532011,0.86996706,0.55047481,0.22749447
-3.20260130,1.49936249,0.00504321,0.12389111,0.01549064,0.87207109,0.56105904,0.22728391
-3.19659830,1.49858716,0.00511989,0.12659393,0.01564508,0.86986481,0.56974669,0.22635812
-3.19059530,1.49140363,0.00517475,0.12936198,0.01579529,0.86329865,0.57642584,0.22470827
-3.18459230,1.47791202,0.00520740,0.13218838,0.01595443,0.85243336,0.58105808,0.22235361
-3.17858929,1.45839638,0.00521814,0.13508308,0.01613649,0.83743824,0.58367991,0.21934124
-3.17258629,1.43331524,0.00520797,0.13807244,0.01635576,0.81858581,0.58440112,0.21574508
-3.16658329,1.40328594,0.00517849,0.14119790,0.01662622,0.79624307,0.58340000,0.21166381
-3.16058029,1.36906337,0.00513181,0.14451391,0.01696100,0.77085969,0.58091568,0.20721799
-3.15457729,1.33151409,0.00507044,0.14808523,0.01737171,0.74295373,0.57723802,0.20254658
-3.14857429,1.29158680,0.00499720,0.15198363,0.01786789,0.71309530,0.57269546,0.19780280
-3.14257129,1.25028062,0.00491503,0.15628434,0.01845641,0.68188892,0.56764155,0.19314976
-3.13656828,1.20861229,0.00482691,0.16106233,0.01914106,0.64995526,0.56244075,0.18875585
-3.13056528,1.16758379,0.00473569,0.16638867,0.01992211,0.61791286,0.55745429,0.18479021
-3.12456228,1.12815158,0.00464398,0.17232718,0.02079602,0.58636066,0.55302673,0.18141836
-3.11855928,1.09119870,0.00455403,0.17893154,0.02175537,0.55586174,0.54947398,0.17879820
-3.11255628,1.05751059,0.00446769,0.18624302,0.02278879,0.52692890,0.54707311,0.17707648
-3.10655328,1.02775555,0.00438627,0.19428890,0.02388116,0.50001257,0.54605465,0.17638578
-3.10055028,1.00247029,0.00431057,0.20308175,0.02501393,0.47549109,0.54659746,0.17684212
-3.09454727,0.98205075,0.00424085,0.21261938,0.02616558,0.45366388,0.54882629,0.17854311
-3.08854427,0.96674839,0.00417684,0.22288563,0.02731222,0.43474725,0.55281210,0.18156669
-3.08254127,0.95667152,0.00411779,0.23385169,0.02842837,0.41887313,0.55857470,0.18597031
-3.07653827,0.95179138,0.00406259,0.24547799,0.02948773,0.40609024,0.56608754,0.19179062
-3.07053527,0.95195223,0.00400979,0.25771633,0.03046412,0.39636786,0.57528403,0.19904328
-3.06453227,0.95688488,0.00395777,0.27051212,0.03133236,0.38960162,0.58606487,0.20772320
-3.05852926,0.96622271,0.00390485,0.28380655,0.03206923,0.38562127,0.59830589,0.21780469
-3.05252626,0.97951942,0.00384937,0.29753843,0.03265430,0.38419983,0.61186561,0.22924177
-3.04652326,0.99626781,0.00378987,0.31164561,0.03307068,0.38506410,0.62659232,0.24196848
-3.04052026,1.01591871,0.00372519,0.32606585,0.03330573,0.38790587,0.64232991,0.25589909
-3.03451726,1.03789951,0.00365455,0.34073710,0.03335152,0.39239371,0.65892243,0.27092841
-3.02851426,1.06163181,0.00357766,0.35559708,0.03320518,0.39818499,0.67621709,0.28693209
-3.02251126,1.08654769,0.00349478,0.37058241,0.03286904,0.40493767,0.69406572,0.30376710
-3.01650825,1.11210434,0.00340678,0.38562727,0.03235058,0.41232183,0.71232485,0.32127244
-3.01050525,1.13779700,0.00331515,0.40066178,0.03166221,0.42003037,0.73085467,0.33927022
-3.00450225,1.16316986,0.00322200,0.41561034,0.03082085,0.42778888,0.74951720,0.35756717
-2.99849925,1.18782515,0.00313004,0.43039010,0.02984737,0.43536422,0.76817426,0.37595678
-2.99249625,1.21143023,0.00304258,0.44490988,0.02876590,0.44257169,0.78668539,0.39422203
-2.98649325,1.23372290,0.00296340,0.45906953,0.02760306,0.44928056,0.80490651,0.41213879
-2.98049025,1.25451474,0.00289674,0.47276012,0.02638706,0.45541771,0.82268939,0.42947990
-2.97448724,1.27369269,0.00284719,0.48586492,0.02514689,0.46096940,0.83988233,0.44601983
