energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
3.97098549,1.50329124,1.33904569,0.00000000,0.01551424,0.13030169,0.03650666,0.40877131,0.29085086,0.37195473
3.97698849,1.54088532,1.32678592,0.00000000,0.01727836,0.13496399,0.03697103,0.42023818,0.31028768,0.38688806
3.98299150,1.57612597,1.31272238,0.00000000,0.01912976,0.13958228,0.03749525,0.42988784,0.33113327,0.40069463
3.98899450,1.60863060,1.29667516,0.00000000,0.02105456,0.14414144,0.03807011,0.43752691,0.35329726,0.41321195
3.99499750,1.63806001,1.27848155,0.00000000,0.02303610,0.14863190,0.03868512,0.44299262,0.37665087,0.42430482
4.00100050,1.66413158,1.25800912,0.00000000,0.02505509,0.15305006,0.03932891,0.44615854,0.40102672,0.43387054
4.00700350,1.68663082,1.23516715,0.00000000,0.02708994,0.15739823,0.03998982,0.44693930,0.42622014,0.44184302
4.01300650,1.70542050,1.20991585,0.00000000,0.02911711,0.16168413,0.04065636,0.44529406,0.45199194,0.44819559
4.01900950,1.72044712,1.18227300,0.00000000,0.03111167,0.16592003,0.04131771,0.44122853,0.47807265,0.45294228
4.02501251,1.73174425,1.15231777,0.00000000,0.03304784,0.17012131,0.04196412,0.43479543,0.50416825,0.45613754
4.03101551,1.73943265,1.12019160,0.00000000,0.03489977,0.17430475,0.04258731,0.42609341,0.52996723,0.45787419
4.03701851,1.74371709,1.08609617,0.00000000,0.03664217,0.17848646,0.04318076,0.41526434,0.55514871,0.45827986
4.04302151,1.74487997,1.05028868,0.00000000,0.03825113,0.18267969,0.04373998,0.40248913,0.57939148,0.45751192
4.04902451,1.74327199,1.01307472,0.00000000,0.03970485,0.18689251,0.04426259,0.38798235,0.60238341,0.45575111
4.05502751,1.73930031,0.97479910,0.00000000,0.04098433,0.19112565,0.04474845,0.37198572,0.62383095,0.45319428
4.06103052,1.73341450,0.93583520,0.00000000,0.04207402,0.19537053,0.04519963,0.35476086,0.64346833,0.45004645
4.06703352,1.72609110,0.89657333,0.00000000,0.04296232,0.19960768,0.04562027,0.33658168,0.66106594,0.44651258
4.07303652,1.71781722,0.85740861,0.00000000,0.04364195,0.20380573,0.04601648,0.31772651,0.67643753,0.44278954
4.07903952,1.70907388,0.81872901,0.00000000,0.04411018,0.20792093,0.04639606,0.29847067,0.68944590,0.43905851
4.08504252,1.70031988,0.78090404,0.00000000,0.04436885,0.21189740,0.04676820,0.27907933,0.70000686,0.43547827
4.09104552,1.69197660,0.74427447,0.00000000,0.04442429,0.21566810,0.04714322,0.25980134,0.70809106,0.43217962
4.09704852,1.68441455,0.70914368,0.00000000,0.04428691,0.21915647,0.04753217,0.24086401,0.71372392,0.42926118
4.10305153,1.67794195,0.67577067,0.00000000,0.04397081,0.22227877,0.04794648,0.22246895,0.71698337,0.42678671
4.10905453,1.67279586,0.64436514,0.00000000,0.04349316,0.22494691,0.04839761,0.20478926,0.71799577,0.42478405
4.11505753,1.66913614,0.61508474,0.00000000,0.04287343,0.22707173,0.04889669,0.18796791,0.71693005,0.42324569
4.12106053,1.66704220,0.58803428,0.00000000,0.04213265,0.22856658,0.04945424,0.17211730,0.71399047,0.42213080
4.12706353,1.66651288,0.56326704,0.00000000,0.04129256,0.22935089,0.05007987,0.15731993,0.70940832,0.42136862
4.13306653,1.66746898,0.54078779,0.00000000,0.04037484,0.22935375,0.05078203,0.14363002,0.70343294,0.42086307
4.13906953,1.66975855,0.52055745,0.00000000,0.03940028,0.22851710,0.05156780,0.13107587,0.69632256,0.42049809
4.14507254,1.67316436,0.50249880,0.00000000,0.03838816,0.22679852,0.05244277,0.11966281,0.68833519,0.42014369
4.15107554,1.67741326,0.48650308,0.00000000,0.03735565,0.22417346,0.05341088,0.10937647,0.67972010,0.41966217
4.15707854,1.68218694,0.47243711,0.00000000,0.03631741,0.22063666,0.05447432,0.10018623,0.67071013,0.41891442
4.16308154,1.68713353,0.46015026,0.00000000,0.03528528,0.21620287,0.05563344,0.09204863,0.66151506,0.41776582
4.16908454,1.69187961,0.44948136,0.00000000,0.03426814,0.21090677,0.05688674,0.08491062,0.65231630,0.41609160
4.17508754,1.69604197,0.44026478,0.00000000,0.03327199,0.20480203,0.05823074,0.07871246,0.64326301,0.41378149
4.18109055,1.69923888,0.43233577,0.00000000,0.03230005,0.19795969,0.05965997,0.07339025,0.63446960,0.41074342
4.18709355,1.70110028,0.42553467,0.00000000,0.03135303,0.19046587,0.06116688,0.06887801,0.62601474,0.40690614
4.19309655,1.70127662,0.41970992,0.00000000,0.03042956,0.18241893,0.06274182,0.06510931,0.61794168,0.40222090
4.19909955,1.69944629,0.41471997,0.00000000,0.02952656,0.17392631,0.06437292,0.06201842,0.61025983,0.39666193
4.20510255,1.69532125,0.41043385,0.00000000,0.02863972,0.16510104,0.06604613,0.05954104,0.60294743,0.39022604
4.21110555,1.68865111,0.40673087,0.00000000,0.02776399,0.15605825,0.06774514,0.05761472,0.59595517,0.38293121
4.21710855,1.67922557,0.40349933,0.00000000,0.02689404,0.14691179,0.06945144,0.05617896,0.58921042,0.37481452
